Age,Arm,Thigh,Weight,Seated,Leg,HtShoes,Ht
0.02,0.09,0.09,0.11,0.13,0.15,0.15,0.15
0.01,0.09,0.09,0.11,0.14,0.15,0.15,0.15
0.01,0.09,0.09,0.11,0.14,0.15,0.15,0.15
0.01,0.09,0.09,0.11,0.14,0.15,0.15,0.15
0,0.09,0.1,0.11,0.14,0.15,0.15,0.16
0,0.09,0.1,0.11,0.14,0.15,0.16,0.16
0.04,0.09,0.09,0.1,0.13,0.15,0.15,0.15
0,0.09,0.1,0.11,0.14,0.15,0.16,0.16
0,0.09,0.1,0.11,0.14,0.15,0.16,0.16
0,0.09,0.1,0.11,0.14,0.15,0.16,0.16
0.02,0.07,0.07,0.08,0.1,0.12,0.12,0.12
0.01,0.07,0.07,0.08,0.1,0.12,0.12,0.12
0,0.07,0.07,0.08,0.11,0.12,0.12,0.12
0,0.07,0.07,0.08,0.11,0.12,0.12,0.12
0,0.07,0.07,0.08,0.11,0.12,0.12,0.12
0,0.07,0.07,0.08,0.11,0.12,0.12,0.12
0.01,0.07,0.07,0.08,0.1,0.12,0.12,0.12
0,0.07,0.07,0.08,0.1,0.12,0.12,0.12
0,0.07,0.07,0.08,0.1,0.12,0.12,0.12
0.01,0.07,0.07,0.08,0.1,0.12,0.12,0.12
0,0.07,0.07,0.08,0.11,0.12,0.12,0.12
0,0.07,0.07,0.08,0.11,0.12,0.12,0.12
0,0.07,0.07,0.08,0.1,0.12,0.12,0.12
0.01,0.07,0.07,0.08,0.1,0.12,0.12,0.12
0.04,0.07,0.07,0.08,0.1,0.11,0.11,0.11
0,0.09,0.1,0.11,0.14,0.15,0.15,0.16
0,0.09,0.1,0.11,0.14,0.15,0.16,0.16
0.02,0.09,0.09,0.11,0.14,0.15,0.15,0.15
0,0.09,0.1,0.11,0.14,0.15,0.15,0.16
0,0.09,0.1,0.11,0.14,0.15,0.16,0.16
