Arm,Age,Thigh,Weight,Seated,Leg,HtShoes,Ht
0,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0.01,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0.01,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0.01,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0.01,0.03,0.1,0.12,0.14,0.16,0.16,0.17
0,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0,0.01,0.11,0.12,0.15,0.17,0.17,0.17
0,0.01,0.11,0.12,0.15,0.17,0.17,0.17
