Leg,Age,Arm,Thigh,Weight,Seated,HtShoes,Ht
0,0.01,0.11,0.11,0.13,0.16,0.19,0.19
0.01,0.01,0.11,0.11,0.13,0.16,0.18,0.18
0.01,0.02,0.11,0.11,0.13,0.16,0.18,0.18
0,0.01,0.11,0.11,0.13,0.16,0.19,0.19
0.01,0.02,0.11,0.11,0.13,0.16,0.18,0.18
0,0.01,0.11,0.11,0.13,0.16,0.19,0.19
0,0.01,0.11,0.11,0.13,0.16,0.19,0.19
0.01,0.01,0.11,0.11,0.13,0.16,0.18,0.18
0,0.01,0.11,0.11,0.13,0.16,0.19,0.19
0,0.01,0.11,0.11,0.13,0.16,0.19,0.19
0.01,0.02,0.11,0.11,0.13,0.16,0.18,0.18
0.01,0.01,0.11,0.11,0.13,0.16,0.18,0.18
0,0.01,0.11,0.11,0.13,0.16,0.19,0.19
0.01,0.02,0.11,0.11,0.13,0.16,0.18,0.18
0.01,0.01,0.11,0.11,0.13,0.16,0.18,0.18
0,0.01,0.11,0.11,0.13,0.16,0.18,0.19
0.01,0.01,0.11,0.11,0.13,0.16,0.18,0.18
0,0.01,0.11,0.11,0.13,0.16,0.18,0.19
0.01,0.01,0.11,0.11,0.13,0.16,0.18,0.18
