Seated,Age,Arm,Thigh,Weight,Leg,HtShoes,Ht
0,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0.01,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0.01,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0.01,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0.01,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0.01,0.02,0.11,0.11,0.12,0.17,0.18,0.18
0,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0.01,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0.01,0.01,0.11,0.11,0.12,0.18,0.18,0.18
0.01,0.02,0.11,0.11,0.12,0.18,0.18,0.18
