Arm,Age,Thigh,Weight,Seated,Leg,HtShoes,Ht
0,0.02,0.15,0.15,0.15,0.15,0.15,0.15
0,0.02,0.15,0.15,0.15,0.15,0.15,0.15
0,0.02,0.15,0.15,0.15,0.15,0.15,0.15
0,0.02,0.15,0.15,0.15,0.15,0.15,0.15
0.02,0.02,0.14,0.14,0.14,0.14,0.14,0.14
0,0.02,0.15,0.15,0.15,0.15,0.15,0.15
0,0.02,0.15,0.15,0.15,0.15,0.15,0.15
0,0.02,0.15,0.15,0.15,0.15,0.15,0.15
0.01,0.02,0.15,0.15,0.15,0.15,0.15,0.15
0.02,0.02,0.14,0.14,0.14,0.14,0.14,0.14
0.01,0.02,0.15,0.15,0.15,0.15,0.15,0.15
0.01,0.02,0.14,0.14,0.14,0.14,0.14,0.14
0.01,0.02,0.15,0.15,0.15,0.15,0.15,0.15
0,0.02,0.15,0.15,0.15,0.15,0.15,0.15
0.02,0.05,0.14,0.14,0.14,0.14,0.14,0.14
0.01,0.02,0.15,0.15,0.15,0.15,0.15,0.15
0,0.02,0.15,0.15,0.15,0.15,0.15,0.15
0,0.02,0.15,0.15,0.15,0.15,0.15,0.15
0,0.02,0.15,0.15,0.15,0.15,0.15,0.15
0,0.02,0.15,0.15,0.15,0.15,0.15,0.15
