Age,Arm,Thigh,Weight,Seated,Leg,HtShoes,Ht
0,0,0,0.02,0.15,0.23,0.25,0.25
0,0,0,0.02,0.15,0.23,0.25,0.25
0,0,0,0.02,0.15,0.23,0.25,0.25
0,0,0,0.02,0.15,0.23,0.25,0.25
0,0,0,0.02,0.15,0.23,0.25,0.25
0,0,0,0.02,0.15,0.23,0.25,0.25
0,0,0,0.02,0.15,0.23,0.25,0.25
0,0,0,0.02,0.15,0.23,0.25,0.25
0,0,0,0.02,0.15,0.23,0.25,0.25
0,0,0,0.02,0.15,0.23,0.25,0.25
0,0,0,0,0.1,0.19,0.2,0.21
0,0,0,0,0.1,0.19,0.2,0.21
0,0,0,0,0.1,0.19,0.2,0.21
0,0,0,0,0.1,0.19,0.2,0.21
0,0,0,0,0.1,0.19,0.2,0.21
0,0,0,0,0.1,0.19,0.2,0.21
0,0,0,0,0.1,0.19,0.2,0.21
0,0,0,0,0.1,0.19,0.2,0.21
0,0,0,0,0.1,0.19,0.2,0.21
0,0,0,0,0.1,0.19,0.2,0.21
0,0,0,0,0.1,0.19,0.2,0.21
0,0,0,0,0.1,0.19,0.2,0.21
0,0,0,0,0.1,0.19,0.2,0.21
0,0,0,0,0.1,0.19,0.2,0.21
0,0,0,0.02,0.15,0.23,0.25,0.25
0,0,0,0.02,0.15,0.23,0.25,0.25
0,0,0,0.02,0.15,0.23,0.25,0.25
0,0,0,0.02,0.15,0.23,0.25,0.25
0,0,0,0.02,0.15,0.23,0.25,0.25
