Ht,Age,Arm,Thigh,Weight,Seated,Leg,HtShoes
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
0,0,0.01,0.02,0.08,0.2,0.29,0.3
