Seated,Age,Arm,Thigh,Weight,Leg,HtShoes,Ht
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
0,0,0,0,0.06,0.27,0.28,0.29
