Leg,Age,Arm,Thigh,Weight,Seated,HtShoes,Ht
0,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0.01,0.02,0.1,0.1,0.12,0.16,0.19,0.19
0,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0.01,0.02,0.1,0.1,0.12,0.16,0.19,0.19
0,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0,0.01,0.1,0.11,0.13,0.16,0.19,0.19
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0,0.01,0.1,0.11,0.13,0.16,0.19,0.19
0.01,0.02,0.1,0.1,0.12,0.16,0.19,0.19
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0.01,0.02,0.1,0.1,0.12,0.16,0.19,0.19
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
