,Age,Arm,Thigh,Weight,Seated,Leg,HtShoes,Ht
1,0.02,0.09,0.09,0.1,0.13,0.16,0.16,0.16
2,0.01,0.09,0.09,0.1,0.14,0.16,0.16,0.16
3,0.01,0.09,0.09,0.1,0.13,0.16,0.16,0.16
4,0.01,0.09,0.09,0.1,0.13,0.16,0.16,0.16
5,0,0.09,0.09,0.1,0.14,0.16,0.16,0.16
6,0,0.09,0.09,0.1,0.14,0.16,0.16,0.16
7,0.04,0.08,0.09,0.1,0.13,0.15,0.16,0.16
8,0,0.09,0.09,0.1,0.14,0.16,0.16,0.16
9,0,0.09,0.09,0.1,0.14,0.16,0.16,0.16
10,0,0.09,0.09,0.1,0.14,0.16,0.16,0.16
11,0.01,0.07,0.07,0.08,0.1,0.12,0.12,0.12
12,0,0.07,0.07,0.08,0.11,0.12,0.12,0.13
13,0,0.07,0.07,0.08,0.11,0.12,0.13,0.13
14,0,0.07,0.07,0.08,0.11,0.12,0.13,0.13
15,0,0.07,0.07,0.08,0.11,0.12,0.13,0.13
16,0,0.07,0.07,0.08,0.11,0.12,0.13,0.13
17,0.01,0.07,0.07,0.08,0.1,0.12,0.12,0.12
18,0,0.07,0.07,0.08,0.11,0.12,0.13,0.13
19,0,0.07,0.07,0.08,0.11,0.12,0.13,0.13
20,0.01,0.07,0.07,0.08,0.1,0.12,0.12,0.12
21,0,0.07,0.07,0.08,0.11,0.12,0.13,0.13
22,0,0.07,0.07,0.08,0.11,0.12,0.13,0.13
23,0,0.07,0.07,0.08,0.11,0.12,0.13,0.13
24,0.01,0.07,0.07,0.08,0.11,0.12,0.12,0.13
25,0.04,0.06,0.07,0.08,0.1,0.12,0.12,0.12
26,0,0.09,0.09,0.1,0.14,0.16,0.16,0.16
27,0,0.09,0.09,0.1,0.14,0.16,0.16,0.16
28,0.01,0.09,0.09,0.1,0.13,0.16,0.16,0.16
29,0,0.09,0.09,0.1,0.14,0.16,0.16,0.16
30,0,0.09,0.09,0.1,0.14,0.16,0.16,0.16
