Seated,Age,Arm,Thigh,Weight,Leg,HtShoes,Ht
0,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0.01,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0.01,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0.01,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0.01,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0.01,0.02,0.1,0.1,0.12,0.18,0.18,0.19
0,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0.01,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0.01,0.01,0.1,0.1,0.12,0.18,0.19,0.19
0.01,0.01,0.1,0.1,0.12,0.18,0.19,0.19
