Weight,Age,Arm,Thigh,Seated,Leg,HtShoes,Ht
0.01,0.01,0.1,0.1,0.15,0.18,0.18,0.18
0,0.01,0.1,0.1,0.15,0.18,0.18,0.18
0.01,0.01,0.1,0.1,0.15,0.17,0.18,0.18
0.01,0.01,0.1,0.1,0.15,0.18,0.18,0.18
0.01,0.01,0.1,0.1,0.15,0.18,0.18,0.18
0,0.01,0.1,0.1,0.15,0.18,0.18,0.18
0,0.01,0.1,0.1,0.15,0.18,0.18,0.18
0,0.01,0.1,0.1,0.15,0.18,0.18,0.18
0.01,0.01,0.1,0.1,0.15,0.17,0.18,0.18
0,0.01,0.1,0.1,0.15,0.18,0.18,0.18
0.01,0.01,0.1,0.1,0.15,0.17,0.18,0.18
0,0.01,0.1,0.1,0.15,0.18,0.18,0.18
0,0.01,0.1,0.1,0.15,0.18,0.18,0.18
0.01,0.01,0.1,0.1,0.15,0.17,0.18,0.18
0,0.01,0.1,0.1,0.15,0.18,0.18,0.18
0,0.01,0.1,0.1,0.15,0.18,0.18,0.18
0.01,0.02,0.1,0.1,0.15,0.17,0.18,0.18
0,0.01,0.1,0.1,0.15,0.18,0.18,0.18
0,0.01,0.1,0.1,0.15,0.18,0.18,0.18
