Age,Arm,Thigh,Weight,Seated,Leg,HtShoes,Ht
0.06,0.12,0.12,0.12,0.12,0.12,0.12,0.12
0.03,0.12,0.12,0.12,0.12,0.12,0.12,0.12
0,0,0,0.02,0.15,0.23,0.25,0.25
0.04,0.12,0.12,0.12,0.12,0.12,0.12,0.12
0.04,0.12,0.12,0.12,0.12,0.12,0.12,0.12
0.01,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
0,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0.07,0.09,0.09,0.09,0.09,0.09,0.09,0.09
0.02,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.06,0.09,0.09,0.09,0.09,0.09,0.09,0.09
0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.02,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.05,0.09,0.09,0.09,0.09,0.09,0.09,0.09
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.03,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
0.02,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0.06,0.12,0.12,0.12,0.12,0.12,0.12,0.12
0.02,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0,0.13,0.13,0.13,0.13,0.13,0.13,0.13
