Arm,Age,Thigh,Weight,Seated,Leg,HtShoes,Ht
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.01,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.04,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.01,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.01,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.01,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.03,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.01,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.03,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.01,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.04,0.11,0.12,0.12,0.12,0.12,0.12,0.12
0.01,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.01,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.01,0.04,0.14,0.14,0.14,0.14,0.14,0.14
