HtShoes,Age,Arm,Thigh,Weight,Seated,Leg,Ht
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.03,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.04,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.04,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.04,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.02,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.03,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.01,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.04,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.04,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.04,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.04,0.05,0.14,0.14,0.14,0.14,0.14,0.14
0.04,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.02,0.04,0.14,0.14,0.14,0.14,0.14,0.14
