"combination","R_squared"
"age46",0.000136905792651132
"workclass",0.0249026896793416
"education",0.123683263075408
"marital_status",0.207880416845038
"occupation",0.123224219579079
"race",0.00764655530078484
"sex",0.04557843791618
"hours_per_week",0.0478017770667696
"native_country",0.0191414095464587
"age46, workclass",0.025026202612211
"age46, education",0.123699119916964
"age46, marital_status",0.208176273228126
"age46, occupation",0.123285158830343
"age46, race",0.00776408985681898
"age46, sex",0.0457521975794961
"age46, hours_per_week",0.0478921864002503
"age46, native_country",0.0192918035670037
"workclass, education",0.136154937196617
"workclass, marital_status",0.224021216752934
"workclass, occupation",0.133731724392149
"workclass, race",0.0328358150062417
"workclass, sex",0.0673429951298161
"workclass, hours_per_week",0.0664383030907106
"workclass, native_country",0.0426485769310299
"education, marital_status",0.329607826572898
"education, occupation",0.18111722527601
"education, race",0.127966855912023
"education, sex",0.169772575666832
"education, hours_per_week",0.152817187496258
"education, native_country",0.137291294199271
"marital_status, occupation",0.303449833190175
"marital_status, race",0.210601885482333
"marital_status, sex",0.208995455674957
"marital_status, hours_per_week",0.227505145483938
"marital_status, native_country",0.225364156319241
"occupation, race",0.127119150446545
"occupation, sex",0.163902047102579
"occupation, hours_per_week",0.147762229441615
"occupation, native_country",0.137536088507967
"race, sex",0.0508393448461698
"race, hours_per_week",0.053765511849548
"race, native_country",0.0261703167771148
"sex, hours_per_week",0.077868764657007
"sex, native_country",0.0653173960903483
"hours_per_week, native_country",0.066653889840718
"age46, workclass, education",0.136161181981175
"age46, workclass, marital_status",0.224354617835922
"age46, workclass, occupation",0.13381821146962
"age46, workclass, race",0.0329224025308642
"age46, workclass, sex",0.067501146665501
"age46, workclass, hours_per_week",0.066521373524512
"age46, workclass, native_country",0.042784687979707
"age46, education, marital_status",0.329640825022837
"age46, education, occupation",0.181139139288155
"age46, education, race",0.127991377243957
"age46, education, sex",0.169782106597366
"age46, education, hours_per_week",0.152838095982453
"age46, education, native_country",0.137318608533697
"age46, marital_status, occupation",0.303591091921249
"age46, marital_status, race",0.210882243155831
"age46, marital_status, sex",0.209315088665422
"age46, marital_status, hours_per_week",0.227810312515569
"age46, marital_status, native_country",0.225674638655994
"age46, occupation, race",0.127169481051235
"age46, occupation, sex",0.163972941606886
"age46, occupation, hours_per_week",0.147804707636213
"age46, occupation, native_country",0.137589760055956
"age46, race, sex",0.0509904242113149
"age46, race, hours_per_week",0.0538447168341138
"age46, race, native_country",0.0262853915904271
"age46, sex, hours_per_week",0.0779721321632169
"age46, sex, native_country",0.0655263922991727
"age46, hours_per_week, native_country",0.066760609435155
"workclass, education, marital_status",0.336460731318436
"workclass, education, occupation",0.18921177736254
"workclass, education, race",0.140515347389276
"workclass, education, sex",0.178939466676481
"workclass, education, hours_per_week",0.161633362308122
"workclass, education, native_country",0.150151078484434
"workclass, marital_status, occupation",0.309796191977469
"workclass, marital_status, race",0.227246540623875
"workclass, marital_status, sex",0.225293017288692
"workclass, marital_status, hours_per_week",0.242713548165965
"workclass, marital_status, native_country",0.24039687102369
"workclass, occupation, race",0.138056518328089
"workclass, occupation, sex",0.171117105699529
"workclass, occupation, hours_per_week",0.155696034382531
"workclass, occupation, native_country",0.147937615041542
"workclass, race, sex",0.0732863655869341
"workclass, race, hours_per_week",0.073212021991493
"workclass, race, native_country",0.0497611846967477
"workclass, sex, hours_per_week",0.0960646354999032
"workclass, sex, native_country",0.0856573872932959
"workclass, hours_per_week, native_country",0.0837448120286026
"education, marital_status, occupation",0.355642131077947
"education, marital_status, race",0.331811035771202
"education, marital_status, sex",0.330885062204056
"education, marital_status, hours_per_week",0.339801004437086
"education, marital_status, native_country",0.343796462267117
"education, occupation, race",0.184442890036114
"education, occupation, sex",0.213575424781084
"education, occupation, hours_per_week",0.197958539317983
"education, occupation, native_country",0.193341988816911
"education, race, sex",0.17231756799034
"education, race, hours_per_week",0.156314337177704
"education, race, native_country",0.141248592294951
"education, sex, hours_per_week",0.187003774523229
"education, sex, native_country",0.183440180273555
"education, hours_per_week, native_country",0.16640153041895
"marital_status, occupation, race",0.304828914995195
"marital_status, occupation, sex",0.306294280908928
"marital_status, occupation, hours_per_week",0.315180929465039
"marital_status, occupation, native_country",0.317166085873683
"marital_status, race, sex",0.211562194502364
"marital_status, race, hours_per_week",0.230098158517609
"marital_status, race, native_country",0.22774057303107
"marital_status, sex, hours_per_week",0.227613222422177
"marital_status, sex, native_country",0.226293059362662
"marital_status, hours_per_week, native_country",0.244336669820925
"occupation, race, sex",0.166271027823694
"occupation, race, hours_per_week",0.151004588513512
"occupation, race, native_country",0.141555664858096
"occupation, sex, hours_per_week",0.179845383647257
"occupation, sex, native_country",0.17791075405337
"occupation, hours_per_week, native_country",0.161766365316421
"race, sex, hours_per_week",0.0824247314854714
"race, sex, native_country",0.0700587801719051
"race, hours_per_week, native_country",0.0719526975507185
"sex, hours_per_week, native_country",0.0972512996455381
"age46, workclass, education, marital_status",0.3365256206792
"age46, workclass, education, occupation",0.189218738743674
"age46, workclass, education, race",0.140530060879383
"age46, workclass, education, sex",0.178942784450189
"age46, workclass, education, hours_per_week",0.161642221472655
"age46, workclass, education, native_country",0.15016540377365
"age46, workclass, marital_status, occupation",0.309982215206506
"age46, workclass, marital_status, race",0.227546185921302
"age46, workclass, marital_status, sex",0.225652488157905
"age46, workclass, marital_status, hours_per_week",0.243039654779496
"age46, workclass, marital_status, native_country",0.240722943169157
"age46, workclass, occupation, race",0.138122755904911
"age46, workclass, occupation, sex",0.171203190307969
"age46, workclass, occupation, hours_per_week",0.155750318166562
"age46, workclass, occupation, native_country",0.148015024354118
"age46, workclass, race, sex",0.0734019431781031
"age46, workclass, race, hours_per_week",0.0732693198751926
"age46, workclass, race, native_country",0.0498429014831706
"age46, workclass, sex, hours_per_week",0.0961611518558666
"age46, workclass, sex, native_country",0.0858386787434313
"age46, workclass, hours_per_week, native_country",0.0838375650336934
"age46, education, marital_status, occupation",0.355663518719218
"age46, education, marital_status, race",0.331850175042682
"age46, education, marital_status, sex",0.330925257331302
"age46, education, marital_status, hours_per_week",0.339841883511264
"age46, education, marital_status, native_country",0.343805517303599
"age46, education, occupation, race",0.184468700167434
"age46, education, occupation, sex",0.213581599111164
"age46, education, occupation, hours_per_week",0.197979650887521
"age46, education, occupation, native_country",0.193373586249
"age46, education, race, sex",0.172329146701869
"age46, education, race, hours_per_week",0.156341417033698
"age46, education, race, native_country",0.141296758986178
"age46, education, sex, hours_per_week",0.187024087725806
"age46, education, sex, native_country",0.183453194049367
"age46, education, hours_per_week, native_country",0.166431457883378
"age46, marital_status, occupation, race",0.304974814749684
"age46, marital_status, occupation, sex",0.306459025548418
"age46, marital_status, occupation, hours_per_week",0.315320771951617
"age46, marital_status, occupation, native_country",0.317270806639415
"age46, marital_status, race, sex",0.211864270885235
"age46, marital_status, race, hours_per_week",0.230389905517083
"age46, marital_status, race, native_country",0.22803116386727
"age46, marital_status, sex, hours_per_week",0.227925186292326
"age46, marital_status, sex, native_country",0.226627392292242
"age46, marital_status, hours_per_week, native_country",0.244642209480013
"age46, occupation, race, sex",0.166335210095015
"age46, occupation, race, hours_per_week",0.151040662301921
"age46, occupation, race, native_country",0.141588934524481
"age46, occupation, sex, hours_per_week",0.179890584607157
"age46, occupation, sex, native_country",0.177967033385407
"age46, occupation, hours_per_week, native_country",0.161803177464866
"age46, race, sex, hours_per_week",0.0825144919133242
"age46, race, sex, native_country",0.0702322454942769
"age46, race, hours_per_week, native_country",0.0720308596283
"age46, sex, hours_per_week, native_country",0.0973814825803452
"workclass, education, marital_status, occupation",0.360574326004953
"workclass, education, marital_status, race",0.338647024254592
"workclass, education, marital_status, sex",0.337632212890698
"workclass, education, marital_status, hours_per_week",0.346413068100499
"workclass, education, marital_status, native_country",0.350664339972654
"workclass, education, occupation, race",0.192785087413714
"workclass, education, occupation, sex",0.219138161289837
"workclass, education, occupation, hours_per_week",0.204288692533229
"workclass, education, occupation, native_country",0.201658505006962
"workclass, education, race, sex",0.181703598134531
"workclass, education, race, hours_per_week",0.165489745433966
"workclass, education, race, native_country",0.153936463883576
"workclass, education, sex, hours_per_week",0.194503496055954
"workclass, education, sex, native_country",0.192866439879287
"workclass, education, hours_per_week, native_country",0.17536361694777
"workclass, marital_status, occupation, race",0.311344670976054
"workclass, marital_status, occupation, sex",0.312327560529508
"workclass, marital_status, occupation, hours_per_week",0.320848298664081
"workclass, marital_status, occupation, native_country",0.323206914343077
"workclass, marital_status, race, sex",0.228332734089568
"workclass, marital_status, race, hours_per_week",0.245742551185642
"workclass, marital_status, race, native_country",0.243211700128671
"workclass, marital_status, sex, hours_per_week",0.242918989788356
"workclass, marital_status, sex, native_country",0.241459349846663
"workclass, marital_status, hours_per_week, native_country",0.258316518401851
"workclass, occupation, race, sex",0.173882327646064
"workclass, occupation, race, hours_per_week",0.159465734389196
"workclass, occupation, race, native_country",0.152215577874535
"workclass, occupation, sex, hours_per_week",0.185735345564003
"workclass, occupation, sex, native_country",0.185086586604348
"workclass, occupation, hours_per_week, native_country",0.169492493454038
"workclass, race, sex, hours_per_week",0.101484574466795
"workclass, race, sex, native_country",0.0909448450666815
