"combination","R_squared"
"age",0.0682620841074623
"workclass",0.0249026896793416
"education",0.123683263075408
"marital_status",0.207880416845038
"occupation",0.123224219579079
"race",0.00764655530078484
"sex",0.04557843791618
"hours_per_week",0.0478017770667696
"native_country17",0.0120391341724019
"age, workclass",0.0828491738000318
"age, education",0.181934571339844
"age, marital_status",0.226070736908065
"age, occupation",0.179475413027175
"age, race",0.0742264368036886
"age, sex",0.107890526860942
"age, hours_per_week",0.11359899618637
"age, native_country17",0.0811119649109208
"workclass, education",0.136154937196617
"workclass, marital_status",0.224021216752934
"workclass, occupation",0.133731724392149
"workclass, race",0.0328358150062417
"workclass, sex",0.0673429951298161
"workclass, hours_per_week",0.0664383030907106
"workclass, native_country17",0.0350425921123528
"education, marital_status",0.329607826572898
"education, occupation",0.18111722527601
"education, race",0.127966855912023
"education, sex",0.169772575666832
"education, hours_per_week",0.152817187496258
"education, native_country17",0.135438519445753
"marital_status, occupation",0.303449833190175
"marital_status, race",0.210601885482333
"marital_status, sex",0.208995455674957
"marital_status, hours_per_week",0.227505145483938
"marital_status, native_country17",0.219828820144738
"occupation, race",0.127119150446545
"occupation, sex",0.163902047102579
"occupation, hours_per_week",0.147762229441615
"occupation, native_country17",0.135128640862618
"race, sex",0.0508393448461698
"race, hours_per_week",0.053765511849548
"race, native_country17",0.020028699630486
"sex, hours_per_week",0.077868764657007
"sex, native_country17",0.0569977433175378
"hours_per_week, native_country17",0.0589524481053348
"age, workclass, education",0.188382633286539
"age, workclass, marital_status",0.239611767160473
"age, workclass, occupation",0.185417177725218
"age, workclass, race",0.0891906924565241
"age, workclass, sex",0.122209389641903
"age, workclass, hours_per_week",0.125228934215656
"age, workclass, native_country17",0.094337671832599
"age, education, marital_status",0.343401929889459
"age, education, occupation",0.232223763627299
"age, education, race",0.184831311227504
"age, education, sex",0.222219514847084
"age, education, hours_per_week",0.210521255111131
"age, education, native_country17",0.194345857683693
"age, marital_status, occupation",0.318888141356213
"age, marital_status, race",0.228219280601156
"age, marital_status, sex",0.226654537333611
"age, marital_status, hours_per_week",0.249430697639823
"age, marital_status, native_country17",0.237752378566275
"age, occupation, race",0.182368406157902
"age, occupation, sex",0.213535518858705
"age, occupation, hours_per_week",0.205375502750476
"age, occupation, native_country17",0.191878515171169
"age, race, sex",0.111847178239007
"age, race, hours_per_week",0.118140715816833
"age, race, native_country17",0.0873685663830018
"age, sex, hours_per_week",0.139594698574906
"age, sex, native_country17",0.12038866657607
"age, hours_per_week, native_country17",0.125016622479942
"workclass, education, marital_status",0.336460731318436
"workclass, education, occupation",0.18921177736254
"workclass, education, race",0.140515347389276
"workclass, education, sex",0.178939466676481
"workclass, education, hours_per_week",0.161633362308122
"workclass, education, native_country17",0.146219208295377
"workclass, marital_status, occupation",0.309796191977469
"workclass, marital_status, race",0.227246540623875
"workclass, marital_status, sex",0.225293017288692
"workclass, marital_status, hours_per_week",0.242713548165965
"workclass, marital_status, native_country17",0.234632920550189
"workclass, occupation, race",0.138056518328089
"workclass, occupation, sex",0.171117105699529
"workclass, occupation, hours_per_week",0.155696034382531
"workclass, occupation, native_country17",0.144136553767265
"workclass, race, sex",0.0732863655869341
"workclass, race, hours_per_week",0.073212021991493
"workclass, race, native_country17",0.0433647307932779
"workclass, sex, hours_per_week",0.0960646354999032
"workclass, sex, native_country17",0.0773909761305369
"workclass, hours_per_week, native_country17",0.0761066342986121
"education, marital_status, occupation",0.355642131077947
"education, marital_status, race",0.331811035771202
"education, marital_status, sex",0.330885062204056
"education, marital_status, hours_per_week",0.339801004437086
"education, marital_status, native_country17",0.342271222760397
"education, occupation, race",0.184442890036114
