"combination","R_squared"
"age",0.0682620841074623
"workclass59",0.00112866642762455
"education",0.123683263075408
"marital_status",0.207880416845038
"occupation",0.123224219579079
"race",0.00764655530078484
"sex",0.04557843791618
"hours_per_week",0.0478017770667696
"native_country",0.0191414095464587
"age, workclass59",0.0699910470602644
"age, education",0.181934571339844
"age, marital_status",0.226070736908065
"age, occupation",0.179475413027175
"age, race",0.0742264368036886
"age, sex",0.107890526860942
"age, hours_per_week",0.11359899618637
"age, native_country",0.0875691863969055
"workclass59, education",0.125441136246738
"workclass59, marital_status",0.210324120219655
"workclass59, occupation",0.125024777640397
"workclass59, race",0.00879935730798198
"workclass59, sex",0.0469365096272578
"workclass59, hours_per_week",0.0492109542591154
"workclass59, native_country",0.0204096089353618
"education, marital_status",0.329607826572898
"education, occupation",0.18111722527601
"education, race",0.127966855912023
"education, sex",0.169772575666832
"education, hours_per_week",0.152817187496258
"education, native_country",0.137291294199271
"marital_status, occupation",0.303449833190175
"marital_status, race",0.210601885482333
"marital_status, sex",0.208995455674957
"marital_status, hours_per_week",0.227505145483938
"marital_status, native_country",0.225364156319241
"occupation, race",0.127119150446545
"occupation, sex",0.163902047102579
"occupation, hours_per_week",0.147762229441615
"occupation, native_country",0.137536088507967
"race, sex",0.0508393448461698
"race, hours_per_week",0.053765511849548
"race, native_country",0.0261703167771148
"sex, hours_per_week",0.077868764657007
"sex, native_country",0.0653173960903483
"hours_per_week, native_country",0.066653889840718
"age, workclass59, education",0.184738473148584
"age, workclass59, marital_status",0.228758446734509
"age, workclass59, occupation",0.182163026721054
"age, workclass59, race",0.0759867885796436
"age, workclass59, sex",0.109731547154289
"age, workclass59, hours_per_week",0.115504240270334
"age, workclass59, native_country",0.0894244835160547
"age, education, marital_status",0.343401929889459
"age, education, occupation",0.232223763627299
"age, education, race",0.184831311227504
"age, education, sex",0.222219514847084
"age, education, hours_per_week",0.210521255111131
"age, education, native_country",0.19637786699067
"age, marital_status, occupation",0.318888141356213
"age, marital_status, race",0.228219280601156
"age, marital_status, sex",0.226654537333611
"age, marital_status, hours_per_week",0.249430697639823
"age, marital_status, native_country",0.243575136445808
"age, occupation, race",0.182368406157902
"age, occupation, sex",0.213535518858705
"age, occupation, hours_per_week",0.205375502750476
"age, occupation, native_country",0.194363024216195
"age, race, sex",0.111847178239007
"age, race, hours_per_week",0.118140715816833
"age, race, native_country",0.0930375607043648
"age, sex, hours_per_week",0.139594698574906
"age, sex, native_country",0.12733205051442
"age, hours_per_week, native_country",0.132029428124526
"workclass59, education, marital_status",0.332664587641967
"workclass59, education, occupation",0.183751400986761
"workclass59, education, race",0.12971452921961
"workclass59, education, sex",0.171742379879994
"workclass59, education, hours_per_week",0.154824892876502
"workclass59, education, native_country",0.139020279603534
"workclass59, marital_status, occupation",0.306488457453579
"workclass59, marital_status, race",0.213097366712781
"workclass59, marital_status, sex",0.211474472551554
"workclass59, marital_status, hours_per_week",0.229741086800968
"workclass59, marital_status, native_country",0.227906793911524
"workclass59, occupation, race",0.128977088269302
"workclass59, occupation, sex",0.165646304619773
"workclass59, occupation, hours_per_week",0.149894480982479
"workclass59, occupation, native_country",0.139571541887143
"workclass59, race, sex",0.0522267245059479
"workclass59, race, hours_per_week",0.0552034890154879
"workclass59, race, native_country",0.0274234990270295
"workclass59, sex, hours_per_week",0.0793889186270536
"workclass59, sex, native_country",0.0669135496953563
"workclass59, hours_per_week, native_country",0.0682618885199997
"education, marital_status, occupation",0.355642131077947
"education, marital_status, race",0.331811035771202
"education, marital_status, sex",0.330885062204056
"education, marital_status, hours_per_week",0.339801004437086
"education, marital_status, native_country",0.343796462267117
"education, occupation, race",0.184442890036114
"education, occupation, sex",0.213575424781084
"education, occupation, hours_per_week",0.197958539317983
"education, occupation, native_country",0.193341988816911
"education, race, sex",0.17231756799034
"education, race, hours_per_week",0.156314337177704
"education, race, native_country",0.141248592294951
"education, sex, hours_per_week",0.187003774523229
"education, sex, native_country",0.183440180273555
"education, hours_per_week, native_country",0.16640153041895
"marital_status, occupation, race",0.304828914995195
"marital_status, occupation, sex",0.306294280908928
"marital_status, occupation, hours_per_week",0.315180929465039
"marital_status, occupation, native_country",0.317166085873683
"marital_status, race, sex",0.211562194502364
"marital_status, race, hours_per_week",0.230098158517609
"marital_status, race, native_country",0.22774057303107
"marital_status, sex, hours_per_week",0.227613222422177
"marital_status, sex, native_country",0.226293059362662
"marital_status, hours_per_week, native_country",0.244336669820925
"occupation, race, sex",0.166271027823694
"occupation, race, hours_per_week",0.151004588513512
"occupation, race, native_country",0.141555664858096
"occupation, sex, hours_per_week",0.179845383647257
"occupation, sex, native_country",0.17791075405337
"occupation, hours_per_week, native_country",0.161766365316421
"race, sex, hours_per_week",0.0824247314854714
"race, sex, native_country",0.0700587801719051
"race, hours_per_week, native_country",0.0719526975507185
"sex, hours_per_week, native_country",0.0972512996455381
"age, workclass59, education, marital_status",0.346829757268612
"age, workclass59, education, occupation",0.23592531200042
"age, workclass59, education, race",0.187618451929861
"age, workclass59, education, sex",0.225202182479935
"age, workclass59, education, hours_per_week",0.213653152264931
"age, workclass59, education, native_country",0.199218661094496
"age, workclass59, marital_status, occupation",0.322220954386323
"age, workclass59, marital_status, race",0.230958001531351
"age, workclass59, marital_status, sex",0.22934451169371
"age, workclass59, marital_status, hours_per_week",0.251916398048599
"age, workclass59, marital_status, native_country",0.246301744925915
"age, workclass59, occupation, race",0.18512000935197
"age, workclass59, occupation, sex",0.216034649792501
"age, workclass59, occupation, hours_per_week",0.208487550305388
"age, workclass59, occupation, native_country",0.197396612113795
"age, workclass59, race, sex",0.113725688917458
"age, workclass59, race, hours_per_week",0.120081446788932
"age, workclass59, race, native_country",0.0948943954895539
"age, workclass59, sex, hours_per_week",0.141493761275514
"age, workclass59, sex, native_country",0.129432473740982
"age, workclass59, hours_per_week, native_country",0.134182562397495
"age, education, marital_status, occupation",0.369244672288044
"age, education, marital_status, race",0.345165380441218
"age, education, marital_status, sex",0.344207037460951
"age, education, marital_status, hours_per_week",0.355676378831716
"age, education, marital_status, native_country",0.357990529011894
"age, education, occupation, race",0.234528697625749
"age, education, occupation, sex",0.259648706442087
"age, education, occupation, hours_per_week",0.251280000569316
"age, education, occupation, native_country",0.245439289416557
"age, education, race, sex",0.223873923386761
"age, education, race, hours_per_week",0.21279489231807
"age, education, race, native_country",0.199066107264209
"age, education, sex, hours_per_week",0.239949211533495
"age, education, sex, native_country",0.236616710429566
"age, education, hours_per_week, native_country",0.224551617039181
"age, marital_status, occupation, race",0.31994422215305
"age, marital_status, occupation, sex",0.320749821646527
"age, marital_status, occupation, hours_per_week",0.333947828710922
"age, marital_status, occupation, native_country",0.332934446863482
"age, marital_status, race, sex",0.22872185697341
"age, marital_status, race, hours_per_week",0.251386853051493
"age, marital_status, race, native_country",0.245497760218595
"age, marital_status, sex, hours_per_week",0.249431194485676
"age, marital_status, sex, native_country",0.244035619250521
"age, marital_status, hours_per_week, native_country",0.265952488703635
"age, occupation, race, sex",0.215239296534443
"age, occupation, race, hours_per_week",0.207761223786559
"age, occupation, race, native_country",0.197346953025833
"age, occupation, sex, hours_per_week",0.231818555532562
"age, occupation, sex, native_country",0.228073150927544
"age, occupation, hours_per_week, native_country",0.219831917701757
"age, race, sex, hours_per_week",0.142955769938825
"age, race, sex, native_country",0.130896784826625
"age, race, hours_per_week, native_country",0.136075313385901
"age, sex, hours_per_week, native_country",0.158162263631664
"workclass59, education, marital_status, occupation",0.359431833792742
"workclass59, education, marital_status, race",0.334845778590735
"workclass59, education, marital_status, sex",0.33398566933149
"workclass59, education, marital_status, hours_per_week",0.342931451049303
"workclass59, education, marital_status, native_country",0.346766564062419
"workclass59, education, occupation, race",0.187105276288197
"workclass59, education, occupation, sex",0.216150696419671
"workclass59, education, occupation, hours_per_week",0.200756627251967
"workclass59, education, occupation, native_country",0.196049244430606
"workclass59, education, race, sex",0.17430858336232
"workclass59, education, race, hours_per_week",0.158324789863519
"workclass59, education, race, native_country",0.142966659765518
"workclass59, education, sex, hours_per_week",0.18909919103546
"workclass59, education, sex, native_country",0.185532499659164
"workclass59, education, hours_per_week, native_country",0.168429969824225
"workclass59, marital_status, occupation, race",0.30792543443539
"workclass59, marital_status, occupation, sex",0.309232203366391
"workclass59, marital_status, occupation, hours_per_week",0.318216128119912
"workclass59, marital_status, occupation, native_country",0.320223782367526
"workclass59, marital_status, race, sex",0.21409072235191
"workclass59, marital_status, race, hours_per_week",0.232386948008239
"workclass59, marital_status, race, native_country",0.23033306026779
"workclass59, marital_status, sex, hours_per_week",0.229861804402324
"workclass59, marital_status, sex, native_country",0.228900223586257
"workclass59, marital_status, hours_per_week, native_country",0.246688878043422
"workclass59, occupation, race, sex",0.168037756434594
"workclass59, occupation, race, hours_per_week",0.153196086610285
"workclass59, occupation, race, native_country",0.143577490247763
"workclass59, occupation, sex, hours_per_week",0.181780656916459
"workclass59, occupation, sex, native_country",0.179941285127543
"workclass59, occupation, hours_per_week, native_country",0.164124430419126
"workclass59, race, sex, hours_per_week",0.0839816696649804
"workclass59, race, sex, native_country",0.0716214097956548
"workclass59, race, hours_per_week, native_country",0.0735115922892045
"workclass59, sex, hours_per_week, native_country",0.0990315177192512
"education, marital_status, occupation, race",0.35747480429501
"education, marital_status, occupation, sex",0.35682406514568
"education, marital_status, occupation, hours_per_week",0.363486141378693
"education, marital_status, occupation, native_country",0.369366671373396
"education, marital_status, race, sex",0.332978065644912
"education, marital_status, race, hours_per_week",0.341984366533502
"education, marital_status, race, native_country",0.345613380355656
"education, marital_status, sex, hours_per_week",0.340196340892342
"education, marital_status, sex, native_country",0.344842875490643
"education, marital_status, hours_per_week, native_country",0.35343930035041
"education, occupation, race, sex",0.215687683936534
"education, occupation, race, hours_per_week",0.20079823187991
"education, occupation, race, native_country",0.196505869362644
