age,workclass,education,marital_status,occupation,race,sex,hours_per_week,native_country
0.037,0.01,0.07,0.149,0.064,0.003,0.018,0.021,0.015
0.03784323,0.010434509,0.079507575,0.163278808,0.065934255,0.003259227,0.000467119,0.023265621,0.015122444
0.037863936,0.010471303,0.07951974,0.163017048,0.065944148,0.003285044,9.59E-05,0.02327942,0.015081995
0.037771076,0.010464094,0.079468207,0.163187457,0.065857686,0.003291538,0.000391812,0.023249284,0.015066779
0.037868647,0.010472589,0.07949918,0.163025544,0.065955308,0.003287762,6.12E-05,0.023275186,0.015074098
0.03787931,0.010478239,0.079535315,0.163030966,0.065950151,0.00329031,1.40E-05,0.023280243,0.015070154
0.037857129,0.010472496,0.079525425,0.16301345,0.065957885,0.003288861,5.72E-05,0.023273352,0.015072603
0.037961201,0.010434683,0.07949433,0.163270365,0.065883589,0.003274904,0.001653936,0.023310199,0.014959304
0.037931139,0.010484183,0.079508089,0.162987318,0.065945174,0.003298024,9.98E-05,0.023272114,0.015118431
0.037893745,0.010483314,0.079637472,0.162761963,0.065932032,0.003287528,0.000299653,0.023270162,0.015107812
0.037965396,0.010576155,0.079456926,0.16289465,0.065905953,0.003285465,0.001338922,0.023356379,0.015023803
0.037862526,0.010475931,0.079524717,0.163020788,0.065954793,0.003289221,3.01E-05,0.023277504,0.015076929
0.037954054,0.010523286,0.079678146,0.163173159,0.065941305,0.003253536,0.000552158,0.023205968,0.015075309
0.037893866,0.010464984,0.079551943,0.163068446,0.065917879,0.003286308,8.95E-05,0.023273548,0.01509983
0.037907089,0.010492155,0.07954441,0.163054486,0.065935604,0.003287671,7.59E-05,0.023286207,0.015036078
0.037891162,0.010462374,0.079546403,0.162841418,0.065973789,0.003306428,0.000754898,0.023193185,0.015106654
0.037873024,0.010459977,0.079514852,0.163054449,0.065958107,0.003285921,5.31E-05,0.023254653,0.015079443
0.03786036,0.010494196,0.079440568,0.162886079,0.065977276,0.003277456,0.000355,0.02325748,0.015083611
0.037842208,0.010453992,0.079522771,0.163052553,0.065963549,0.003286703,0.000158461,0.023244767,0.015075148
0.037889583,0.01047324,0.079572611,0.163028074,0.065964737,0.003284263,7.98E-05,0.023284234,0.015069051
0.037944307,0.010467053,0.079277712,0.162947385,0.065921176,0.003283335,0.000749465,0.023283279,0.01503081
0.037889321,0.010463316,0.079513252,0.162931287,0.065972309,0.003290589,0.000112878,0.023262701,0.015069621
0.037988862,0.010507444,0.079545726,0.16322499,0.066030308,0.003286246,0.000343394,0.023257908,0.015128387
0.037873205,0.01048436,0.079500843,0.163029865,0.065965361,0.003292981,2.17E-05,0.023288034,0.015084421
0.037868165,0.010472116,0.079518032,0.16303207,0.065972519,0.0032884,2.48E-05,0.023270218,0.015089835
0.03786106,0.01047276,0.079552739,0.16292975,0.066006903,0.003288069,0.000106709,0.023234898,0.015066048
0.037885524,0.010461641,0.079563827,0.162949908,0.066028169,0.003290682,0.000315446,0.0232861,0.015093265
0.037910632,0.010453032,0.079444035,0.162837305,0.0658695,0.003316785,0.000567514,0.023378218,0.01507804
0.037874637,0.010474128,0.079504865,0.163022729,0.065970489,0.003289901,2.01E-05,0.023277294,0.01508119
0.037882739,0.010496671,0.07957416,0.163117191,0.065977284,0.003284368,0.000262783,0.023321452,0.01508472
0.037880438,0.010476725,0.079533,0.163029753,0.065954864,0.003289637,2.51E-05,0.023258093,0.015071939
0.037880067,0.010462497,0.079519208,0.163056125,0.065956436,0.003296723,7.87E-05,0.023316524,0.015070119
0.03786269,0.010485277,0.079522762,0.16301287,0.065968544,0.003283974,7.32E-05,0.02325383,0.015048472
0.037897713,0.010485818,0.079604457,0.163053704,0.065982656,0.003282959,9.96E-05,0.023285752,0.015073677
0.037869064,0.010484271,0.079518915,0.1629086,0.066007428,0.00328514,0.000154411,0.023321079,0.015071557
0.037861046,0.010495102,0.07966052,0.162973618,0.065896083,0.00327728,0.000250144,0.02332595,0.015018434
0.037880057,0.01046412,0.079510916,0.163016791,0.065922229,0.00329312,0.000165823,0.023273244,0.015052409
0.037866173,0.010479352,0.079608622,0.163030643,0.066039224,0.00329165,0.000209352,0.023326446,0.015027094
0.037787702,0.010416327,0.079432008,0.162920646,0.065940257,0.003303772,0.000532277,0.023232406,0.015090038
0.037970328,0.010479325,0.079378234,0.16304988,0.066016382,0.003289125,0.000526051,0.023230691,0.015114693
0.037909183,0.010464208,0.079522673,0.162973726,0.065933882,0.003293651,0.000125974,0.023296098,0.015078117
0.037863128,0.010473341,0.079536573,0.16302877,0.065951426,0.003286736,3.54E-05,0.023278912,0.015077912
0.037878991,0.010465882,0.079507315,0.162993973,0.065967049,0.00329178,3.20E-05,0.023300068,0.015078212
0.037869073,0.010475003,0.079528852,0.163020221,0.065954279,0.00328727,1.04E-05,0.023279945,0.015080389
0.03785916,0.010472056,0.079534057,0.163017367,0.066044578,0.003283109,0.000184012,0.023254381,0.01509041
0.037766854,0.010464204,0.079629189,0.162930126,0.065847244,0.003304538,0.000894991,0.023369185,0.015099966
0.037867663,0.010467007,0.079356752,0.163122973,0.065929735,0.003291977,0.000220233,0.023245764,0.015064103
0.037870327,0.010472862,0.079531997,0.163007907,0.065955026,0.003289537,2.69E-05,0.023277598,0.015080951
0.037904493,0.010449966,0.079548595,0.163036485,0.066001759,0.003292511,0.000235315,0.023211525,0.015099566
0.037863534,0.010482408,0.079492446,0.163027215,0.065984588,0.003292048,3.85E-05,0.023264813,0.015079128
0.037861974,0.010473396,0.079523031,0.163005743,0.065948858,0.003290561,5.31E-05,0.023273724,0.015079728
0.037871947,0.010473714,0.079520327,0.162987955,0.065968841,0.003292846,2.85E-05,0.023272522,0.015088385
0.037876147,0.010476241,0.079536233,0.16303987,0.06593816,0.003287759,2.49E-05,0.023287102,0.015078153
0.037873701,0.010478763,0.079521043,0.163019557,0.065959364,0.003290435,2.82E-05,0.023273318,0.015082252
0.037877745,0.010493166,0.079532252,0.162965461,0.066032362,0.003294368,0.000264076,0.023320961,0.015106968
0.037878103,0.010485443,0.079511149,0.163051653,0.065977779,0.003287867,4.29E-05,0.023280962,0.015067617
0.037853266,0.010446457,0.07943348,0.16290398,0.065938393,0.003285583,0.000305686,0.023277513,0.015064458
0.037798042,0.010477443,0.079599939,0.163002726,0.065939171,0.003318413,0.000304653,0.023287152,0.015129422
0.037891692,0.010477243,0.079643979,0.162777551,0.065983252,0.003299601,0.000723381,0.023238498,0.015106766
0.037929428,0.010491674,0.079422482,0.163028007,0.066016145,0.003288933,0.000100159,0.023284765,0.015085039
0.037937573,0.01048691,0.07965066,0.162946182,0.065923533,0.003281378,0.000147387,0.023270098,0.015081379
