Permutation,age,workclass,education,marital_status,occupation,race,sex,hours_per_week,native_country,time
0,0.037,0.01,0.07,0.149,0.064,0.003,0.018,0.021,0.015,
1,0.038144241,0.003057267,0.080638445,0.149265875,0.067352836,0.003082055,0.018714784,0.022068175,0.01529638,0.03
2,0.037927134,0.001141491,0.081124053,0.149518438,0.067434775,0.003043166,0.018736306,0.021954164,0.015372119,0.08
3,0.038144846,0.000719293,0.080680295,0.149755942,0.067501042,0.003048102,0.018751321,0.021965467,0.01524381,0.11
4,0.038093288,0.00205023,0.080605278,0.149804388,0.067583006,0.003050546,0.01878728,0.021893673,0.015255726,0.11
5,0.037980443,0.000634289,0.080667721,0.149756938,0.067393375,0.003033957,0.018765218,0.021970521,0.015274581,0.24
6,0.037845142,0.000790479,0.080781024,0.14946416,0.067477441,0.003050787,0.018804362,0.021986105,0.015342074,0.11
7,0.037904109,0.000891506,0.080776423,0.149479885,0.067337934,0.003007463,0.018752198,0.022055556,0.015204844,0.12
8,0.037951485,0.000231746,0.080786827,0.149594978,0.067383182,0.003021755,0.018769978,0.021984365,0.015285558,0.14
9,0.037847985,0.000889708,0.080885767,0.149236336,0.067461991,0.003054724,0.018771467,0.021986041,0.015217169,0.1
10,0.0380368,0.00088953,0.080720378,0.149506602,0.06726347,0.003035714,0.018732712,0.021968587,0.015271036,0.12
11,0.037814193,0.001335012,0.080901672,0.149786109,0.067206916,0.003020063,0.018772664,0.022000022,0.015353892,0.12
12,0.038029567,0.000850996,0.080875664,0.149464508,0.067226615,0.003049194,0.018763711,0.021949971,0.015278156,0.11
13,0.038187113,0.002237985,0.08099595,0.149515578,0.067499091,0.003006278,0.018861061,0.02210564,0.015391608,0.11
14,0.03788299,0.00079013,0.080689002,0.149486805,0.067410364,0.003032144,0.018754394,0.021990228,0.015221862,0.11
15,0.03810047,0.002213312,0.080604605,0.149594814,0.067393389,0.0030447,0.018902235,0.021811057,0.015217697,0.09
16,0.038151061,0.002718267,0.080496754,0.149950384,0.067246143,0.003071153,0.018765635,0.022009645,0.015192206,0.08
17,0.038038742,0.003317277,0.080774153,0.150219835,0.067383573,0.00308091,0.018830271,0.02189107,0.015380683,0.13
18,0.037996787,0.001040181,0.080684612,0.149549221,0.067436999,0.003022746,0.018819311,0.022038388,0.015342626,0.12
19,0.037976299,0.00330099,0.081527892,0.149312538,0.067518873,0.002936288,0.018861946,0.021830853,0.015267878,0.1
20,0.038191432,0.002569592,0.081048477,0.149462698,0.06732629,0.002920581,0.018864203,0.02186299,0.015275266,0.09
21,0.038031729,0.001576576,0.080684719,0.148982623,0.067399997,0.003028404,0.018849091,0.021866061,0.01525803,0.13
22,0.03768002,0.002616195,0.081262865,0.149038969,0.067097324,0.00304059,0.01874968,0.022065063,0.015298816,0.11
23,0.038092181,0.000849035,0.080802534,0.149349127,0.067374343,0.00303786,0.018782895,0.021930548,0.015243219,0.13
24,0.038018252,0.000670407,0.080789869,0.149569005,0.067454421,0.003040992,0.018799994,0.021926991,0.015241248,0.11
25,0.037876705,0.001751728,0.080644021,0.149710217,0.067535872,0.003019691,0.018849442,0.022068826,0.01540481,0.14
26,0.037909605,0.001561972,0.080750288,0.149618335,0.067636503,0.003045621,0.018789758,0.022028262,0.015185114,0.08
27,0.037786518,0.001161717,0.081009211,0.14987348,0.067401108,0.003027126,0.018826496,0.021990785,0.015405211,0.13
28,0.037950283,0.000791409,0.080770097,0.149727479,0.067277587,0.003030015,0.018790337,0.021953237,0.0152989,0.11
29,0.038145985,0.00200188,0.080684327,0.14970829,0.067223814,0.00297624,0.018780141,0.022052634,0.015279669,0.09
30,0.038129856,0.001589578,0.080811865,0.149495087,0.06734424,0.002991554,0.018770835,0.021992828,0.015331432,0.15
31,0.037935739,0.001483927,0.080784578,0.149402726,0.06748684,0.00295615,0.018771745,0.021826675,0.015264143,0.11
32,0.037804837,0.002571936,0.080414311,0.149962918,0.067561652,0.003011073,0.018789045,0.02195166,0.015203488,0.11
33,0.038124511,0.001027338,0.08067265,0.149870105,0.067411232,0.003035036,0.018748533,0.021888664,0.015240726,0.11
34,0.037879308,0.000772837,0.080951441,0.14930284,0.067351466,0.003038411,0.018773472,0.021828545,0.015301355,0.14
35,0.0379247,0.00264743,0.080577972,0.149726866,0.067511852,0.002981009,0.01879846,0.022044979,0.015397816,0.12
36,0.038170581,0.003010975,0.080701246,0.149616203,0.067600263,0.003070647,0.018743643,0.022128082,0.01536569,0.07
37,0.038060263,0.001970803,0.080576103,0.149692053,0.06730529,0.00302568,0.018887494,0.021882875,0.015230943,0.12
38,0.03811765,0.002049341,0.080706815,0.14968793,0.067442618,0.003044742,0.01877866,0.021934093,0.015243841,0.11
39,0.038064423,0.001093412,0.080933908,0.149860259,0.067460431,0.003044506,0.018799962,0.021940513,0.015253286,0.09
40,0.03786345,0.000851285,0.080836214,0.149672676,0.067439411,0.003023083,0.018793689,0.022017332,0.015354141,0.12
41,0.037948614,0.001900953,0.080829509,0.15023289,0.067103067,0.003046777,0.018760797,0.021884599,0.015242575,0.13
42,0.038019747,0.001499249,0.081011571,0.149328472,0.067353345,0.003055746,0.018654954,0.021925326,0.015156154,0.12
43,0.038213966,0.004044226,0.080656818,0.149656371,0.067403293,0.003025296,0.018684223,0.02196169,0.015324587,0.11
44,0.038158379,0.001292235,0.080544804,0.149888877,0.067367684,0.003047005,0.018767164,0.021896538,0.015286766,0.09
45,0.038153864,0.001481945,0.080876231,0.149439667,0.067663527,0.003005054,0.01878391,0.02191758,0.015127549,0.09
46,0.038117001,0.001152353,0.080719099,0.14911892,0.067368902,0.003041057,0.018835271,0.021961973,0.015227092,0.11
47,0.038024546,0.000394411,0.080823733,0.149606815,0.06730965,0.003044885,0.018759634,0.021954459,0.015265745,0.12
48,0.038048254,0.000416073,0.080786374,0.149536017,0.067389491,0.003007416,0.018785914,0.022006748,0.015298192,0.1
49,0.038002635,0.001226323,0.08065772,0.149583492,0.067501943,0.003035762,0.018753231,0.022182372,0.015299473,0.09
50,0.038103198,0.001166356,0.080817545,0.149542502,0.067587549,0.00303982,0.018840434,0.021874801,0.015330008,0.11
51,0.038022771,0.000438348,0.080721439,0.149555617,0.067370537,0.003045879,0.018745401,0.02195894,0.01526588,0.09
52,0.03793591,0.001802846,0.081091199,0.149543664,0.067499231,0.003023729,0.018796036,0.021947174,0.015199936,0.11
53,0.037836404,0.001394552,0.08068075,0.150009919,0.067327413,0.003008329,0.01871953,0.021962845,0.015298328,0.09
54,0.038282656,0.001808639,0.080873822,0.150018417,0.067532909,0.003038231,0.018782522,0.02216453,0.015265748,0.11
55,0.038088598,0.001342446,0.080878965,0.149781993,0.067133154,0.003029856,0.018801085,0.021925662,0.01539589,0.14
56,0.037903869,0.001240185,0.080823478,0.149312233,0.067279745,0.003073304,0.018714892,0.021985284,0.015407913,0.14
57,0.037898277,0.001356327,0.080514322,0.149554041,0.067462845,0.003006914,0.018820358,0.021932724,0.015290237,0.11
58,0.037996565,0.002538249,0.081046001,0.149464256,0.067378046,0.003036339,0.018658285,0.021946629,0.015254663,0.11
