0
"[('marital_status', 0.149), ('education', 0.07), ('occupation', 0.064), ('age', 0.037), ('hours_per_week', 0.021), ('sex', 0.018), ('native_country', 0.015), ('workclass', 0.01), ('race', 0.003)]"
"[('marital_status', 0.166764163), ('education', 0.080783958), ('occupation', 0.066225238), ('hours_per_week', 0.020390858), ('sex', 0.019392861), ('native_country', 0.014965039), ('workclass', 0.01113071), ('race', 0.003354317), ('age', 0.000585468)]"
"[('marital_status', 0.166561487), ('education', 0.080907901), ('occupation', 0.066116422), ('hours_per_week', 0.020478358), ('sex', 0.019346276), ('native_country', 0.014871779), ('workclass', 0.01119833), ('race', 0.003379417), ('age', 0.000814068)]"
"[('marital_status', 0.167089411), ('education', 0.080862641), ('occupation', 0.066073936), ('hours_per_week', 0.020312866), ('sex', 0.019458235), ('native_country', 0.01493667), ('workclass', 0.011251489), ('race', 0.003363683), ('age', 0.001033691)]"
"[('marital_status', 0.166909718), ('education', 0.080673205), ('occupation', 0.066255091), ('hours_per_week', 0.02035796), ('sex', 0.019358727), ('native_country', 0.014890042), ('workclass', 0.011182806), ('race', 0.003337658), ('age', 0.000189872)]"
"[('marital_status', 0.166763259), ('education', 0.080912275), ('occupation', 0.066115765), ('hours_per_week', 0.020373087), ('sex', 0.019320418), ('native_country', 0.014861019), ('workclass', 0.01121556), ('race', 0.003350149), ('age', 0.000432172)]"
"[('marital_status', 0.166941683), ('education', 0.080753879), ('occupation', 0.066164181), ('hours_per_week', 0.020352388), ('sex', 0.019379942), ('native_country', 0.014874411), ('workclass', 0.01120533), ('race', 0.003341351), ('age', 1.08e-05)]"
"[('marital_status', 0.166927293), ('education', 0.080689299), ('occupation', 0.066190693), ('hours_per_week', 0.020365761), ('sex', 0.019370088), ('native_country', 0.014872741), ('workclass', 0.011215638), ('race', 0.003348522), ('age', 7.76e-05)]"
"[('marital_status', 0.166957383), ('education', 0.080736897), ('occupation', 0.066147049), ('hours_per_week', 0.020353891), ('sex', 0.019389919), ('native_country', 0.014859214), ('workclass', 0.011196751), ('race', 0.003342092), ('age', 6.52e-05)]"
"[('marital_status', 0.16701615), ('education', 0.080749245), ('occupation', 0.066206154), ('hours_per_week', 0.020355883), ('sex', 0.019373853), ('native_country', 0.014882751), ('workclass', 0.011210321), ('race', 0.003350436), ('age', 0.000112298)]"
"[('marital_status', 0.166786575), ('education', 0.080625798), ('occupation', 0.066191377), ('hours_per_week', 0.020310652), ('sex', 0.01934806), ('native_country', 0.014845364), ('workclass', 0.011196418), ('race', 0.003342417), ('age', 0.00089088)]"
