0
"[('marital_status', 0.149), ('education', 0.07), ('occupation', 0.064), ('age', 0.037), ('hours_per_week', 0.021), ('sex', 0.018), ('native_country', 0.015), ('workclass', 0.01), ('race', 0.003)]"
"[('marital_status', 0.146810722), ('occupation', 0.093292561), ('age', 0.03915953), ('hours_per_week', 0.025036228), ('sex', 0.018917451), ('native_country', 0.015779232), ('workclass', 0.012171475), ('education', 0.005459995), ('race', 0.003315228)]"
"[('marital_status', 0.146928884), ('occupation', 0.093168952), ('age', 0.038552026), ('hours_per_week', 0.02499578), ('sex', 0.01884335), ('native_country', 0.01583763), ('workclass', 0.012066004), ('education', 0.005427343), ('race', 0.003266645)]"
"[('marital_status', 0.147124416), ('occupation', 0.092705873), ('age', 0.038837531), ('hours_per_week', 0.025092764), ('sex', 0.019001255), ('native_country', 0.015625912), ('workclass', 0.012193155), ('race', 0.003319968), ('education', 0.003022125)]"
"[('marital_status', 0.146803574), ('occupation', 0.093102255), ('age', 0.03897141), ('hours_per_week', 0.024969939), ('sex', 0.019090052), ('native_country', 0.01556063), ('workclass', 0.012047918), ('education', 0.006528702), ('race', 0.003333489)]"
"[('marital_status', 0.147024721), ('occupation', 0.093007796), ('age', 0.038591358), ('hours_per_week', 0.025066294), ('sex', 0.019115145), ('native_country', 0.015892636), ('workclass', 0.012110741), ('race', 0.003329735), ('education', 0.003028866)]"
"[('marital_status', 0.147165465), ('occupation', 0.093481033), ('age', 0.038678037), ('hours_per_week', 0.025077207), ('sex', 0.019033819), ('native_country', 0.015890423), ('workclass', 0.012060712), ('race', 0.003319821), ('education', 0.002228653)]"
"[('marital_status', 0.147046498), ('occupation', 0.092766533), ('age', 0.038805157), ('hours_per_week', 0.024908335), ('sex', 0.018996199), ('native_country', 0.015769394), ('workclass', 0.011944241), ('education', 0.003527544), ('race', 0.003299491)]"
"[('marital_status', 0.146414455), ('occupation', 0.092091007), ('age', 0.039246087), ('hours_per_week', 0.025203658), ('sex', 0.019095393), ('native_country', 0.015608503), ('workclass', 0.012079389), ('education', 0.006830178), ('race', 0.003462718)]"
"[('marital_status', 0.146509323), ('occupation', 0.093113588), ('age', 0.03845091), ('hours_per_week', 0.025079315), ('sex', 0.019059026), ('native_country', 0.01598108), ('workclass', 0.011874759), ('education', 0.005278345), ('race', 0.003244395)]"
"[('marital_status', 0.147391022), ('occupation', 0.093519619), ('age', 0.038565171), ('hours_per_week', 0.024823713), ('sex', 0.019147625), ('native_country', 0.015966438), ('workclass', 0.012001966), ('race', 0.003339468), ('education', 0.002567836)]"
