0
"[('marital_status', 0.149), ('education', 0.07), ('occupation', 0.064), ('age', 0.037), ('hours_per_week', 0.021), ('sex', 0.018), ('native_country', 0.015), ('workclass', 0.01), ('race', 0.003)]"
"[('marital_status', 0.153068888), ('education', 0.082519601), ('occupation', 0.068192927), ('age', 0.035842955), ('sex', 0.020310216), ('native_country', 0.015295344), ('workclass', 0.010666878), ('race', 0.003166929), ('hours_per_week', 0.000148755)]"
"[('marital_status', 0.153248936), ('education', 0.082531197), ('occupation', 0.06821378), ('age', 0.035844303), ('sex', 0.020272495), ('native_country', 0.015253819), ('workclass', 0.010684614), ('race', 0.003139019), ('hours_per_week', 0.000157899)]"
"[('marital_status', 0.152997888), ('education', 0.082586922), ('occupation', 0.068381726), ('age', 0.035869078), ('sex', 0.02026711), ('native_country', 0.015354019), ('workclass', 0.010669258), ('race', 0.003176363), ('hours_per_week', 0.000340798)]"
"[('marital_status', 0.153124629), ('education', 0.082479857), ('occupation', 0.068300262), ('age', 0.035778388), ('sex', 0.020326538), ('native_country', 0.015340528), ('workclass', 0.0107038), ('race', 0.003143948), ('hours_per_week', 0.000428051)]"
"[('marital_status', 0.153099775), ('education', 0.082573369), ('occupation', 0.068231995), ('age', 0.035811758), ('sex', 0.020297609), ('native_country', 0.015325106), ('workclass', 0.010671179), ('race', 0.003169201), ('hours_per_week', 0.000327038)]"
"[('marital_status', 0.152826334), ('education', 0.082471972), ('occupation', 0.068030247), ('age', 0.035701138), ('sex', 0.020243054), ('native_country', 0.015343083), ('workclass', 0.010598701), ('race', 0.003143002), ('hours_per_week', 0.000888683)]"
"[('marital_status', 0.153281066), ('education', 0.082593009), ('occupation', 0.068220925), ('age', 0.035854183), ('sex', 0.020285792), ('native_country', 0.015305834), ('workclass', 0.010650635), ('race', 0.003149526), ('hours_per_week', 0.000453956)]"
"[('marital_status', 0.153132375), ('education', 0.082541794), ('occupation', 0.06820243), ('age', 0.035849837), ('sex', 0.020278388), ('native_country', 0.015285662), ('workclass', 0.010660938), ('race', 0.003157183), ('hours_per_week', 1.62e-05)]"
"[('marital_status', 0.153105805), ('education', 0.082535531), ('occupation', 0.068232696), ('age', 0.035823165), ('sex', 0.02026779), ('native_country', 0.015279243), ('workclass', 0.010660627), ('race', 0.003161753), ('hours_per_week', 6.67e-05)]"
"[('marital_status', 0.153189087), ('education', 0.082487836), ('occupation', 0.068154559), ('age', 0.035862508), ('sex', 0.02027442), ('native_country', 0.015280635), ('workclass', 0.010671788), ('race', 0.003159723), ('hours_per_week', 7.57e-05)]"
