0
"[('marital_status', 0.149), ('education', 0.07), ('occupation', 0.064), ('age', 0.037), ('hours_per_week', 0.021), ('sex', 0.018), ('native_country', 0.015), ('workclass', 0.01), ('race', 0.003)]"
"[('education', 0.076695895), ('occupation', 0.071521944), ('age', 0.054679035), ('sex', 0.032330077), ('hours_per_week', 0.025529647), ('native_country', 0.01513572), ('workclass', 0.01057577), ('race', 0.003599514), ('marital_status', 0.001729832)]"
"[('education', 0.077084171), ('occupation', 0.07154295), ('age', 0.054754151), ('sex', 0.032604914), ('hours_per_week', 0.025578656), ('native_country', 0.015177871), ('workclass', 0.010592022), ('race', 0.00358939), ('marital_status', 0.002007617)]"
"[('education', 0.076758416), ('occupation', 0.071353589), ('age', 0.054475449), ('sex', 0.032311224), ('hours_per_week', 0.025512639), ('native_country', 0.015139828), ('workclass', 0.010747822), ('race', 0.003607439), ('marital_status', 0.001794433)]"
"[('education', 0.076888853), ('occupation', 0.07146471), ('age', 0.054912562), ('sex', 0.032085728), ('hours_per_week', 0.025329564), ('native_country', 0.015251933), ('workclass', 0.010754236), ('race', 0.003569517), ('marital_status', 0.002233036)]"
"[('education', 0.076804593), ('occupation', 0.071562837), ('age', 0.054793458), ('sex', 0.032551871), ('hours_per_week', 0.025500739), ('native_country', 0.015284012), ('workclass', 0.0106532), ('race', 0.003602122), ('marital_status', 0.001730316)]"
"[('education', 0.076662733), ('occupation', 0.071594899), ('age', 0.054885947), ('sex', 0.032482308), ('hours_per_week', 0.025529501), ('native_country', 0.014900218), ('workclass', 0.010678935), ('race', 0.00356613), ('marital_status', 0.002126476)]"
"[('education', 0.077117919), ('occupation', 0.07139892), ('age', 0.054779489), ('sex', 0.032304562), ('hours_per_week', 0.025498412), ('native_country', 0.015285347), ('workclass', 0.010611248), ('race', 0.003526684), ('marital_status', 0.001172445)]"
"[('education', 0.076911379), ('occupation', 0.071079487), ('age', 0.055098006), ('sex', 0.032500707), ('hours_per_week', 0.025336582), ('native_country', 0.015390485), ('workclass', 0.010619437), ('race', 0.00361015), ('marital_status', 0.002130648)]"
"[('education', 0.076862901), ('occupation', 0.07157496), ('age', 0.055110353), ('sex', 0.032438921), ('hours_per_week', 0.025398878), ('native_country', 0.015181249), ('workclass', 0.010670483), ('race', 0.003573914), ('marital_status', 0.000741391)]"
"[('education', 0.076844331), ('occupation', 0.071604598), ('age', 0.054750381), ('sex', 0.032407248), ('hours_per_week', 0.02546705), ('native_country', 0.01517347), ('workclass', 0.010685644), ('race', 0.00360856), ('marital_status', 0.000915454)]"
"[('education', 0.076709645), ('occupation', 0.071625546), ('age', 0.055181262), ('sex', 0.032493802), ('hours_per_week', 0.025420115), ('native_country', 0.015144073), ('workclass', 0.010637249), ('race', 0.00361064), ('marital_status', 0.00138061)]"
"[('education', 0.076973663), ('occupation', 0.071476901), ('age', 0.05461253), ('sex', 0.032163325), ('hours_per_week', 0.025394307), ('native_country', 0.015031809), ('workclass', 0.010761999), ('race', 0.003607718), ('marital_status', 0.002798122)]"
"[('education', 0.076764475), ('occupation', 0.071313492), ('age', 0.055032448), ('sex', 0.032415073), ('hours_per_week', 0.025500904), ('native_country', 0.015169385), ('workclass', 0.010590526), ('race', 0.003594468), ('marital_status', 0.000725148)]"
"[('education', 0.076800798), ('occupation', 0.071533402), ('age', 0.054931486), ('sex', 0.032418424), ('hours_per_week', 0.025583049), ('native_country', 0.015175702), ('workclass', 0.01070259), ('race', 0.003637915), ('marital_status', 0.001336804)]"
"[('education', 0.076727263), ('occupation', 0.071468122), ('age', 0.054909014), ('sex', 0.032253186), ('hours_per_week', 0.025298398), ('native_country', 0.015057809), ('workclass', 0.010649214), ('race', 0.003595343), ('marital_status', 0.001202323)]"
"[('education', 0.077101804), ('occupation', 0.071199116), ('age', 0.055059853), ('sex', 0.032299531), ('hours_per_week', 0.025449052), ('native_country', 0.015103424), ('workclass', 0.010579515), ('race', 0.003579451), ('marital_status', 0.002655583)]"
"[('education', 0.076888756), ('occupation', 0.071511477), ('age', 0.055123006), ('sex', 0.032292438), ('hours_per_week', 0.025652139), ('native_country', 0.015193591), ('workclass', 0.010734221), ('race', 0.003628411), ('marital_status', 0.002275301)]"
"[('education', 0.076715445), ('occupation', 0.071320134), ('age', 0.054908998), ('sex', 0.032403105), ('hours_per_week', 0.025592749), ('native_country', 0.015162923), ('workclass', 0.010621578), ('race', 0.003668998), ('marital_status', 0.00104596)]"
"[('education', 0.076837033), ('occupation', 0.071452959), ('age', 0.054978475), ('sex', 0.032487561), ('hours_per_week', 0.025541991), ('native_country', 0.015188023), ('workclass', 0.010722777), ('race', 0.003588169), ('marital_status', 0.001001817)]"
"[('education', 0.076900534), ('occupation', 0.071413457), ('age', 0.05482547), ('sex', 0.032389938), ('hours_per_week', 0.025414377), ('native_country', 0.015204882), ('workclass', 0.010645421), ('race', 0.00364367), ('marital_status', 0.000894676)]"
"[('education', 0.077097868), ('occupation', 0.071364436), ('age', 0.055088101), ('sex', 0.032208565), ('hours_per_week', 0.025548018), ('native_country', 0.015139597), ('workclass', 0.010834172), ('race', 0.003599514), ('marital_status', 0.001740459)]"
"[('education', 0.07690197), ('occupation', 0.07126954), ('age', 0.054752309), ('sex', 0.032596441), ('hours_per_week', 0.025388932), ('native_country', 0.015177779), ('workclass', 0.010734768), ('race', 0.003536581), ('marital_status', 0.002269321)]"
"[('education', 0.076890986), ('occupation', 0.071318163), ('age', 0.055042591), ('sex', 0.032248548), ('hours_per_week', 0.025518158), ('native_country', 0.015196506), ('workclass', 0.010642057), ('race', 0.003580356), ('marital_status', 0.000758316)]"
"[('education', 0.077064553), ('occupation', 0.071359275), ('age', 0.055181796), ('sex', 0.032440256), ('hours_per_week', 0.025608078), ('native_country', 0.015240158), ('workclass', 0.010765731), ('race', 0.003597005), ('marital_status', 0.001325998)]"
"[('education', 0.076697584), ('occupation', 0.071665609), ('age', 0.054840847), ('sex', 0.032245169), ('hours_per_week', 0.025431733), ('native_country', 0.015137516), ('workclass', 0.010717329), ('race', 0.003622232), ('marital_status', 0.001574942)]"
"[('education', 0.076665354), ('occupation', 0.071313204), ('age', 0.055033834), ('sex', 0.032551913), ('hours_per_week', 0.025529466), ('native_country', 0.015166998), ('workclass', 0.010690476), ('race', 0.003639239), ('marital_status', 0.002853259)]"
"[('education', 0.076932112), ('occupation', 0.071535756), ('age', 0.054551874), ('sex', 0.03239733), ('hours_per_week', 0.02546093), ('native_country', 0.015139179), ('workclass', 0.010724908), ('race', 0.003493756), ('marital_status', 0.002525622)]"
"[('education', 0.076829731), ('occupation', 0.071583588), ('age', 0.05491946), ('sex', 0.032508067), ('hours_per_week', 0.02553898), ('native_country', 0.015297733), ('workclass', 0.010632081), ('race', 0.003586396), ('marital_status', 0.001492088)]"
"[('education', 0.076819514), ('occupation', 0.071570288), ('age', 0.054955452), ('sex', 0.032467319), ('hours_per_week', 0.025538091), ('native_country', 0.01515043), ('workclass', 0.010641793), ('race', 0.003618604), ('marital_status', 0.002060576)]"
"[('education', 0.076536394), ('occupation', 0.07136735), ('age', 0.055132694), ('sex', 0.032485943), ('hours_per_week', 0.025465194), ('native_country', 0.015191688), ('workclass', 0.010567925), ('race', 0.003642074), ('marital_status', 0.002182548)]"
"[('education', 0.076827177), ('occupation', 0.071520329), ('age', 0.054661597), ('sex', 0.032396424), ('hours_per_week', 0.025540847), ('native_country', 0.015118122), ('workclass', 0.010646477), ('race', 0.003616093), ('marital_status', 0.001568333)]"
"[('education', 0.077119297), ('occupation', 0.071449586), ('age', 0.055125715), ('sex', 0.032285096), ('hours_per_week', 0.025629102), ('native_country', 0.015215744), ('workclass', 0.010656796), ('race', 0.003563929), ('marital_status', 0.002789)]"
"[('education', 0.076979986), ('occupation', 0.071505361), ('age', 0.054934427), ('sex', 0.032397345), ('hours_per_week', 0.025499235), ('native_country', 0.015142773), ('workclass', 0.010591954), ('race', 0.003595053), ('marital_status', 0.000980536)]"
"[('education', 0.076795874), ('occupation', 0.071221348), ('age', 0.05479543), ('sex', 0.032278784), ('hours_per_week', 0.025548568), ('native_country', 0.015165105), ('workclass', 0.010573444), ('race', 0.003602576), ('marital_status', 0.001411446)]"
"[('education', 0.07665142), ('occupation', 0.071414096), ('age', 0.055031531), ('sex', 0.032482418), ('hours_per_week', 0.025409344), ('native_country', 0.015135292), ('workclass', 0.010667296), ('race', 0.00359551), ('marital_status', 0.001466601)]"
"[('education', 0.076625252), ('occupation', 0.071446592), ('age', 0.054601786), ('sex', 0.032489707), ('hours_per_week', 0.025559438), ('native_country', 0.015194028), ('workclass', 0.0106604), ('race', 0.003628339), ('marital_status', 0.002285494)]"
"[('education', 0.076708611), ('occupation', 0.071330033), ('age', 0.054744271), ('sex', 0.032255741), ('hours_per_week', 0.02551394), ('native_country', 0.015171109), ('workclass', 0.010612628), ('race', 0.003616402), ('marital_status', 0.000769264)]"
"[('education', 0.076874852), ('occupation', 0.071464296), ('age', 0.054930356), ('sex', 0.032464516), ('hours_per_week', 0.02563457), ('native_country', 0.015226023), ('workclass', 0.010612829), ('race', 0.003607218), ('marital_status', 0.000880456)]"
"[('education', 0.076851371), ('occupation', 0.071720334), ('age', 0.055078314), ('sex', 0.03292436), ('hours_per_week', 0.025432315), ('native_country', 0.015081389), ('workclass', 0.010661087), ('marital_status', 0.00411744), ('race', 0.003609327)]"
"[('education', 0.076670257), ('occupation', 0.071282215), ('age', 0.0546588), ('sex', 0.032370635), ('hours_per_week', 0.025551282), ('native_country', 0.015159538), ('workclass', 0.010606173), ('race', 0.003569575), ('marital_status', 0.000995989)]"
"[('education', 0.077197897), ('occupation', 0.071838966), ('age', 0.054582134), ('sex', 0.032435582), ('hours_per_week', 0.025548296), ('native_country', 0.015247221), ('workclass', 0.010585835), ('race', 0.003626947), ('marital_status', 0.002697852)]"
"[('education', 0.077214353), ('occupation', 0.071665892), ('age', 0.055249876), ('sex', 0.032310061), ('hours_per_week', 0.025652748), ('native_country', 0.015181933), ('workclass', 0.010705099), ('race', 0.003565931), ('marital_status', 0.001345287)]"
"[('education', 0.077137274), ('occupation', 0.071458043), ('age', 0.055062278), ('sex', 0.032281551), ('hours_per_week', 0.025356513), ('native_country', 0.015111881), ('workclass', 0.010654705), ('race', 0.003604018), ('marital_status', 0.002060782)]"
"[('education', 0.076959592), ('occupation', 0.071070809), ('age', 0.055080161), ('sex', 0.032742033), ('hours_per_week', 0.025531343), ('native_country', 0.015315608), ('workclass', 0.010701453), ('marital_status', 0.003584177), ('race', 0.003536915)]"
"[('education', 0.076998035), ('occupation', 0.071572255), ('age', 0.054890304), ('sex', 0.032435737), ('hours_per_week', 0.025661397), ('native_country', 0.014930295), ('workclass', 0.010723531), ('race', 0.003640457), ('marital_status', 0.001749996)]"
