0
"[('marital_status', 0.149), ('education', 0.07), ('occupation', 0.064), ('age', 0.037), ('hours_per_week', 0.021), ('sex', 0.018), ('native_country', 0.015), ('workclass', 0.01), ('race', 0.003)]"
"[('marital_status', 0.148741716), ('education', 0.078979515), ('occupation', 0.065849822), ('age', 0.036594635), ('hours_per_week', 0.022480145), ('sex', 0.018429463), ('native_country', 0.017956581), ('workclass', 0.010722631), ('race', 0.003287727)]"
"[('marital_status', 0.148830024), ('education', 0.07978163), ('occupation', 0.065017326), ('age', 0.037315552), ('hours_per_week', 0.021521174), ('sex', 0.018505796), ('workclass', 0.010413818), ('native_country', 0.00867584), ('race', 0.003070072)]"
"[('marital_status', 0.148035806), ('education', 0.079864878), ('occupation', 0.065582921), ('age', 0.036608386), ('hours_per_week', 0.021544562), ('sex', 0.018383068), ('workclass', 0.010510126), ('native_country', 0.007823739), ('race', 0.003155177)]"
"[('marital_status', 0.149072066), ('education', 0.079514113), ('occupation', 0.065541027), ('age', 0.036974707), ('hours_per_week', 0.021741657), ('sex', 0.018381148), ('native_country', 0.010614397), ('workclass', 0.010601861), ('race', 0.003172483)]"
"[('marital_status', 0.149280842), ('education', 0.079284569), ('occupation', 0.065345929), ('age', 0.036636285), ('hours_per_week', 0.021731084), ('sex', 0.018372808), ('native_country', 0.01092178), ('workclass', 0.010445074), ('race', 0.00330967)]"
"[('marital_status', 0.148463703), ('education', 0.079440454), ('occupation', 0.065502884), ('age', 0.036514129), ('hours_per_week', 0.021539752), ('sex', 0.018459532), ('native_country', 0.011066937), ('workclass', 0.010291316), ('race', 0.003207144)]"
"[('marital_status', 0.150596735), ('education', 0.079269015), ('occupation', 0.065359448), ('age', 0.036874165), ('hours_per_week', 0.021739674), ('sex', 0.018547767), ('native_country', 0.013784097), ('workclass', 0.010343294), ('race', 0.003148913)]"
"[('marital_status', 0.148948101), ('education', 0.079085122), ('occupation', 0.065253118), ('age', 0.037324141), ('hours_per_week', 0.021683515), ('sex', 0.018305859), ('native_country', 0.013462148), ('workclass', 0.010350648), ('race', 0.003094385)]"
"[('marital_status', 0.149297659), ('education', 0.079896305), ('occupation', 0.065869609), ('age', 0.036704781), ('hours_per_week', 0.021829686), ('sex', 0.018529175), ('native_country', 0.011298779), ('workclass', 0.010172516), ('race', 0.003149995)]"
"[('marital_status', 0.149837031), ('education', 0.079954124), ('occupation', 0.065799224), ('age', 0.036849174), ('hours_per_week', 0.021617352), ('sex', 0.018258401), ('native_country', 0.014657939), ('workclass', 0.010412209), ('race', 0.003234947)]"
"[('marital_status', 0.14909092), ('education', 0.080071482), ('occupation', 0.065140012), ('age', 0.036497957), ('hours_per_week', 0.021259722), ('sex', 0.018347741), ('native_country', 0.011900461), ('workclass', 0.010337783), ('race', 0.003160023)]"
"[('marital_status', 0.149735834), ('education', 0.08055588), ('occupation', 0.066017529), ('age', 0.036577147), ('hours_per_week', 0.021239616), ('sex', 0.018655793), ('native_country', 0.014849733), ('workclass', 0.010276916), ('race', 0.00320774)]"
"[('marital_status', 0.149206365), ('education', 0.080673612), ('occupation', 0.066186374), ('age', 0.036209928), ('hours_per_week', 0.021533937), ('sex', 0.018458166), ('native_country', 0.012454257), ('workclass', 0.010181524), ('race', 0.003268886)]"
"[('marital_status', 0.148955482), ('education', 0.078996063), ('occupation', 0.06566407), ('age', 0.036406118), ('hours_per_week', 0.021850322), ('sex', 0.018540253), ('native_country', 0.011406093), ('workclass', 0.010527557), ('race', 0.003178694)]"
"[('marital_status', 0.148477253), ('education', 0.079251884), ('occupation', 0.066047537), ('age', 0.03687889), ('hours_per_week', 0.021623694), ('sex', 0.01842697), ('workclass', 0.010440612), ('native_country', 0.007671958), ('race', 0.003218404)]"
"[('marital_status', 0.148500437), ('education', 0.07917364), ('occupation', 0.065951452), ('age', 0.036606143), ('hours_per_week', 0.021917364), ('sex', 0.018441108), ('native_country', 0.010978001), ('workclass', 0.01060807), ('race', 0.003183877)]"
"[('marital_status', 0.149219789), ('education', 0.080120773), ('occupation', 0.065675172), ('age', 0.036938076), ('hours_per_week', 0.021456278), ('sex', 0.018430275), ('native_country', 0.011428171), ('workclass', 0.010019942), ('race', 0.003333772)]"
"[('marital_status', 0.149326559), ('education', 0.079686671), ('occupation', 0.065820352), ('age', 0.036731995), ('hours_per_week', 0.022026569), ('sex', 0.018570389), ('native_country', 0.010512672), ('workclass', 0.010132376), ('race', 0.003189973)]"
"[('marital_status', 0.148672649), ('education', 0.079596659), ('occupation', 0.066006456), ('age', 0.03665769), ('hours_per_week', 0.021390758), ('sex', 0.018634755), ('native_country', 0.013562607), ('workclass', 0.010407114), ('race', 0.003164056)]"
"[('marital_status', 0.148887956), ('education', 0.079546459), ('occupation', 0.065383412), ('age', 0.03709974), ('hours_per_week', 0.021756039), ('sex', 0.018480792), ('native_country', 0.011186547), ('workclass', 0.010412073), ('race', 0.003170953)]"
"[('marital_status', 0.147997919), ('education', 0.080147144), ('occupation', 0.06541465), ('age', 0.037498775), ('hours_per_week', 0.021596634), ('sex', 0.018570986), ('native_country', 0.011613275), ('workclass', 0.010602141), ('race', 0.003116909)]"
"[('marital_status', 0.149059639), ('education', 0.080105078), ('occupation', 0.066069817), ('age', 0.037189372), ('hours_per_week', 0.022102798), ('sex', 0.018399594), ('native_country', 0.014856274), ('workclass', 0.010885627), ('race', 0.003169071)]"
"[('marital_status', 0.150802489), ('education', 0.079566343), ('occupation', 0.06481137), ('age', 0.036759931), ('hours_per_week', 0.021568468), ('sex', 0.018648503), ('native_country', 0.015709679), ('workclass', 0.010426678), ('race', 0.003080545)]"
"[('marital_status', 0.148364246), ('education', 0.079622175), ('occupation', 0.06587623), ('age', 0.036327109), ('hours_per_week', 0.021459774), ('sex', 0.018438367), ('workclass', 0.010359028), ('native_country', 0.008206917), ('race', 0.003185203)]"
"[('marital_status', 0.148957146), ('education', 0.079100963), ('occupation', 0.065386765), ('age', 0.036305228), ('hours_per_week', 0.021675067), ('sex', 0.018700994), ('workclass', 0.010272922), ('native_country', 0.010101528), ('race', 0.003174558)]"
"[('marital_status', 0.148021975), ('education', 0.0794705), ('occupation', 0.066480073), ('age', 0.036808175), ('hours_per_week', 0.021893825), ('sex', 0.018416319), ('native_country', 0.012149291), ('workclass', 0.010472953), ('race', 0.003257213)]"
"[('marital_status', 0.149699453), ('education', 0.079888389), ('occupation', 0.065559659), ('age', 0.036752269), ('hours_per_week', 0.021950457), ('sex', 0.018381833), ('workclass', 0.010415283), ('native_country', 0.008527435), ('race', 0.003273775)]"
"[('marital_status', 0.149942045), ('education', 0.079469654), ('occupation', 0.065980918), ('age', 0.036322211), ('hours_per_week', 0.021944901), ('sex', 0.018761948), ('native_country', 0.013265024), ('workclass', 0.010410374), ('race', 0.00291028)]"
"[('marital_status', 0.148329265), ('education', 0.079303941), ('occupation', 0.064998238), ('age', 0.036927257), ('hours_per_week', 0.021840979), ('sex', 0.018522664), ('native_country', 0.012855307), ('workclass', 0.010098342), ('race', 0.003264411)]"
"[('marital_status', 0.149680669), ('education', 0.079415926), ('occupation', 0.065654441), ('age', 0.037057444), ('hours_per_week', 0.021721523), ('sex', 0.018635938), ('workclass', 0.010323761), ('native_country', 0.009407412), ('race', 0.003162663)]"
"[('marital_status', 0.148639735), ('education', 0.079132696), ('occupation', 0.066095822), ('age', 0.036839901), ('hours_per_week', 0.021790122), ('sex', 0.018713583), ('native_country', 0.01204054), ('workclass', 0.010454497), ('race', 0.003266868)]"
"[('marital_status', 0.148925626), ('education', 0.079757902), ('occupation', 0.065574522), ('age', 0.036669172), ('hours_per_week', 0.021611943), ('sex', 0.018514744), ('native_country', 0.012216658), ('workclass', 0.010680886), ('race', 0.003294507)]"
"[('marital_status', 0.149697079), ('education', 0.080064808), ('occupation', 0.065405462), ('age', 0.036768803), ('hours_per_week', 0.021447216), ('sex', 0.018304083), ('native_country', 0.010895654), ('workclass', 0.010424859), ('race', 0.003289755)]"
"[('marital_status', 0.147476071), ('education', 0.07994771), ('occupation', 0.065987967), ('age', 0.036788329), ('hours_per_week', 0.022074265), ('sex', 0.018612255), ('workclass', 0.010892539), ('native_country', 0.010065862), ('race', 0.003085555)]"
"[('marital_status', 0.148288868), ('education', 0.079358582), ('occupation', 0.064966605), ('age', 0.0369852), ('hours_per_week', 0.021405049), ('sex', 0.018530349), ('workclass', 0.010459891), ('native_country', 0.010365596), ('race', 0.002990501)]"
"[('marital_status', 0.149414919), ('education', 0.079063833), ('occupation', 0.065547207), ('age', 0.036708352), ('hours_per_week', 0.021848292), ('sex', 0.018639865), ('native_country', 0.01222169), ('workclass', 0.010373946), ('race', 0.003221938)]"
"[('marital_status', 0.148086604), ('education', 0.079700866), ('occupation', 0.065794738), ('age', 0.036909319), ('hours_per_week', 0.021896543), ('sex', 0.018557366), ('native_country', 0.014605113), ('workclass', 0.010275975), ('race', 0.003238658)]"
"[('marital_status', 0.149919705), ('education', 0.079654003), ('occupation', 0.065738666), ('age', 0.03674866), ('hours_per_week', 0.021646322), ('sex', 0.018687273), ('native_country', 0.011280889), ('workclass', 0.010574736), ('race', 0.003195827)]"
"[('marital_status', 0.149249745), ('education', 0.079286387), ('occupation', 0.065831075), ('age', 0.036159655), ('hours_per_week', 0.021897974), ('sex', 0.018473903), ('workclass', 0.010333135), ('native_country', 0.009723858), ('race', 0.003099298)]"
"[('marital_status', 0.149939306), ('education', 0.079522472), ('occupation', 0.065726401), ('age', 0.036755809), ('hours_per_week', 0.021522123), ('sex', 0.018626788), ('workclass', 0.010234163), ('native_country', 0.009860683), ('race', 0.00313791)]"
