0
"[('marital_status', 0.149), ('education', 0.07), ('occupation', 0.064), ('age', 0.037), ('hours_per_week', 0.021), ('sex', 0.018), ('native_country', 0.015), ('workclass', 0.01), ('race', 0.003)]"
"[('marital_status', 0.154966102), ('education', 0.106342797), ('age', 0.038613337), ('hours_per_week', 0.025100232), ('sex', 0.019515673), ('native_country', 0.015731388), ('workclass', 0.012708246), ('occupation', 0.004223049), ('race', 0.003541806)]"
"[('marital_status', 0.156354247), ('education', 0.107031087), ('age', 0.038322839), ('hours_per_week', 0.024869417), ('sex', 0.019464506), ('native_country', 0.015729221), ('workclass', 0.012605503), ('occupation', 0.003700019), ('race', 0.00351386)]"
"[('marital_status', 0.155340176), ('education', 0.10675929), ('age', 0.038468347), ('hours_per_week', 0.024635096), ('sex', 0.019628337), ('native_country', 0.015857053), ('workclass', 0.012673109), ('occupation', 0.003944161), ('race', 0.003452443)]"
"[('marital_status', 0.155360637), ('education', 0.107609949), ('age', 0.037953252), ('hours_per_week', 0.025134834), ('sex', 0.019417819), ('native_country', 0.0157173), ('workclass', 0.012551929), ('occupation', 0.005039271), ('race', 0.003439711)]"
"[('marital_status', 0.155285645), ('education', 0.10681738), ('age', 0.037867053), ('hours_per_week', 0.024770839), ('sex', 0.019555671), ('native_country', 0.015967143), ('workclass', 0.012669415), ('occupation', 0.004906284), ('race', 0.00342331)]"
"[('marital_status', 0.155307418), ('education', 0.107228354), ('age', 0.038298199), ('hours_per_week', 0.024732813), ('sex', 0.019373049), ('native_country', 0.015710637), ('workclass', 0.012597486), ('occupation', 0.003605498), ('race', 0.003457339)]"
"[('marital_status', 0.156078704), ('education', 0.107438161), ('age', 0.038370619), ('hours_per_week', 0.024980298), ('sex', 0.019269031), ('native_country', 0.015581814), ('workclass', 0.01268462), ('occupation', 0.006036934), ('race', 0.00345192)]"
"[('marital_status', 0.155614185), ('education', 0.107648146), ('age', 0.037995854), ('hours_per_week', 0.024911474), ('sex', 0.01938697), ('native_country', 0.015932544), ('workclass', 0.012490934), ('occupation', 0.003465221), ('race', 0.003400053)]"
"[('marital_status', 0.156600498), ('education', 0.10635264), ('age', 0.038207147), ('hours_per_week', 0.025064258), ('sex', 0.019375081), ('native_country', 0.015939749), ('workclass', 0.012661381), ('occupation', 0.00464772), ('race', 0.003526266)]"
"[('marital_status', 0.155628364), ('education', 0.107884209), ('age', 0.037818175), ('hours_per_week', 0.024755238), ('sex', 0.01963113), ('native_country', 0.015793145), ('workclass', 0.012673167), ('occupation', 0.004874274), ('race', 0.003493562)]"
"[('marital_status', 0.154722354), ('education', 0.107117344), ('age', 0.038180218), ('hours_per_week', 0.024709123), ('sex', 0.019442532), ('native_country', 0.015919583), ('workclass', 0.012614842), ('race', 0.003393566), ('occupation', 0.002866687)]"
"[('marital_status', 0.155696436), ('education', 0.107170289), ('age', 0.038313496), ('hours_per_week', 0.024733226), ('sex', 0.019550229), ('native_country', 0.015938769), ('workclass', 0.012662604), ('race', 0.00340076), ('occupation', 0.002719469)]"
"[('marital_status', 0.155664701), ('education', 0.106983013), ('age', 0.038410798), ('hours_per_week', 0.025038894), ('sex', 0.019526147), ('native_country', 0.015857042), ('workclass', 0.01260065), ('occupation', 0.005281622), ('race', 0.003582761)]"
"[('marital_status', 0.15566861), ('education', 0.107737609), ('age', 0.038474024), ('hours_per_week', 0.024956097), ('sex', 0.01947689), ('native_country', 0.015814668), ('workclass', 0.012500354), ('occupation', 0.004507797), ('race', 0.003440728)]"
"[('marital_status', 0.155901572), ('education', 0.10720555), ('age', 0.038253675), ('hours_per_week', 0.024761054), ('sex', 0.019388604), ('native_country', 0.015658727), ('workclass', 0.012538538), ('race', 0.003447197), ('occupation', 0.002777389)]"
"[('marital_status', 0.155364443), ('education', 0.107233595), ('age', 0.038412562), ('hours_per_week', 0.024824915), ('sex', 0.019356094), ('native_country', 0.015807909), ('workclass', 0.012573001), ('race', 0.00342193), ('occupation', 0.001941159)]"
"[('marital_status', 0.155669431), ('education', 0.10718395), ('age', 0.038122006), ('hours_per_week', 0.024898785), ('sex', 0.019480396), ('native_country', 0.015730423), ('workclass', 0.012535144), ('race', 0.003412153), ('occupation', 0.002701678)]"
"[('marital_status', 0.155101492), ('education', 0.107170926), ('age', 0.038510752), ('hours_per_week', 0.02486953), ('sex', 0.019488867), ('native_country', 0.016029377), ('workclass', 0.012463764), ('occupation', 0.004119594), ('race', 0.003369972)]"
"[('marital_status', 0.155004254), ('education', 0.106835597), ('age', 0.038380867), ('hours_per_week', 0.024744419), ('sex', 0.019299384), ('native_country', 0.015846195), ('workclass', 0.012615165), ('occupation', 0.003860019), ('race', 0.003379776)]"
"[('marital_status', 0.155251175), ('education', 0.107366561), ('age', 0.038126213), ('hours_per_week', 0.024635773), ('sex', 0.019451419), ('native_country', 0.015632572), ('workclass', 0.012571551), ('occupation', 0.004027021), ('race', 0.003430513)]"
"[('marital_status', 0.154992131), ('education', 0.107012522), ('age', 0.038725229), ('hours_per_week', 0.024595236), ('sex', 0.019549879), ('native_country', 0.015701372), ('workclass', 0.012804204), ('occupation', 0.007684557), ('race', 0.003550938)]"
"[('marital_status', 0.155099232), ('education', 0.107611323), ('age', 0.038237665), ('hours_per_week', 0.024954956), ('sex', 0.019464992), ('native_country', 0.015861186), ('workclass', 0.012768251), ('occupation', 0.00457668), ('race', 0.003407797)]"
"[('marital_status', 0.156118982), ('education', 0.107829598), ('age', 0.038009178), ('hours_per_week', 0.024504794), ('sex', 0.01965936), ('native_country', 0.015827434), ('workclass', 0.012447884), ('occupation', 0.003710459), ('race', 0.003497218)]"
"[('marital_status', 0.155266369), ('education', 0.107212087), ('age', 0.038197191), ('hours_per_week', 0.024760415), ('sex', 0.019606622), ('native_country', 0.015928287), ('workclass', 0.012628957), ('race', 0.003427176), ('occupation', 0.002516502)]"
"[('marital_status', 0.155165492), ('education', 0.10693696), ('age', 0.038452452), ('hours_per_week', 0.024874769), ('sex', 0.019523826), ('native_country', 0.015882984), ('workclass', 0.012795325), ('race', 0.003485874), ('occupation', 0.002202495)]"
"[('marital_status', 0.155409101), ('education', 0.107308524), ('age', 0.037788525), ('hours_per_week', 0.024854752), ('sex', 0.019541662), ('native_country', 0.015805288), ('workclass', 0.012742884), ('race', 0.003491102), ('occupation', 0.002192804)]"
"[('marital_status', 0.155033313), ('education', 0.106773082), ('age', 0.038249943), ('hours_per_week', 0.024695246), ('sex', 0.01964381), ('native_country', 0.015609947), ('workclass', 0.01251524), ('occupation', 0.005595393), ('race', 0.003539863)]"
"[('marital_status', 0.155999404), ('education', 0.107063548), ('age', 0.038280023), ('hours_per_week', 0.024753195), ('sex', 0.019537332), ('native_country', 0.015882038), ('workclass', 0.012446334), ('occupation', 0.003606064), ('race', 0.00351325)]"
"[('marital_status', 0.1556571), ('education', 0.107406646), ('age', 0.038113453), ('hours_per_week', 0.024745696), ('sex', 0.019357618), ('native_country', 0.015863616), ('workclass', 0.012722531), ('occupation', 0.00388656), ('race', 0.003503325)]"
"[('marital_status', 0.154948247), ('education', 0.107503071), ('age', 0.03826016), ('hours_per_week', 0.024668771), ('sex', 0.019504792), ('native_country', 0.016287246), ('workclass', 0.012813917), ('occupation', 0.004404738), ('race', 0.003510315)]"
"[('marital_status', 0.156200943), ('education', 0.107432597), ('age', 0.038022131), ('hours_per_week', 0.024506663), ('sex', 0.019590559), ('native_country', 0.015859256), ('workclass', 0.012489673), ('occupation', 0.004704198), ('race', 0.003458868)]"
"[('marital_status', 0.155004715), ('education', 0.107250089), ('age', 0.038129859), ('hours_per_week', 0.024755816), ('sex', 0.019480077), ('native_country', 0.015756872), ('workclass', 0.012536265), ('race', 0.003401687), ('occupation', 0.003069482)]"
"[('marital_status', 0.155358734), ('education', 0.107871221), ('age', 0.038192966), ('hours_per_week', 0.024755315), ('sex', 0.019346677), ('native_country', 0.015839533), ('workclass', 0.012711035), ('race', 0.003535407), ('occupation', 0.002919688)]"
"[('marital_status', 0.155496374), ('education', 0.107479031), ('age', 0.038205259), ('hours_per_week', 0.024730893), ('sex', 0.0195359), ('native_country', 0.01582354), ('workclass', 0.012617742), ('race', 0.003569399), ('occupation', 0.003515993)]"
