0
"[('marital_status', 0.149), ('education', 0.07), ('occupation', 0.064), ('age', 0.037), ('hours_per_week', 0.021), ('sex', 0.018), ('native_country', 0.015), ('workclass', 0.01), ('race', 0.003)]"
"[('marital_status', 0.149566278), ('education', 0.079167325), ('occupation', 0.06526684), ('age', 0.037267285), ('hours_per_week', 0.021551019), ('sex', 0.018786127), ('native_country', 0.015241931), ('workclass', 0.010268154), ('race', 0.001480775)]"
"[('marital_status', 0.149644597), ('education', 0.07929162), ('occupation', 0.065380535), ('age', 0.037300236), ('hours_per_week', 0.021602554), ('sex', 0.018743346), ('native_country', 0.015202547), ('workclass', 0.010183906), ('race', 0.000146845)]"
"[('marital_status', 0.149638764), ('education', 0.079353011), ('occupation', 0.065479405), ('age', 0.037209036), ('hours_per_week', 0.021500068), ('sex', 0.018817423), ('native_country', 0.01514025), ('workclass', 0.010216373), ('race', 0.001465892)]"
"[('marital_status', 0.149427517), ('education', 0.079599323), ('occupation', 0.06565669), ('age', 0.037496925), ('hours_per_week', 0.021561753), ('sex', 0.01865233), ('native_country', 0.01519148), ('workclass', 0.010173661), ('race', 0.001604113)]"
"[('marital_status', 0.149647398), ('education', 0.079401142), ('occupation', 0.065240305), ('age', 0.037305302), ('hours_per_week', 0.021629887), ('sex', 0.018793981), ('native_country', 0.015214397), ('workclass', 0.010257626), ('race', 0.000919055)]"
"[('marital_status', 0.14960945), ('education', 0.079296134), ('occupation', 0.065480766), ('age', 0.037331065), ('hours_per_week', 0.021443028), ('sex', 0.018866635), ('native_country', 0.015161227), ('workclass', 0.010224743), ('race', 0.001083768)]"
"[('marital_status', 0.149802491), ('education', 0.079289251), ('occupation', 0.065465936), ('age', 0.037432294), ('hours_per_week', 0.021649398), ('sex', 0.018769393), ('native_country', 0.015169127), ('workclass', 0.010164521), ('race', 0.001124589)]"
"[('marital_status', 0.149516537), ('education', 0.079654352), ('occupation', 0.06515091), ('age', 0.037336153), ('hours_per_week', 0.02154909), ('sex', 0.018876161), ('native_country', 0.015228763), ('workclass', 0.010275313), ('race', 0.002379833)]"
"[('marital_status', 0.149536338), ('education', 0.079178863), ('occupation', 0.065332557), ('age', 0.03730074), ('hours_per_week', 0.021629316), ('sex', 0.018708842), ('native_country', 0.015217647), ('workclass', 0.010209275), ('race', 0.000649383)]"
"[('marital_status', 0.149004593), ('education', 0.079551981), ('occupation', 0.065450297), ('age', 0.037359455), ('hours_per_week', 0.021765385), ('sex', 0.018748869), ('native_country', 0.015222886), ('workclass', 0.010231093), ('race', 0.00242825)]"
