0
"[('marital_status', 0.149), ('education', 0.07), ('occupation', 0.064), ('age', 0.037), ('hours_per_week', 0.021), ('sex', 0.018), ('native_country', 0.015), ('workclass', 0.01), ('race', 0.003)]"
"[('marital_status', 0.163278808), ('education', 0.079507575), ('occupation', 0.065934255), ('age', 0.03784323), ('hours_per_week', 0.023265621), ('native_country', 0.015122444), ('workclass', 0.010434509), ('race', 0.003259227), ('sex', 0.000467119)]"
"[('marital_status', 0.163017048), ('education', 0.07951974), ('occupation', 0.065944148), ('age', 0.037863936), ('hours_per_week', 0.02327942), ('native_country', 0.015081995), ('workclass', 0.010471303), ('race', 0.003285044), ('sex', 9.59e-05)]"
"[('marital_status', 0.163187457), ('education', 0.079468207), ('occupation', 0.065857686), ('age', 0.037771076), ('hours_per_week', 0.023249284), ('native_country', 0.015066779), ('workclass', 0.010464094), ('race', 0.003291538), ('sex', 0.000391812)]"
"[('marital_status', 0.163025544), ('education', 0.07949918), ('occupation', 0.065955308), ('age', 0.037868647), ('hours_per_week', 0.023275186), ('native_country', 0.015074098), ('workclass', 0.010472589), ('race', 0.003287762), ('sex', 6.12e-05)]"
"[('marital_status', 0.163030966), ('education', 0.079535315), ('occupation', 0.065950151), ('age', 0.03787931), ('hours_per_week', 0.023280243), ('native_country', 0.015070154), ('workclass', 0.010478239), ('race', 0.00329031), ('sex', 1.4e-05)]"
"[('marital_status', 0.16301345), ('education', 0.079525425), ('occupation', 0.065957885), ('age', 0.037857129), ('hours_per_week', 0.023273352), ('native_country', 0.015072603), ('workclass', 0.010472496), ('race', 0.003288861), ('sex', 5.72e-05)]"
"[('marital_status', 0.163270365), ('education', 0.07949433), ('occupation', 0.065883589), ('age', 0.037961201), ('hours_per_week', 0.023310199), ('native_country', 0.014959304), ('workclass', 0.010434683), ('race', 0.003274904), ('sex', 0.001653936)]"
"[('marital_status', 0.162987318), ('education', 0.079508089), ('occupation', 0.065945174), ('age', 0.037931139), ('hours_per_week', 0.023272114), ('native_country', 0.015118431), ('workclass', 0.010484183), ('race', 0.003298024), ('sex', 9.98e-05)]"
"[('marital_status', 0.162761963), ('education', 0.079637472), ('occupation', 0.065932032), ('age', 0.037893745), ('hours_per_week', 0.023270162), ('native_country', 0.015107812), ('workclass', 0.010483314), ('race', 0.003287528), ('sex', 0.000299653)]"
"[('marital_status', 0.16289465), ('education', 0.079456926), ('occupation', 0.065905953), ('age', 0.037965396), ('hours_per_week', 0.023356379), ('native_country', 0.015023803), ('workclass', 0.010576155), ('race', 0.003285465), ('sex', 0.001338922)]"
