0
"[('marital_status', 0.149), ('education', 0.07), ('occupation', 0.064), ('age', 0.037), ('hours_per_week', 0.021), ('sex', 0.018), ('native_country', 0.015), ('workclass', 0.01), ('race', 0.003)]"
"[('marital_status', 0.149265875), ('education', 0.080638445), ('occupation', 0.067352836), ('age', 0.038144241), ('hours_per_week', 0.022068175), ('sex', 0.018714784), ('native_country', 0.01529638), ('race', 0.003082055), ('workclass', 0.003057267)]"
"[('marital_status', 0.149518438), ('education', 0.081124053), ('occupation', 0.067434775), ('age', 0.037927134), ('hours_per_week', 0.021954164), ('sex', 0.018736306), ('native_country', 0.015372119), ('race', 0.003043166), ('workclass', 0.001141491)]"
"[('marital_status', 0.149755942), ('education', 0.080680295), ('occupation', 0.067501042), ('age', 0.038144846), ('hours_per_week', 0.021965467), ('sex', 0.018751321), ('native_country', 0.01524381), ('race', 0.003048102), ('workclass', 0.000719293)]"
"[('marital_status', 0.149804388), ('education', 0.080605278), ('occupation', 0.067583006), ('age', 0.038093288), ('hours_per_week', 0.021893673), ('sex', 0.01878728), ('native_country', 0.015255726), ('race', 0.003050546), ('workclass', 0.00205023)]"
"[('marital_status', 0.149756938), ('education', 0.080667721), ('occupation', 0.067393375), ('age', 0.037980443), ('hours_per_week', 0.021970521), ('sex', 0.018765218), ('native_country', 0.015274581), ('race', 0.003033957), ('workclass', 0.000634289)]"
"[('marital_status', 0.14946416), ('education', 0.080781024), ('occupation', 0.067477441), ('age', 0.037845142), ('hours_per_week', 0.021986105), ('sex', 0.018804362), ('native_country', 0.015342074), ('race', 0.003050787), ('workclass', 0.000790479)]"
"[('marital_status', 0.149479885), ('education', 0.080776423), ('occupation', 0.067337934), ('age', 0.037904109), ('hours_per_week', 0.022055556), ('sex', 0.018752198), ('native_country', 0.015204844), ('race', 0.003007463), ('workclass', 0.000891506)]"
"[('marital_status', 0.149594978), ('education', 0.080786827), ('occupation', 0.067383182), ('age', 0.037951485), ('hours_per_week', 0.021984365), ('sex', 0.018769978), ('native_country', 0.015285558), ('race', 0.003021755), ('workclass', 0.000231746)]"
"[('marital_status', 0.149236336), ('education', 0.080885767), ('occupation', 0.067461991), ('age', 0.037847985), ('hours_per_week', 0.021986041), ('sex', 0.018771467), ('native_country', 0.015217169), ('race', 0.003054724), ('workclass', 0.000889708)]"
"[('marital_status', 0.149506602), ('education', 0.080720378), ('occupation', 0.06726347), ('age', 0.0380368), ('hours_per_week', 0.021968587), ('sex', 0.018732712), ('native_country', 0.015271036), ('race', 0.003035714), ('workclass', 0.00088953)]"
"[('marital_status', 0.149786109), ('education', 0.080901672), ('occupation', 0.067206916), ('age', 0.037814193), ('hours_per_week', 0.022000022), ('sex', 0.018772664), ('native_country', 0.015353892), ('race', 0.003020063), ('workclass', 0.001335012)]"
"[('marital_status', 0.149464508), ('education', 0.080875664), ('occupation', 0.067226615), ('age', 0.038029567), ('hours_per_week', 0.021949971), ('sex', 0.018763711), ('native_country', 0.015278156), ('race', 0.003049194), ('workclass', 0.000850996)]"
"[('marital_status', 0.149515578), ('education', 0.08099595), ('occupation', 0.067499091), ('age', 0.038187113), ('hours_per_week', 0.02210564), ('sex', 0.018861061), ('native_country', 0.015391608), ('race', 0.003006278), ('workclass', 0.002237985)]"
"[('marital_status', 0.149486805), ('education', 0.080689002), ('occupation', 0.067410364), ('age', 0.03788299), ('hours_per_week', 0.021990228), ('sex', 0.018754394), ('native_country', 0.015221862), ('race', 0.003032144), ('workclass', 0.00079013)]"
"[('marital_status', 0.149594814), ('education', 0.080604605), ('occupation', 0.067393389), ('age', 0.03810047), ('hours_per_week', 0.021811057), ('sex', 0.018902235), ('native_country', 0.015217697), ('race', 0.0030447), ('workclass', 0.002213312)]"
"[('marital_status', 0.149950384), ('education', 0.080496754), ('occupation', 0.067246143), ('age', 0.038151061), ('hours_per_week', 0.022009645), ('sex', 0.018765635), ('native_country', 0.015192206), ('race', 0.003071153), ('workclass', 0.002718267)]"
"[('marital_status', 0.150219835), ('education', 0.080774153), ('occupation', 0.067383573), ('age', 0.038038742), ('hours_per_week', 0.02189107), ('sex', 0.018830271), ('native_country', 0.015380683), ('workclass', 0.003317277), ('race', 0.00308091)]"
"[('marital_status', 0.149549221), ('education', 0.080684612), ('occupation', 0.067436999), ('age', 0.037996787), ('hours_per_week', 0.022038388), ('sex', 0.018819311), ('native_country', 0.015342626), ('race', 0.003022746), ('workclass', 0.001040181)]"
"[('marital_status', 0.149312538), ('education', 0.081527892), ('occupation', 0.067518873), ('age', 0.037976299), ('hours_per_week', 0.021830853), ('sex', 0.018861946), ('native_country', 0.015267878), ('workclass', 0.00330099), ('race', 0.002936288)]"
"[('marital_status', 0.149462698), ('education', 0.081048477), ('occupation', 0.06732629), ('age', 0.038191432), ('hours_per_week', 0.02186299), ('sex', 0.018864203), ('native_country', 0.015275266), ('race', 0.002920581), ('workclass', 0.002569592)]"
"[('marital_status', 0.148982623), ('education', 0.080684719), ('occupation', 0.067399997), ('age', 0.038031729), ('hours_per_week', 0.021866061), ('sex', 0.018849091), ('native_country', 0.01525803), ('race', 0.003028404), ('workclass', 0.001576576)]"
"[('marital_status', 0.149038969), ('education', 0.081262865), ('occupation', 0.067097324), ('age', 0.03768002), ('hours_per_week', 0.022065063), ('sex', 0.01874968), ('native_country', 0.015298816), ('race', 0.00304059), ('workclass', 0.002616195)]"
"[('marital_status', 0.149349127), ('education', 0.080802534), ('occupation', 0.067374343), ('age', 0.038092181), ('hours_per_week', 0.021930548), ('sex', 0.018782895), ('native_country', 0.015243219), ('race', 0.00303786), ('workclass', 0.000849035)]"
"[('marital_status', 0.149569005), ('education', 0.080789869), ('occupation', 0.067454421), ('age', 0.038018252), ('hours_per_week', 0.021926991), ('sex', 0.018799994), ('native_country', 0.015241248), ('race', 0.003040992), ('workclass', 0.000670407)]"
"[('marital_status', 0.149710217), ('education', 0.080644021), ('occupation', 0.067535872), ('age', 0.037876705), ('hours_per_week', 0.022068826), ('sex', 0.018849442), ('native_country', 0.01540481), ('race', 0.003019691), ('workclass', 0.001751728)]"
"[('marital_status', 0.149618335), ('education', 0.080750288), ('occupation', 0.067636503), ('age', 0.037909605), ('hours_per_week', 0.022028262), ('sex', 0.018789758), ('native_country', 0.015185114), ('race', 0.003045621), ('workclass', 0.001561972)]"
"[('marital_status', 0.14987348), ('education', 0.081009211), ('occupation', 0.067401108), ('age', 0.037786518), ('hours_per_week', 0.021990785), ('sex', 0.018826496), ('native_country', 0.015405211), ('race', 0.003027126), ('workclass', 0.001161717)]"
"[('marital_status', 0.149727479), ('education', 0.080770097), ('occupation', 0.067277587), ('age', 0.037950283), ('hours_per_week', 0.021953237), ('sex', 0.018790337), ('native_country', 0.0152989), ('race', 0.003030015), ('workclass', 0.000791409)]"
"[('marital_status', 0.14970829), ('education', 0.080684327), ('occupation', 0.067223814), ('age', 0.038145985), ('hours_per_week', 0.022052634), ('sex', 0.018780141), ('native_country', 0.015279669), ('race', 0.00297624), ('workclass', 0.00200188)]"
"[('marital_status', 0.149495087), ('education', 0.080811865), ('occupation', 0.06734424), ('age', 0.038129856), ('hours_per_week', 0.021992828), ('sex', 0.018770835), ('native_country', 0.015331432), ('race', 0.002991554), ('workclass', 0.001589578)]"
"[('marital_status', 0.149402726), ('education', 0.080784578), ('occupation', 0.06748684), ('age', 0.037935739), ('hours_per_week', 0.021826675), ('sex', 0.018771745), ('native_country', 0.015264143), ('race', 0.00295615), ('workclass', 0.001483927)]"
"[('marital_status', 0.149962918), ('education', 0.080414311), ('occupation', 0.067561652), ('age', 0.037804837), ('hours_per_week', 0.02195166), ('sex', 0.018789045), ('native_country', 0.015203488), ('race', 0.003011073), ('workclass', 0.002571936)]"
"[('marital_status', 0.149870105), ('education', 0.08067265), ('occupation', 0.067411232), ('age', 0.038124511), ('hours_per_week', 0.021888664), ('sex', 0.018748533), ('native_country', 0.015240726), ('race', 0.003035036), ('workclass', 0.001027338)]"
"[('marital_status', 0.14930284), ('education', 0.080951441), ('occupation', 0.067351466), ('age', 0.037879308), ('hours_per_week', 0.021828545), ('sex', 0.018773472), ('native_country', 0.015301355), ('race', 0.003038411), ('workclass', 0.000772837)]"
"[('marital_status', 0.149726866), ('education', 0.080577972), ('occupation', 0.067511852), ('age', 0.0379247), ('hours_per_week', 0.022044979), ('sex', 0.01879846), ('native_country', 0.015397816), ('race', 0.002981009), ('workclass', 0.00264743)]"
"[('marital_status', 0.149616203), ('education', 0.080701246), ('occupation', 0.067600263), ('age', 0.038170581), ('hours_per_week', 0.022128082), ('sex', 0.018743643), ('native_country', 0.01536569), ('race', 0.003070647), ('workclass', 0.003010975)]"
"[('marital_status', 0.149692053), ('education', 0.080576103), ('occupation', 0.06730529), ('age', 0.038060263), ('hours_per_week', 0.021882875), ('sex', 0.018887494), ('native_country', 0.015230943), ('race', 0.00302568), ('workclass', 0.001970803)]"
"[('marital_status', 0.14968793), ('education', 0.080706815), ('occupation', 0.067442618), ('age', 0.03811765), ('hours_per_week', 0.021934093), ('sex', 0.01877866), ('native_country', 0.015243841), ('race', 0.003044742), ('workclass', 0.002049341)]"
"[('marital_status', 0.149860259), ('education', 0.080933908), ('occupation', 0.067460431), ('age', 0.038064423), ('hours_per_week', 0.021940513), ('sex', 0.018799962), ('native_country', 0.015253286), ('race', 0.003044506), ('workclass', 0.001093412)]"
"[('marital_status', 0.149672676), ('education', 0.080836214), ('occupation', 0.067439411), ('age', 0.03786345), ('hours_per_week', 0.022017332), ('sex', 0.018793689), ('native_country', 0.015354141), ('race', 0.003023083), ('workclass', 0.000851285)]"
"[('marital_status', 0.15023289), ('education', 0.080829509), ('occupation', 0.067103067), ('age', 0.037948614), ('hours_per_week', 0.021884599), ('sex', 0.018760797), ('native_country', 0.015242575), ('race', 0.003046777), ('workclass', 0.001900953)]"
"[('marital_status', 0.149328472), ('education', 0.081011571), ('occupation', 0.067353345), ('age', 0.038019747), ('hours_per_week', 0.021925326), ('sex', 0.018654954), ('native_country', 0.015156154), ('race', 0.003055746), ('workclass', 0.001499249)]"
"[('marital_status', 0.149656371), ('education', 0.080656818), ('occupation', 0.067403293), ('age', 0.038213966), ('hours_per_week', 0.02196169), ('sex', 0.018684223), ('native_country', 0.015324587), ('workclass', 0.004044226), ('race', 0.003025296)]"
"[('marital_status', 0.149888877), ('education', 0.080544804), ('occupation', 0.067367684), ('age', 0.038158379), ('hours_per_week', 0.021896538), ('sex', 0.018767164), ('native_country', 0.015286766), ('race', 0.003047005), ('workclass', 0.001292235)]"
"[('marital_status', 0.149439667), ('education', 0.080876231), ('occupation', 0.067663527), ('age', 0.038153864), ('hours_per_week', 0.02191758), ('sex', 0.01878391), ('native_country', 0.015127549), ('race', 0.003005054), ('workclass', 0.001481945)]"
"[('marital_status', 0.14911892), ('education', 0.080719099), ('occupation', 0.067368902), ('age', 0.038117001), ('hours_per_week', 0.021961973), ('sex', 0.018835271), ('native_country', 0.015227092), ('race', 0.003041057), ('workclass', 0.001152353)]"
