Permutation,age,workclass,education,marital_status,occupation,race,sex,hours_per_week,native_country
1,0.01,1.2,1.96,1.35,1.22,1.244,1.26,1.21,1.3
2,0.05,14,1.37,2.01,1.25,1.22,1.25,1.22,1.32
3,0.03,2.11,1.43,1.44,1.36,1.28,1.25,1.22,1.32
4,0.06,2.16,1.33,1.22,1.36,1.22,1.27,1.93,1.21
5,0.11,1.87,1.33,1.22,1.24,1.22,1.29,2.08,1.16
6,0.04,1.53,1.26,1.21,1.34,1.23,1.25,1.94,1.22
7,0.09,1.21,1.25,1.24,1.22,1.22,1.27,2.11,1.21
8,0.03,1.22,1.3,1.203,1.307,1.23,1.26,2.02,1.12
9,0.05,1.33,1.33,1.203,1.21,1.28,1.25,1.95,1.2
10,0.09,1.38,1.81,1.252,1.21,1.23,1.28,3.93,1.25
11,0.08,1.41,1.66,1.25,1.25,1.22,1.25,3.63,1.23
12,0.14,1.42,1.18,1.251,1.21,1.234,1.26,2.21,1.28
13,0.06,2.18,1.24,1.22,1.27,1.24,1.25,1.24,1.29
14,0.06,2.22,1.33,1.24,1.28,1.64,1.25,1.23,1.29
15,0.05,2.17,1.57,1.23,1.21,1.43,1.25,1.25,1.98
16,0.05,1.2,1.27,1.26,1.28,1.35,1.246,1.23,1.94
17,0.06,1.34,1.28,1.23,1.31,1.35,1.25,1.22,1.97
18,0.05,1.56,1.24,1.23,1.27,1.35,1.28,1.23,2
19,0.08,1.38,1.2,1.22,1.303,1.58,1.3,1.54,2.01
20,0.06,2.19,1.21,1.24,1.32,1.26,1.26,1.24,1.94
21,0.06,1.27,2.7,1.24,1.26,1.23,1.29,1.21,2.06
22,0.09,1.26,2.69,1.43,1.23,1.22,1.28,1.21,2.04
23,0.05,1.509,2.64,1.24,1.25,1.22,1.29,1.25,2
24,0.05,1.41,2.66,1.26,1.22,1.23,1.3,1.22,2.04
25,0.08,1.28,2.55,1.46,1.26,1.23,1.26,1.22,2.07
26,0.08,1.28,2.67,1.46,1.18,1.23,1.27,1.24,2.02
27,0.05,1.41,2.15,1.24,1.23,1.27,1.29,1.24,1.86
28,0.05,1.39,1.97,1.48,1.17,1.26,1.29,1.22,2.17
29,0.05,1.46,2.78,1.48,1.18,1.26,1.29,1.27,1.99
30,0.1,1.415,2.17,1.28,1.21,1.23,1.29,1.22,1.27
31,0.09,1.25,2.06,1.56,1.22,1.46,1.29,1.26,1.16
32,0.02,1.39,2.18,1.86,1.27,1.22,1.28,2.19,1.21
33,0.08,1.23,2.07,1.86,1.22,1.25,1.25,1.45,1.22
34,0.04,1.2,2.14,1.86,1.18,1.23,1.24,1.22,1.19
35,0.05,1.43,1.27,2.03,1.21,1.25,1.25,1.24,1.26
36,0.04,1.95,1.24,1.52,1.17,1.61,1.25,1.26,1.28
37,0.07,2.87,1.24,1.88,1.2,1.24,1.28,1.23,1.25
38,0.03,2.23,1.23,2.76,1.22,1.23,1.25,1.25,1.18
39,0.03,3.09,2.25,2.26,1.21,1.23,1.28,1.24,1.21
40,0.08,3.02,1.7,2.02,1.2,1.23,2.04,1.3,1.25
41,0.04,2.55,1.67,3.43,1.19,1.27,1.24,2.12,1.26
42,0.07,2.9,1.419,1.37,1.15,1.22,1.22,2.33,1.19
43,0.07,3.11,1.52,1.37,1.16,1.22,1.22,2.25,1.24
44,0.08,2.9,1.32,1.28,1.202,1.73,1.25,1.35,1.25
45,0.07,2.3,1.87,1.31,1.16,1.27,1.23,1.23,1.24
46,0.09,2.07,1.82,1.23,1.17,1.3,1.27,2.2,1.25
47,0.03,1.85,2.04,1.23,1.22,1.24,1.26,2.21,1.23
48,0.08,1.25,2.3,1.25,1.15,1.28,1.25,2.16,1.19
49,0.06,1.28,1.59,1.23,1.17,1.25,1.28,2.32,1.22
50,0.02,1.27,1.39,1.22,1.21,1.25,1.22,2.2,1.28
51,0.09,1.27,1.34,1.9,1.21,1.25,1.23,2.19,1.31
52,0.08,1.25,1.36,1.23,1.17,1.25,1.24,1.81,1.23
53,0.03,1.26,1.34,1.24,1.96,1.26,1.24,1.62,1.25
54,0.07,1.23,1.19,1.25,1.96,1.24,1.26,1.25,1.17
55,0.05,1.23,1.34,1.23,1.69,1.29,1.22,1.24,1.2
56,0.05,1.27,1.46,1.24,1.76,1.28,1.3,1.24,1.18
57,0.08,1.26,1.38,1.34,2.82,1.25,1.59,1.24,1.26
58,0.05,1.26,1.38,1.28,1.83,1.24,1.22,1.26,1.16
59,0.06,1.24,1.401,1.26,1.39,1.25,1.24,1.25,1.28
60,0.03,1.48,1.37,1.29,2.07,1.25,1.22,1.24,1.24
average,0.060666667,1.877566667,1.6735,1.451316667,1.322533333,1.282466667,1.2781,1.604666667,1.426666667
