Feature_name,r_squared
"('age1',)",0.061965909
"('Weight',)",0.410026319
"('HtShoes',)",0.634565832
"('Ht',)",0.638285028
"('Seated',)",0.534731945
"('Arm',)",0.342336136
"('Thigh',)",0.349519267
"('Leg',)",0.619634249
"('age1', 'Weight')",0.435680515
"('age1', 'HtShoes')",0.649798443
"('age1', 'Ht')",0.650491825
"('age1', 'Seated')",0.55364252
"('age1', 'Arm')",0.421174977
"('age1', 'Thigh')",0.40591458
"('age1', 'Leg')",0.646569824
"('Weight', 'HtShoes')",0.635762742
"('Weight', 'Ht')",0.639772892
"('Weight', 'Seated')",0.548163928
"('Weight', 'Arm')",0.447349783
"('Weight', 'Thigh')",0.485039266
"('Weight', 'Leg')",0.621007353
"('HtShoes', 'Ht')",0.638480677
"('HtShoes', 'Seated')",0.635206212
"('HtShoes', 'Arm')",0.635010955
"('HtShoes', 'Thigh')",0.63496589
"('HtShoes', 'Leg')",0.657650356
"('Ht', 'Seated')",0.639056559
"('Ht', 'Arm')",0.6388607
"('Ht', 'Thigh')",0.638320198
"('Ht', 'Leg')",0.659411743
"('Seated', 'Arm')",0.561594825
"('Seated', 'Thigh')",0.569076823
"('Seated', 'Leg')",0.644546104
"('Arm', 'Thigh')",0.414057874
"('Arm', 'Leg')",0.619793177
"('Thigh', 'Leg')",0.630678287
"('age1', 'Weight', 'HtShoes')",0.651138496
"('age1', 'Weight', 'Ht')",0.651915058
"('age1', 'Weight', 'Seated')",0.566027504
"('age1', 'Weight', 'Arm')",0.489960144
"('age1', 'Weight', 'Thigh')",0.517943158
"('age1', 'Weight', 'Leg')",0.647068792
"('age1', 'HtShoes', 'Ht')",0.65072444
"('age1', 'HtShoes', 'Seated')",0.650551835
"('age1', 'HtShoes', 'Arm')",0.649949572
"('age1', 'HtShoes', 'Thigh')",0.651230316
"('age1', 'HtShoes', 'Leg')",0.676468267
"('age1', 'Ht', 'Seated')",0.651132062
"('age1', 'Ht', 'Arm')",0.650555242
"('age1', 'Ht', 'Thigh')",0.651086242
"('age1', 'Ht', 'Leg')",0.67617766
"('age1', 'Seated', 'Arm')",0.591457271
"('age1', 'Seated', 'Thigh')",0.593345826
"('age1', 'Seated', 'Leg')",0.66618163
"('age1', 'Arm', 'Thigh')",0.482406063
"('age1', 'Arm', 'Leg')",0.647054791
"('age1', 'Thigh', 'Leg')",0.660143976
"('Weight', 'HtShoes', 'Ht')",0.63993296
"('Weight', 'HtShoes', 'Seated')",0.636356217
"('Weight', 'HtShoes', 'Arm')",0.635969862
"('Weight', 'HtShoes', 'Thigh')",0.63607126
"('Weight', 'HtShoes', 'Leg')",0.660765329
"('Weight', 'Ht', 'Seated')",0.640479058
"('Weight', 'Ht', 'Arm')",0.640047048
"('Weight', 'Ht', 'Thigh')",0.639777961
"('Weight', 'Ht', 'Leg')",0.662792983
"('Weight', 'Seated', 'Arm')",0.564100336
