Feature_name,r_squared
"('Age',)",0.042095620047721494
"('Weight',)",0.41002631932411016
"('HtShoes',)",0.6345658318498824
"('Ht',)",0.6382850276047463
"('Seated',)",0.5347319454075565
"('Arm',)",0.34233613553628517
"('Thigh',)",0.3495192670435171
"('Leg',)",0.6196342489007702
"('Age', 'Weight')",0.47642412140853085
"('Age', 'HtShoes')",0.654858716163403
"('Age', 'Ht')",0.6561635313811137
"('Age', 'Seated')",0.5414403636042344
"('Age', 'Arm')",0.5406213005038993
"('Age', 'Thigh')",0.41723736709103876
"('Age', 'Leg')",0.6492198160464202
"('Weight', 'HtShoes')",0.6357627424527291
"('Weight', 'Ht')",0.6397728923760415
"('Weight', 'Seated')",0.5481639279627746
"('Weight', 'Arm')",0.4473497828237387
"('Weight', 'Thigh')",0.4850392663068459
"('Weight', 'Leg')",0.6210073532997942
"('HtShoes', 'Ht')",0.6384806774733394
"('HtShoes', 'Seated')",0.6352062116355492
"('HtShoes', 'Arm')",0.6350109549406668
"('HtShoes', 'Thigh')",0.6349658904378719
"('HtShoes', 'Leg')",0.6576503564000618
"('Ht', 'Seated')",0.6390565590391409
"('Ht', 'Arm')",0.638860699668005
"('Ht', 'Thigh')",0.6383201982233777
"('Ht', 'Leg')",0.6594117429189312
"('Seated', 'Arm')",0.5615948246425002
"('Seated', 'Thigh')",0.5690768227762376
"('Seated', 'Leg')",0.6445461035669562
"('Arm', 'Thigh')",0.41405787413022155
"('Arm', 'Leg')",0.6197931772140128
"('Thigh', 'Leg')",0.630678286748753
"('Age', 'Weight', 'HtShoes')",0.6548666629354071
"('Age', 'Weight', 'Ht')",0.656165429561925
"('Age', 'Weight', 'Seated')",0.5648916895102868
"('Age', 'Weight', 'Arm')",0.5881235099035982
"('Age', 'Weight', 'Thigh')",0.5596801068022359
"('Age', 'Weight', 'Leg')",0.6540981108212249
"('Age', 'HtShoes', 'Ht')",0.6562575561282635
"('Age', 'HtShoes', 'Seated')",0.659086083457211
"('Age', 'HtShoes', 'Arm')",0.663063094560173
"('Age', 'HtShoes', 'Thigh')",0.6575729414078357
"('Age', 'HtShoes', 'Leg')",0.6812662246139594
"('Age', 'Ht', 'Seated')",0.6598466686708134
"('Age', 'Ht', 'Arm')",0.6630657117685173
"('Age', 'Ht', 'Thigh')",0.6576205998082294
"('Age', 'Ht', 'Leg')",0.6814158985074573
"('Age', 'Seated', 'Arm')",0.6134644189891079
"('Age', 'Seated', 'Thigh')",0.5865299748537615
"('Age', 'Seated', 'Leg')",0.6638866267369128
"('Age', 'Arm', 'Thigh')",0.5714015610595826
"('Age', 'Arm', 'Leg')",0.6617725209940786
"('Age', 'Thigh', 'Leg')",0.6670767399333217
"('Weight', 'HtShoes', 'Ht')",0.6399329595141305
"('Weight', 'HtShoes', 'Seated')",0.6363562167944687
"('Weight', 'HtShoes', 'Arm')",0.6359698622282963
"('Weight', 'HtShoes', 'Thigh')",0.6360712604261378
"('Weight', 'HtShoes', 'Leg')",0.6607653287871001
"('Weight', 'Ht', 'Seated')",0.640479057639549
"('Weight', 'Ht', 'Arm')",0.6400470477197855
"('Weight', 'Ht', 'Thigh')",0.6397779607603881
"('Weight', 'Ht', 'Leg')",0.6627929826906112
"('Weight', 'Seated', 'Arm')",0.5641003360111168
"('Weight', 'Seated', 'Thigh')",0.5754716103691959
"('Weight', 'Seated', 'Leg')",0.6451915309208779
"('Weight', 'Arm', 'Thigh')",0.49066960800689163
"('Weight', 'Arm', 'Leg')",0.6215397655822682
"('Weight', 'Thigh', 'Leg')",0.6312157608601265
"('HtShoes', 'Ht', 'Seated')",0.6391606340292837
"('HtShoes', 'Ht', 'Arm')",0.6390368584865007
"('HtShoes', 'Ht', 'Thigh')",0.6384899027911743
"('HtShoes', 'Ht', 'Leg')",0.6596708679832273
"('HtShoes', 'Seated', 'Arm')",0.6361200020345381
"('HtShoes', 'Seated', 'Thigh')",0.6353974360832884
"('HtShoes', 'Seated', 'Leg')",0.6577000858726947
"('HtShoes', 'Arm', 'Thigh')",0.6357353253123943
"('HtShoes', 'Arm', 'Leg')",0.6615152229275928
"('HtShoes', 'Thigh', 'Leg')",0.6582621404917288
"('Ht', 'Seated', 'Arm')",0.6401983988806519
"('Ht', 'Seated', 'Thigh')",0.6390625719275014
"('Ht', 'Seated', 'Leg')",0.6594202508975154
"('Ht', 'Arm', 'Thigh')",0.6390229253562427
"('Ht', 'Arm', 'Leg')",0.6633826007616945
"('Ht', 'Thigh', 'Leg')",0.6596621306202927
"('Seated', 'Arm', 'Thigh')",0.5766441003051961
"('Seated', 'Arm', 'Leg')",0.64487132203996
"('Seated', 'Thigh', 'Leg')",0.6506318938483666
"('Arm', 'Thigh', 'Leg')",0.6336485217697105
"('Age', 'Weight', 'HtShoes', 'Ht')",0.6562590744841399
"('Age', 'Weight', 'HtShoes', 'Seated')",0.6591782644741089
"('Age', 'Weight', 'HtShoes', 'Arm')",0.6630653250540708
"('Age', 'Weight', 'HtShoes', 'Thigh')",0.6576732959797109
"('Age', 'Weight', 'HtShoes', 'Leg')",0.6815603912281738
"('Age', 'Weight', 'Ht', 'Seated')",0.6598709373401208
"('Age', 'Weight', 'Ht', 'Arm')",0.66307926667347
"('Age', 'Weight', 'Ht', 'Thigh')",0.6576483313891449
"('Age', 'Weight', 'Ht', 'Leg')",0.6817716222683452
"('Age', 'Weight', 'Seated', 'Arm')",0.6192518049369901
"('Age', 'Weight', 'Seated', 'Thigh')",0.6025859658220658
"('Age', 'Weight', 'Seated', 'Leg')",0.6642001150186938
"('Age', 'Weight', 'Arm', 'Thigh')",0.6089745512076057
"('Age', 'Weight', 'Arm', 'Leg')",0.6641999258875948
"('Age', 'Weight', 'Thigh', 'Leg')",0.6701775751118852
"('Age', 'HtShoes', 'Ht', 'Seated')",0.6603116433345462
"('Age', 'HtShoes', 'Ht', 'Arm')",0.6634350970914091
"('Age', 'HtShoes', 'Ht', 'Thigh')",0.6580411054873027
"('Age', 'HtShoes', 'Ht', 'Leg')",0.6815175557426456
"('Age', 'HtShoes', 'Seated', 'Arm')",0.6654840669931469
"('Age', 'HtShoes', 'Seated', 'Thigh')",0.6605915995233287
"('Age', 'HtShoes', 'Seated', 'Leg')",0.6823599682921466
"('Age', 'HtShoes', 'Arm', 'Thigh')",0.6643542355314526
"('Age', 'HtShoes', 'Arm', 'Leg')",0.6835466045314952
"('Age', 'HtShoes', 'Thigh', 'Leg')",0.684857693812555
"('Age', 'Ht', 'Seated', 'Arm')",0.665108156529022
"('Age', 'Ht', 'Seated', 'Thigh')",0.6603914808555158
"('Age', 'Ht', 'Seated', 'Leg')",0.682337063191261
"('Age', 'Ht', 'Arm', 'Thigh')",0.6637297709745552
"('Age', 'Ht', 'Arm', 'Leg')",0.6833688659204162
"('Age', 'Ht', 'Thigh', 'Leg')",0.6842471870401599
"('Age', 'Seated', 'Arm', 'Thigh')",0.6257998414274941
"('Age', 'Seated', 'Arm', 'Leg')",0.6715170966627162
"('Age', 'Seated', 'Thigh', 'Leg')",0.6758092586713058
"('Age', 'Arm', 'Thigh', 'Leg')",0.6720847600239408
"('Weight', 'HtShoes', 'Ht', 'Seated')",0.6405609020538798
"('Weight', 'HtShoes', 'Ht', 'Arm')",0.6401974929786154
"('Weight', 'HtShoes', 'Ht', 'Thigh')",0.6399331264320174
"('Weight', 'HtShoes', 'Ht', 'Leg')",0.6629938786938794
"('Weight', 'HtShoes', 'Seated', 'Arm')",0.6368990410253383
"('Weight', 'HtShoes', 'Seated', 'Thigh')",0.636490467288413
"('Weight', 'HtShoes', 'Seated', 'Leg')",0.6608718819092729
"('Weight', 'HtShoes', 'Arm', 'Thigh')",0.6364950157677449
"('Weight', 'HtShoes', 'Arm', 'Leg')",0.6635982459265778
"('Weight', 'HtShoes', 'Thigh', 'Leg')",0.6612054009681223
"('Weight', 'Ht', 'Seated', 'Arm')",0.6411601941384271
"('Weight', 'Ht', 'Seated', 'Thigh')",0.6405137031728138
"('Weight', 'Ht', 'Seated', 'Leg')",0.6628349656778485
"('Weight', 'Ht', 'Arm', 'Thigh')",0.6401017392172497
"('Weight', 'Ht', 'Arm', 'Leg')",0.6656707386767701
"('Weight', 'Ht', 'Thigh', 'Leg')",0.6629088662213035
"('Weight', 'Seated', 'Arm', 'Thigh')",0.5791506616349976
"('Weight', 'Seated', 'Arm', 'Leg')",0.6453270650421385
"('Weight', 'Seated', 'Thigh', 'Leg')",0.6515976688953502
"('Weight', 'Arm', 'Thigh', 'Leg')",0.6349949910189815
"('HtShoes', 'Ht', 'Seated', 'Arm')",0.6402570920716121
"('HtShoes', 'Ht', 'Seated', 'Thigh')",0.6391796361235127
"('HtShoes', 'Ht', 'Seated', 'Leg')",0.6596992617531956
"('HtShoes', 'Ht', 'Arm', 'Thigh')",0.6391363369294019
"('HtShoes', 'Ht', 'Arm', 'Leg')",0.663589524361596
"('HtShoes', 'Ht', 'Thigh', 'Leg')",0.6598323963651808
"('HtShoes', 'Seated', 'Arm', 'Thigh')",0.636553036794375
"('HtShoes', 'Seated', 'Arm', 'Leg')",0.661610052088793
"('HtShoes', 'Seated', 'Thigh', 'Leg')",0.6584708077686259
"('HtShoes', 'Arm', 'Thigh', 'Leg')",0.6635513146108106
"('Ht', 'Seated', 'Arm', 'Thigh')",0.640215670413834
"('Ht', 'Seated', 'Arm', 'Leg')",0.6635735287431741
"('Ht', 'Seated', 'Thigh', 'Leg')",0.6597330754683015
"('Ht', 'Arm', 'Thigh', 'Leg')",0.664664316103788
"('Seated', 'Arm', 'Thigh', 'Leg')",0.6531082672285542
"('Age', 'Weight', 'HtShoes', 'Ht', 'Seated')",0.6603440588722143
"('Age', 'Weight', 'HtShoes', 'Ht', 'Arm')",0.6634470128518779
"('Age', 'Weight', 'HtShoes', 'Ht', 'Thigh')",0.6580844553272298
"('Age', 'Weight', 'HtShoes', 'Ht', 'Leg')",0.6818677327305702
"('Age', 'Weight', 'HtShoes', 'Seated', 'Arm')",0.6655013719486413
"('Age', 'Weight', 'HtShoes', 'Seated', 'Thigh')",0.6607945312663692
"('Age', 'Weight', 'HtShoes', 'Seated', 'Leg')",0.6825266118720328
"('Age', 'Weight', 'HtShoes', 'Arm', 'Thigh')",0.6643691695062357
"('Age', 'Weight', 'HtShoes', 'Arm', 'Leg')",0.6838654206774292
"('Age', 'Weight', 'HtShoes', 'Thigh', 'Leg')",0.6849449502840181
"('Age', 'Weight', 'Ht', 'Seated', 'Arm')",0.665109976210304
"('Age', 'Weight', 'Ht', 'Seated', 'Thigh')",0.6604646732946193
"('Age', 'Weight', 'Ht', 'Seated', 'Leg')",0.6825651560131099
"('Age', 'Weight', 'Ht', 'Arm', 'Thigh')",0.6637306367878401
"('Age', 'Weight', 'Ht', 'Arm', 'Leg')",0.6837245394079077
"('Age', 'Weight', 'Ht', 'Thigh', 'Leg')",0.6843532678474211
"('Age', 'Weight', 'Seated', 'Arm', 'Thigh')",0.6314906868003352
"('Age', 'Weight', 'Seated', 'Arm', 'Leg')",0.6715885616423994
"('Age', 'Weight', 'Seated', 'Thigh', 'Leg')",0.6760876924533632
"('Age', 'Weight', 'Arm', 'Thigh', 'Leg')",0.6740715790531338
