0
"[('Leg      ', 0.132), ('HtShoes  ', 0.12), ('Ht ', 0.12), ('Seated  ', 0.09), ('Weight ', 0.06), ('Arm  ', 0.058), ('Thigh', 0.057), ('Age', 0.03)]"
"[('Leg      ', 0.146), ('HtShoes  ', 0.145), ('Ht ', 0.145), ('Weight ', 0.078), ('Arm  ', 0.068), ('Thigh', 0.068), ('Age', 0.036), ('Seated  ', 0.015)]"
"[('Leg      ', 0.148), ('HtShoes  ', 0.144), ('Ht ', 0.144), ('Weight ', 0.077), ('Thigh', 0.069), ('Arm  ', 0.068), ('Age', 0.029), ('Seated  ', 0.016)]"
"[('Leg      ', 0.147), ('Ht ', 0.142), ('HtShoes  ', 0.14), ('Weight ', 0.077), ('Arm  ', 0.067), ('Thigh', 0.066), ('Age', 0.033), ('Seated  ', 0.01)]"
"[('Leg      ', 0.151), ('Ht ', 0.144), ('HtShoes  ', 0.142), ('Weight ', 0.078), ('Arm  ', 0.068), ('Thigh', 0.065), ('Age', 0.035), ('Seated  ', 0.0009)]"
"[('Leg      ', 0.15), ('Ht ', 0.143), ('HtShoes  ', 0.142), ('Weight ', 0.078), ('Arm  ', 0.067), ('Thigh', 0.065), ('Age', 0.035), ('Seated  ', 0.003)]"
"[('Leg      ', 0.148), ('Ht ', 0.144), ('HtShoes  ', 0.142), ('Weight ', 0.079), ('Arm  ', 0.068), ('Thigh', 0.068), ('Age', 0.037), ('Seated  ', 0.012)]"
"[('Leg      ', 0.154), ('Ht ', 0.146), ('HtShoes  ', 0.145), ('Weight ', 0.079), ('Arm  ', 0.068), ('Thigh', 0.065), ('Age', 0.032), ('Seated  ', 0.029)]"
"[('Leg      ', 0.152), ('Ht ', 0.143), ('HtShoes  ', 0.141), ('Weight ', 0.077), ('Arm  ', 0.068), ('Thigh', 0.065), ('Age', 0.029), ('Seated  ', 0.015)]"
"[('Leg      ', 0.15), ('Ht ', 0.144), ('HtShoes  ', 0.142), ('Weight ', 0.078), ('Arm  ', 0.068), ('Thigh', 0.065), ('Age', 0.035), ('Seated  ', 0.001)]"
"[('Leg      ', 0.152), ('Ht ', 0.144), ('HtShoes  ', 0.142), ('Weight ', 0.078), ('Arm  ', 0.068), ('Thigh', 0.065), ('Age', 0.032), ('Seated  ', 0.008)]"
"[('Leg      ', 0.152), ('Ht ', 0.144), ('HtShoes  ', 0.143), ('Weight ', 0.078), ('Arm  ', 0.068), ('Thigh', 0.068), ('Age', 0.037), ('Seated  ', 0.009)]"
"[('Leg      ', 0.149), ('Ht ', 0.145), ('HtShoes  ', 0.143), ('Weight ', 0.078), ('Arm  ', 0.067), ('Thigh', 0.065), ('Age', 0.031), ('Seated  ', 0.017)]"
"[('Leg      ', 0.151), ('Ht ', 0.143), ('HtShoes  ', 0.141), ('Weight ', 0.077), ('Arm  ', 0.067), ('Thigh', 0.065), ('Age', 0.034), ('Seated  ', 0.006)]"
"[('Leg      ', 0.148), ('Ht ', 0.144), ('HtShoes  ', 0.143), ('Weight ', 0.078), ('Arm  ', 0.069), ('Thigh', 0.066), ('Age', 0.033), ('Seated  ', 0.006)]"
"[('Leg      ', 0.145), ('Ht ', 0.143), ('HtShoes  ', 0.142), ('Weight ', 0.077), ('Arm  ', 0.068), ('Thigh', 0.067), ('Age', 0.041), ('Seated  ', 0.0104)]"
"[('Ht ', 0.143), ('HtShoes  ', 0.141), ('Leg      ', 0.141), ('Weight ', 0.0806), ('Arm  ', 0.068), ('Thigh', 0.065), ('Seated  ', 0.048), ('Age', 0.0302)]"
"[('Leg      ', 0.1505), ('Ht ', 0.144), ('HtShoes  ', 0.142), ('Weight ', 0.078), ('Arm  ', 0.068), ('Thigh', 0.065), ('Age', 0.035), ('Seated  ', 0.0009)]"
"[('Leg      ', 0.147), ('Ht ', 0.146), ('HtShoes  ', 0.143), ('Weight ', 0.077), ('Arm  ', 0.067), ('Thigh', 0.066), ('Age', 0.035), ('Seated  ', 0.02)]"
"[('Leg      ', 0.151), ('Ht ', 0.143), ('HtShoes  ', 0.142), ('Weight ', 0.077), ('Arm  ', 0.067), ('Thigh', 0.064), ('Age', 0.034), ('Seated  ', 0.005)]"
"[('Leg      ', 0.144), ('Ht ', 0.142), ('HtShoes  ', 0.14), ('Weight ', 0.077), ('Arm  ', 0.067), ('Thigh', 0.065), ('Age', 0.037), ('Seated  ', 0.013)]"
"[('Leg      ', 0.151), ('Ht ', 0.144), ('HtShoes  ', 0.142), ('Weight ', 0.078), ('Arm  ', 0.068), ('Thigh', 0.066), ('Age', 0.033), ('Seated  ', 0.002)]"
"[('Leg      ', 0.151), ('Ht ', 0.144), ('HtShoes  ', 0.142), ('Weight ', 0.078), ('Arm  ', 0.068), ('Thigh', 0.065), ('Age', 0.035), ('Seated  ', 0.001)]"
"[('Leg      ', 0.154), ('Ht ', 0.144), ('HtShoes  ', 0.143), ('Weight ', 0.078), ('Arm  ', 0.067), ('Thigh', 0.065), ('Age', 0.033), ('Seated  ', 0.007)]"
"[('Leg      ', 0.151), ('Ht ', 0.144), ('HtShoes  ', 0.142), ('Weight ', 0.078), ('Arm  ', 0.068), ('Thigh', 0.066), ('Age', 0.035), ('Seated  ', 0.001)]"
"[('Ht ', 0.152), ('Leg      ', 0.151), ('HtShoes  ', 0.149), ('Weight ', 0.079), ('Seated  ', 0.0702), ('Arm  ', 0.069), ('Thigh', 0.065), ('Age', 0.034)]"
"[('Leg      ', 0.148), ('Ht ', 0.142), ('HtShoes  ', 0.141), ('Weight ', 0.076), ('Arm  ', 0.067), ('Thigh', 0.066), ('Age', 0.035), ('Seated  ', 0.008)]"
"[('Ht ', 143.0), ('Leg      ', 0.15), ('HtShoes  ', 0.142), ('Weight ', 0.078), ('Arm  ', 0.068), ('Thigh', 0.066), ('Age', 0.035), ('Seated  ', 0.002)]"
"[('Leg      ', 0.149), ('Ht ', 0.143), ('HtShoes  ', 0.141), ('Weight ', 0.079), ('Arm  ', 0.069), ('Thigh', 0.065), ('Age', 0.036), ('Seated  ', 0.015)]"
"[('Leg      ', 0.149), ('Ht ', 0.143), ('HtShoes  ', 0.141), ('Weight ', 0.079), ('Arm  ', 0.069), ('Thigh', 0.065), ('Age', 0.036), ('Seated  ', 0.015)]"
"[('Leg      ', 0.151), ('Ht ', 0.143), ('HtShoes  ', 0.142), ('Weight ', 0.078), ('Arm  ', 0.068), ('Thigh', 0.065), ('Age', 0.034), ('Seated  ', 0.002)]"
