,Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg,Execution_time
0,0.03,0.06,0.12,0.12,0.09,0.058,0.057,0.132,0.03
1,0.031305708,0.073379424,0.133868401,0.135506025,0.101734333,0.066776049,0.001015887,0.141902794,0.03
2,0.028201601,0.073266538,0.134373197,0.136032421,0.102507248,0.066325994,0.005465205,0.141465858,0.08
3,0.033074554,0.073322566,0.133969926,0.134929499,0.101761902,0.066536107,0.010048556,0.148485178,0.08
4,0.030888262,0.073131964,0.133928814,0.135518504,0.101862432,0.066689509,0.000608032,0.142060552,0.09
5,0.031382368,0.073027554,0.133734822,0.135349607,0.101565591,0.06574146,0.004896125,0.139624018,0.11
6,0.031019959,0.072819886,0.133810041,0.135621558,0.101487405,0.06625883,0.004576032,0.141530742,0.08
7,0.030905479,0.073168799,0.133814357,0.135402618,0.10208399,0.066828617,0.0012459,0.141697347,0.07
8,0.031942918,0.073551362,0.133290119,0.134773824,0.101919648,0.066446961,0.003226871,0.140655314,0.03
9,0.03389057,0.073235016,0.134707919,0.136116293,0.102185665,0.067445962,0.0051957,0.140476153,0.11
10,0.020248,0.071259596,0.130743828,0.134173084,0.098110651,0.063276252,0.116000033,0.128823701,0.09
11,0.034271601,0.073487415,0.134123987,0.136524782,0.102524904,0.066185037,0.019591535,0.141816194,0.1
12,0.029686257,0.074170974,0.133370524,0.134968082,0.102577264,0.066265099,0.004103166,0.139581986,0.09
13,0.030031336,0.073293568,0.133936901,0.136163597,0.101878621,0.066938156,0.030208954,0.143772431,0.11
14,0.031704672,0.07404445,0.133758367,0.135550198,0.101646068,0.066737258,0.004823361,0.142584888,0.1
15,0.035512091,0.072420436,0.13312358,0.135572984,0.101253795,0.069014571,0.028186584,0.132171298,0.06
16,0.033332009,0.07514504,0.135246266,0.13686052,0.102929614,0.068265693,0.018007808,0.135887034,0.11
17,0.030250856,0.072684444,0.133420044,0.134970172,0.101396155,0.066352943,0.004646053,0.141096281,0.1
18,0.036640742,0.072419639,0.132745643,0.135755392,0.101295077,0.065235497,0.034672671,0.143016602,0.1
19,0.030983759,0.073493683,0.133903399,0.135452512,0.102002905,0.066578712,0.00080423,0.141968582,0.1
20,0.030185748,0.07308785,0.133664006,0.134898263,0.10174422,0.067011708,0.005596375,0.14444287,0.09
21,0.029812553,0.073183954,0.134489319,0.13616214,0.101913037,0.066388073,0.002738272,0.140461536,0.08
22,0.031028163,0.073824203,0.133585346,0.135286953,0.101744998,0.066745839,0.001292669,0.141049233,0.09
23,0.031425205,0.073034995,0.133818523,0.135253768,0.101688762,0.066343236,0.003761024,0.142047566,0.12
24,0.031325139,0.072724238,0.133127554,0.134612278,0.101072013,0.066079133,0.005405964,0.142274151,0.11
25,0.030583179,0.072390856,0.133545961,0.135532255,0.101283928,0.06608523,0.00572913,0.141227879,0.11
26,0.031473445,0.073348999,0.13381331,0.135923788,0.10248496,0.068981557,0.01772515,0.142798424,0.14
27,0.030784514,0.073996813,0.133629966,0.136164785,0.101785392,0.067225507,0.012468726,0.140261482,0.08
28,0.030626601,0.074310472,0.133633381,0.135653139,0.101643322,0.066377857,0.006518689,0.140177599,0.09
29,0.033653386,0.072489804,0.132626619,0.13476777,0.100636106,0.06584747,0.011099063,0.140411448,0.08
30,0.033131681,0.073518265,0.133559399,0.135268603,0.101700873,0.066847691,0.002651799,0.140509497,0.11
mean,0.00276013,0.073241093,0.133645451,0.13549218,0.101680696,0.0665944,0.012410319,0.140809288,0.091333333
std. dev,0.030389112,0.073241093,0.133645451,0.13549218,0.101680696,0.0665944,0.012410319,0.140809288,0.091333333
z_score,0.896369367,-0.180787763,-0.102101872,-0.114340034,-0.114876239,-0.1290559,3.592952117,-0.062561839,-0.671532847
p_value,0.37,0.85,0.91,0.909,0.909,0.897,0.000327,0.95,0.502
Significance,Not significant,Not significant,Not significant,Not significant,Not significant,Not significant,Significant,Not significant,
