Feature_name,r_squared
"('age5',)",0.000339299
"('Weight',)",0.410026319
"('HtShoes',)",0.634565832
"('Ht',)",0.638285028
"('Seated',)",0.534731945
"('Arm',)",0.342336136
"('Thigh',)",0.349519267
"('Leg',)",0.619634249
"('age5', 'Weight')",0.425694199
"('age5', 'HtShoes')",0.637330953
"('age5', 'Ht')",0.639844872
"('age5', 'Seated')",0.53867785
"('age5', 'Arm')",0.350053162
"('age5', 'Thigh')",0.352777835
"('age5', 'Leg')",0.620241035
"('Weight', 'HtShoes')",0.635762742
"('Weight', 'Ht')",0.639772892
"('Weight', 'Seated')",0.548163928
"('Weight', 'Arm')",0.447349783
"('Weight', 'Thigh')",0.485039266
"('Weight', 'Leg')",0.621007353
"('HtShoes', 'Ht')",0.638480677
"('HtShoes', 'Seated')",0.635206212
"('HtShoes', 'Arm')",0.635010955
"('HtShoes', 'Thigh')",0.63496589
"('HtShoes', 'Leg')",0.657650356
"('Ht', 'Seated')",0.639056559
"('Ht', 'Arm')",0.6388607
"('Ht', 'Thigh')",0.638320198
"('Ht', 'Leg')",0.659411743
"('Seated', 'Arm')",0.561594825
"('Seated', 'Thigh')",0.569076823
"('Seated', 'Leg')",0.644546104
"('Arm', 'Thigh')",0.414057874
"('Arm', 'Leg')",0.619793177
"('Thigh', 'Leg')",0.630678287
"('age5', 'Weight', 'HtShoes')",0.637797785
"('age5', 'Weight', 'Ht')",0.640655868
"('age5', 'Weight', 'Seated')",0.556188503
"('age5', 'Weight', 'Arm')",0.464899489
"('age5', 'Weight', 'Thigh')",0.488832829
"('age5', 'Weight', 'Leg')",0.622355823
"('age5', 'HtShoes', 'Ht')",0.639855622
"('age5', 'HtShoes', 'Seated')",0.637787347
"('age5', 'HtShoes', 'Arm')",0.637481762
"('age5', 'HtShoes', 'Thigh')",0.637436079
"('age5', 'HtShoes', 'Leg')",0.659512221
"('age5', 'Ht', 'Seated')",0.640388557
"('age5', 'Ht', 'Arm')",0.640127164
"('age5', 'Ht', 'Thigh')",0.639845867
"('age5', 'Ht', 'Leg')",0.660677814
"('age5', 'Seated', 'Arm')",0.569155685
"('age5', 'Seated', 'Thigh')",0.570115129
"('age5', 'Seated', 'Leg')",0.646380896
"('age5', 'Arm', 'Thigh')",0.414475041
"('age5', 'Arm', 'Leg')",0.620298727
"('age5', 'Thigh', 'Leg')",0.630794723
"('Weight', 'HtShoes', 'Ht')",0.63993296
"('Weight', 'HtShoes', 'Seated')",0.636356217
"('Weight', 'HtShoes', 'Arm')",0.635969862
"('Weight', 'HtShoes', 'Thigh')",0.63607126
"('Weight', 'HtShoes', 'Leg')",0.660765329
"('Weight', 'Ht', 'Seated')",0.640479058
"('Weight', 'Ht', 'Arm')",0.640047048
"('Weight', 'Ht', 'Thigh')",0.639777961
"('Weight', 'Ht', 'Leg')",0.662792983
"('Weight', 'Seated', 'Arm')",0.564100336
"('Weight', 'Seated', 'Thigh')",0.57547161
"('Weight', 'Seated', 'Leg')",0.645191531
"('Weight', 'Arm', 'Thigh')",0.490669608
"('Weight', 'Arm', 'Leg')",0.621539766
"('Weight', 'Thigh', 'Leg')",0.631215761
"('HtShoes', 'Ht', 'Seated')",0.639160634
"('HtShoes', 'Ht', 'Arm')",0.639036858
"('HtShoes', 'Ht', 'Thigh')",0.638489903
"('HtShoes', 'Ht', 'Leg')",0.659670868
"('HtShoes', 'Seated', 'Arm')",0.636120002
"('HtShoes', 'Seated', 'Thigh')",0.635397436
"('HtShoes', 'Seated', 'Leg')",0.657700086
"('HtShoes', 'Arm', 'Thigh')",0.635735325
"('HtShoes', 'Arm', 'Leg')",0.661515223
"('HtShoes', 'Thigh', 'Leg')",0.65826214
"('Ht', 'Seated', 'Arm')",0.640198399
"('Ht', 'Seated', 'Thigh')",0.639062572
"('Ht', 'Seated', 'Leg')",0.659420251
"('Ht', 'Arm', 'Thigh')",0.639022925
"('Ht', 'Arm', 'Leg')",0.663382601
"('Ht', 'Thigh', 'Leg')",0.659662131
"('Seated', 'Arm', 'Thigh')",0.5766441
"('Seated', 'Arm', 'Leg')",0.644871322
"('Seated', 'Thigh', 'Leg')",0.650631894
"('Arm', 'Thigh', 'Leg')",0.633648522
"('age5', 'Weight', 'HtShoes', 'Ht')",0.640677297
"('age5', 'Weight', 'HtShoes', 'Seated')",0.638246884
"('age5', 'Weight', 'HtShoes', 'Arm')",0.637875557
"('age5', 'Weight', 'HtShoes', 'Thigh')",0.637892762
"('age5', 'Weight', 'HtShoes', 'Leg')",0.661607422
"('age5', 'Weight', 'Ht', 'Seated')",0.641202192
"('age5', 'Weight', 'Ht', 'Arm')",0.640812013
"('age5', 'Weight', 'Ht', 'Thigh')",0.640661524
"('age5', 'Weight', 'Ht', 'Leg')",0.663171689
"('age5', 'Weight', 'Seated', 'Arm')",0.573486374
"('age5', 'Weight', 'Seated', 'Thigh')",0.578443174
"('age5', 'Weight', 'Seated', 'Leg')",0.646595393
"('age5', 'Weight', 'Arm', 'Thigh')",0.496382397
"('age5', 'Weight', 'Arm', 'Leg')",0.622675263
"('age5', 'Weight', 'Thigh', 'Leg')",0.631571388
"('age5', 'HtShoes', 'Ht', 'Seated')",0.64038898
"('age5', 'HtShoes', 'Ht', 'Arm')",0.640140645
"('age5', 'HtShoes', 'Ht', 'Thigh')",0.639858146
"('age5', 'HtShoes', 'Ht', 'Leg')",0.66072099
"('age5', 'HtShoes', 'Seated', 'Arm')",0.63819802
"('age5', 'HtShoes', 'Seated', 'Thigh')",0.637812226
"('age5', 'HtShoes', 'Seated', 'Leg')",0.65960932
"('age5', 'HtShoes', 'Arm', 'Thigh')",0.637706006
"('age5', 'HtShoes', 'Arm', 'Leg')",0.662519264
"('age5', 'HtShoes', 'Thigh', 'Leg')",0.659794106
"('age5', 'Ht', 'Seated', 'Arm')",0.641058388
"('age5', 'Ht', 'Seated', 'Thigh')",0.640451541
"('age5', 'Ht', 'Seated', 'Leg')",0.660727012
"('age5', 'Ht', 'Arm', 'Thigh')",0.640146483
"('age5', 'Ht', 'Arm', 'Leg')",0.663923067
"('age5', 'Ht', 'Thigh', 'Leg')",0.660771267
"('age5', 'Seated', 'Arm', 'Thigh')",0.579793206
"('age5', 'Seated', 'Arm', 'Leg')",0.64646799
"('age5', 'Seated', 'Thigh', 'Leg')",0.651593076
