Feature_name,r_squared
"('Age',)",0.04209562004772138
"('Weight',)",0.41002631932411016
"('HtShoes28',)",0.03370788549637538
"('Ht',)",0.6382850276047463
"('Seated',)",0.5347319454075564
"('Arm',)",0.34233613553628506
"('Thigh',)",0.349519267043517
"('Leg',)",0.6196342489007702
"('Age', 'Weight')",0.47642412140853085
"('Age', 'HtShoes28')",0.07276176328581663
"('Age', 'Ht')",0.6561635313811137
"('Age', 'Seated')",0.5414403636042345
"('Age', 'Arm')",0.5406213005038994
"('Age', 'Thigh')",0.417237367091039
"('Age', 'Leg')",0.6492198160464198
"('Weight', 'HtShoes28')",0.4801334009646563
"('Weight', 'Ht')",0.6397728923760414
"('Weight', 'Seated')",0.5481639279627746
"('Weight', 'Arm')",0.4473497828237386
"('Weight', 'Thigh')",0.4850392663068458
"('Weight', 'Leg')",0.621007353299794
"('HtShoes28', 'Ht')",0.6521736836391558
"('HtShoes28', 'Seated')",0.5448765363243591
"('HtShoes28', 'Arm')",0.3839487356802692
"('HtShoes28', 'Thigh')",0.35939681491049214
"('HtShoes28', 'Leg')",0.6355162518572253
"('Ht', 'Seated')",0.6390565590391408
"('Ht', 'Arm')",0.6388606996680051
"('Ht', 'Thigh')",0.638320198223378
"('Ht', 'Leg')",0.6594117429189312
"('Seated', 'Arm')",0.5615948246425002
"('Seated', 'Thigh')",0.5690768227762375
"('Seated', 'Leg')",0.6445461035669562
"('Arm', 'Thigh')",0.41405787413022144
"('Arm', 'Leg')",0.6197931772140127
"('Thigh', 'Leg')",0.6306782867487528
"('Age', 'Weight', 'HtShoes28')",0.5422404406846694
"('Age', 'Weight', 'Ht')",0.6561654295619249
"('Age', 'Weight', 'Seated')",0.5648916895102868
"('Age', 'Weight', 'Arm')",0.5881235099035984
"('Age', 'Weight', 'Thigh')",0.5596801068022359
"('Age', 'Weight', 'Leg')",0.6540981108212248
"('Age', 'HtShoes28', 'Ht')",0.6689901674691847
"('Age', 'HtShoes28', 'Seated')",0.5512121765440565
"('Age', 'HtShoes28', 'Arm')",0.5766985714756221
"('Age', 'HtShoes28', 'Thigh')",0.42445039632177417
"('Age', 'HtShoes28', 'Leg')",0.6634732577321992
"('Age', 'Ht', 'Seated')",0.6598466686708133
"('Age', 'Ht', 'Arm')",0.6630657117685174
"('Age', 'Ht', 'Thigh')",0.6576205998082294
"('Age', 'Ht', 'Leg')",0.6814158985074574
"('Age', 'Seated', 'Arm')",0.613464418989108
"('Age', 'Seated', 'Thigh')",0.5865299748537613
"('Age', 'Seated', 'Leg')",0.6638866267369128
"('Age', 'Arm', 'Thigh')",0.5714015610595826
"('Age', 'Arm', 'Leg')",0.6617725209940786
"('Age', 'Thigh', 'Leg')",0.6670767399333216
"('Weight', 'HtShoes28', 'Ht')",0.6521783131208434
"('Weight', 'HtShoes28', 'Seated')",0.5702809457820294
"('Weight', 'HtShoes28', 'Arm')",0.510565077191146
"('Weight', 'HtShoes28', 'Thigh')",0.5248373649644809
"('Weight', 'HtShoes28', 'Leg')",0.6415038391457548
"('Weight', 'Ht', 'Seated')",0.6404790576395488
"('Weight', 'Ht', 'Arm')",0.6400470477197854
"('Weight', 'Ht', 'Thigh')",0.6397779607603882
"('Weight', 'Ht', 'Leg')",0.6627929826906112
"('Weight', 'Seated', 'Arm')",0.5641003360111166
"('Weight', 'Seated', 'Thigh')",0.5754716103691961
"('Weight', 'Seated', 'Leg')",0.645191530920878
"('Weight', 'Arm', 'Thigh')",0.49066960800689163
"('Weight', 'Arm', 'Leg')",0.6215397655822683
"('Weight', 'Thigh', 'Leg')",0.6312157608601265
"('HtShoes28', 'Ht', 'Seated')",0.6537626418143467
"('HtShoes28', 'Ht', 'Arm')",0.6522182157708807
"('HtShoes28', 'Ht', 'Thigh')",0.6522488507358676
"('HtShoes28', 'Ht', 'Leg')",0.6734463063400669
"('HtShoes28', 'Seated', 'Arm')",0.5770478466778104
"('HtShoes28', 'Seated', 'Thigh')",0.5760534382049866
"('HtShoes28', 'Seated', 'Leg')",0.6570317098102851
"('HtShoes28', 'Arm', 'Thigh')",0.43574836753657387
"('HtShoes28', 'Arm', 'Leg')",0.6355389817529251
"('HtShoes28', 'Thigh', 'Leg')",0.6435796187395648
"('Ht', 'Seated', 'Arm')",0.6401983988806521
"('Ht', 'Seated', 'Thigh')",0.6390625719275014
"('Ht', 'Seated', 'Leg')",0.6594202508975154
"('Ht', 'Arm', 'Thigh')",0.6390229253562428
"('Ht', 'Arm', 'Leg')",0.6633826007616948
"('Ht', 'Thigh', 'Leg')",0.6596621306202928
"('Seated', 'Arm', 'Thigh')",0.5766441003051961
"('Seated', 'Arm', 'Leg')",0.6448713220399602
"('Seated', 'Thigh', 'Leg')",0.6506318938483668
"('Arm', 'Thigh', 'Leg')",0.6336485217697105
"('Age', 'Weight', 'HtShoes28', 'Ht')",0.6706443437160766
"('Age', 'Weight', 'HtShoes28', 'Seated')",0.5915127585790605
"('Age', 'Weight', 'HtShoes28', 'Arm')",0.6390620802918481
"('Age', 'Weight', 'HtShoes28', 'Thigh')",0.5944139301852697
"('Age', 'Weight', 'HtShoes28', 'Leg')",0.6754238431433623
"('Age', 'Weight', 'Ht', 'Seated')",0.6598709373401208
"('Age', 'Weight', 'Ht', 'Arm')",0.66307926667347
"('Age', 'Weight', 'Ht', 'Thigh')",0.657648331389145
"('Age', 'Weight', 'Ht', 'Leg')",0.681771622268345
"('Age', 'Weight', 'Seated', 'Arm')",0.6192518049369902
"('Age', 'Weight', 'Seated', 'Thigh')",0.6025859658220662
"('Age', 'Weight', 'Seated', 'Leg')",0.6642001150186938
"('Age', 'Weight', 'Arm', 'Thigh')",0.6089745512076055
"('Age', 'Weight', 'Arm', 'Leg')",0.6641999258875948
"('Age', 'Weight', 'Thigh', 'Leg')",0.6701775751118852
"('Age', 'HtShoes28', 'Ht', 'Seated')",0.6741479048407154
"('Age', 'HtShoes28', 'Ht', 'Arm')",0.6796260004893018
