Feature_name,r_squared
"('Age',)",0.04209562004772138
"('Weight',)",0.41002631932411016
"('HtShoes',)",0.6345658318498824
"('Ht',)",0.6382850276047463
"('Seated',)",0.5347319454075564
"('Arm',)",0.34233613553628506
"('Thigh3',)",0.010546703925033873
"('Leg',)",0.6196342489007702
"('Age', 'Weight')",0.47642412140853085
"('Age', 'HtShoes')",0.654858716163403
"('Age', 'Ht')",0.6561635313811137
"('Age', 'Seated')",0.5414403636042345
"('Age', 'Arm')",0.5406213005038994
"('Age', 'Thigh3')",0.04631430373486678
"('Age', 'Leg')",0.6492198160464198
"('Weight', 'HtShoes')",0.6357627424527291
"('Weight', 'Ht')",0.6397728923760414
"('Weight', 'Seated')",0.5481639279627746
"('Weight', 'Arm')",0.4473497828237386
"('Weight', 'Thigh3')",0.41450043504388656
"('Weight', 'Leg')",0.621007353299794
"('HtShoes', 'Ht')",0.6384806774733391
"('HtShoes', 'Seated')",0.6352062116355495
"('HtShoes', 'Arm')",0.6350109549406668
"('HtShoes', 'Thigh3')",0.6351806797921591
"('HtShoes', 'Leg')",0.6576503564000618
"('Ht', 'Seated')",0.6390565590391408
"('Ht', 'Arm')",0.6388606996680051
"('Ht', 'Thigh3')",0.6385741962067741
"('Ht', 'Leg')",0.6594117429189312
"('Seated', 'Arm')",0.5615948246425002
"('Seated', 'Thigh3')",0.5355744469855882
"('Seated', 'Leg')",0.6445461035669562
"('Arm', 'Thigh3')",0.34862258294703585
"('Arm', 'Leg')",0.6197931772140127
"('Thigh3', 'Leg')",0.6399181133845996
"('Age', 'Weight', 'HtShoes')",0.6548666629354072
"('Age', 'Weight', 'Ht')",0.6561654295619249
"('Age', 'Weight', 'Seated')",0.5648916895102868
"('Age', 'Weight', 'Arm')",0.5881235099035984
"('Age', 'Weight', 'Thigh3')",0.4767103574119542
"('Age', 'Weight', 'Leg')",0.6540981108212248
"('Age', 'HtShoes', 'Ht')",0.6562575561282634
"('Age', 'HtShoes', 'Seated')",0.6590860834572109
"('Age', 'HtShoes', 'Arm')",0.6630630945601729
"('Age', 'HtShoes', 'Thigh3')",0.6574867222485251
"('Age', 'HtShoes', 'Leg')",0.6812662246139594
"('Age', 'Ht', 'Seated')",0.6598466686708133
"('Age', 'Ht', 'Arm')",0.6630657117685174
"('Age', 'Ht', 'Thigh3')",0.6578946934059628
"('Age', 'Ht', 'Leg')",0.6814158985074574
"('Age', 'Seated', 'Arm')",0.613464418989108
"('Age', 'Seated', 'Thigh3')",0.5416606752454802
"('Age', 'Seated', 'Leg')",0.6638866267369128
"('Age', 'Arm', 'Thigh3')",0.5409695397231058
"('Age', 'Arm', 'Leg')",0.6617725209940786
"('Age', 'Thigh3', 'Leg')",0.6807143125429884
"('Weight', 'HtShoes', 'Ht')",0.6399329595141308
"('Weight', 'HtShoes', 'Seated')",0.6363562167944687
"('Weight', 'HtShoes', 'Arm')",0.6359698622282963
"('Weight', 'HtShoes', 'Thigh3')",0.6366531952522181
"('Weight', 'HtShoes', 'Leg')",0.6607653287871003
"('Weight', 'Ht', 'Seated')",0.6404790576395488
"('Weight', 'Ht', 'Arm')",0.6400470477197854
"('Weight', 'Ht', 'Thigh3')",0.6402523846378806
"('Weight', 'Ht', 'Leg')",0.6627929826906112
"('Weight', 'Seated', 'Arm')",0.5641003360111166
"('Weight', 'Seated', 'Thigh3')",0.549262601529151
"('Weight', 'Seated', 'Leg')",0.645191530920878
"('Weight', 'Arm', 'Thigh3')",0.4517879637853196
"('Weight', 'Arm', 'Leg')",0.6215397655822683
"('Weight', 'Thigh3', 'Leg')",0.6399669652525208
"('HtShoes', 'Ht', 'Seated')",0.6391606340292839
"('HtShoes', 'Ht', 'Arm')",0.6390368584865007
"('HtShoes', 'Ht', 'Thigh3')",0.6387003687031398
"('HtShoes', 'Ht', 'Leg')",0.6596708679832273
"('HtShoes', 'Seated', 'Arm')",0.6361200020345382
"('HtShoes', 'Seated', 'Thigh3')",0.6360094843930253
"('HtShoes', 'Seated', 'Leg')",0.6577000858726947
"('HtShoes', 'Arm', 'Thigh3')",0.6357725148417064
"('HtShoes', 'Arm', 'Leg')",0.6615152229275929
"('HtShoes', 'Thigh3', 'Leg')",0.6657044407494094
"('Ht', 'Seated', 'Arm')",0.6401983988806521
"('Ht', 'Seated', 'Thigh3')",0.6394555026903463
"('Ht', 'Seated', 'Leg')",0.6594202508975154
"('Ht', 'Arm', 'Thigh3')",0.639252469560064
"('Ht', 'Arm', 'Leg')",0.6633826007616948
"('Ht', 'Thigh3', 'Leg')",0.6663429848919495
"('Seated', 'Arm', 'Thigh3')",0.5627436394483489
"('Seated', 'Arm', 'Leg')",0.6448713220399602
"('Seated', 'Thigh3', 'Leg')",0.6555537948738808
"('Arm', 'Thigh3', 'Leg')",0.6432932789674671
"('Age', 'Weight', 'HtShoes', 'Ht')",0.65625907448414
"('Age', 'Weight', 'HtShoes', 'Seated')",0.6591782644741084
"('Age', 'Weight', 'HtShoes', 'Arm')",0.6630653250540707
"('Age', 'Weight', 'HtShoes', 'Thigh3')",0.6574910306634569
"('Age', 'Weight', 'HtShoes', 'Leg')",0.6815603912281735
"('Age', 'Weight', 'Ht', 'Seated')",0.6598709373401208
"('Age', 'Weight', 'Ht', 'Arm')",0.66307926667347
"('Age', 'Weight', 'Ht', 'Thigh3')",0.657915783459162
"('Age', 'Weight', 'Ht', 'Leg')",0.681771622268345
"('Age', 'Weight', 'Seated', 'Arm')",0.6192518049369902
"('Age', 'Weight', 'Seated', 'Thigh3')",0.5650070226007712
"('Age', 'Weight', 'Seated', 'Leg')",0.6642001150186938
"('Age', 'Weight', 'Arm', 'Thigh3')",0.5883444501266134
"('Age', 'Weight', 'Arm', 'Leg')",0.6641999258875948
"('Age', 'Weight', 'Thigh3', 'Leg')",0.6811372688002746
"('Age', 'HtShoes', 'Ht', 'Seated')",0.660311643334546
"('Age', 'HtShoes', 'Ht', 'Arm')",0.6634350970914089
