"[('Leg      ', 0.132), ('HtShoes  ', 0.12), ('Ht ', 0.12), ('Seated  ', 0.09), ('Weight ', 0.06), ('Arm  ', 0.058), ('Thigh', 0.057), ('Age_permuted', 0.03)]"
"[('Leg      ', 0.13698475), ('Ht ', 0.12552796), ('HtShoes  ', 0.12418072), ('Seated  ', 0.09469848), ('Weight ', 0.06584074), ('Thigh', 0.0568683), ('Arm  ', 0.05374192), ('Age_permuted', 0.02515714)]"
"[('Leg      ', 0.136), ('Ht ', 0.128), ('HtShoes  ', 0.125), ('Seated  ', 0.095), ('Weight ', 0.066), ('Age_permuted', 0.057), ('Thigh', 0.057), ('Arm  ', 0.053)]"
"[('Leg      ', 0.135), ('Ht ', 0.128), ('HtShoes  ', 0.126), ('Seated  ', 0.095), ('Age_permuted', 0.069), ('Weight ', 0.066), ('Thigh', 0.055), ('Arm  ', 0.053)]"
"[('Leg      ', 0.138), ('Ht ', 0.129), ('HtShoes  ', 0.126), ('Seated  ', 0.096), ('Weight ', 0.067), ('Thigh', 0.056), ('Arm  ', 0.054), ('Age_permuted', 0.003)]"
"[('Leg      ', 0.136), ('Ht ', 0.128), ('HtShoes  ', 0.126), ('Seated  ', 0.096), ('Weight ', 0.06), ('Thigh', 0.056), ('Arm  ', 0.054), ('Age_permuted', 0.001)]"
"[('Ht ', 0.129), ('Leg      ', 0.127), ('HtShoes  ', 0.124), ('Seated  ', 0.093), ('Weight ', 0.06), ('Thigh', 0.057), ('Arm  ', 0.052), ('Age_permuted', 0.05)]"
"[('Leg      ', 0.136), ('Ht ', 0.13), ('HtShoes  ', 0.127), ('Seated  ', 0.096), ('Weight ', 0.066), ('Thigh', 0.055), ('Arm  ', 0.053), ('Age_permuted', 0.018)]"
"[('Leg      ', 0.137), ('Ht ', 0.131), ('HtShoes  ', 0.127), ('Seated  ', 0.097), ('Weight ', 0.067), ('Thigh', 0.055), ('Arm  ', 0.053), ('Age_permuted', 0.012)]"
"[('Leg      ', 0.135), ('Ht ', 0.13), ('HtShoes  ', 0.126), ('Seated  ', 0.098), ('Weight ', 0.066), ('Thigh', 0.058), ('Arm  ', 0.055), ('Age_permuted', 0.013)]"
"[('Leg      ', 0.146), ('Ht ', 0.126), ('HtShoes  ', 0.124), ('Seated  ', 0.094), ('Weight ', 0.066), ('Thigh', 0.056), ('Arm  ', 0.055), ('Age_permuted', 0.044)]"
"[('Leg      ', 0.134), ('Ht ', 0.128), ('HtShoes  ', 0.125), ('Seated  ', 0.095), ('Weight ', 0.066), ('Thigh', 0.057), ('Arm  ', 0.053), ('Age_permuted', 0.008)]"
"[('Leg      ', 0.136), ('Ht ', 0.128), ('HtShoes  ', 0.126), ('Seated  ', 0.096), ('Weight ', 0.066), ('Thigh', 0.056), ('Arm  ', 0.054), ('Age_permuted', 0.001)]"
"[('Leg      ', 0.13), ('Ht ', 0.129), ('HtShoes  ', 0.126), ('Seated  ', 0.096), ('Weight ', 0.066), ('Thigh', 0.056), ('Arm  ', 0.054), ('Age_permuted', 0.0033)]"
"[('Leg      ', 0.139), ('Ht ', 0.131), ('HtShoes  ', 0.127), ('Seated  ', 0.096), ('Weight ', 0.066), ('Thigh', 0.056), ('Arm  ', 0.054), ('Age_permuted', 0.017)]"
