0
"[('Leg', 0.132), ('HtShoes', 0.12), ('Ht', 0.12), ('Seated', 0.09), ('Weight', 0.06), ('Arm', 0.058), ('Thigh', 0.057), ('Age', 0.03)]"
"[('Leg', 0.14302934), ('Ht', 0.135726406), ('HtShoes', 0.134533347), ('Seated', 0.102671887), ('Weight', 0.075025174), ('Thigh', 0.065061066), ('Age', 0.027829506), ('Arm', 0.001972286)]"
"[('Leg', 0.142947536), ('Ht', 0.13541014), ('HtShoes', 0.134221278), ('Seated', 0.103393041), ('Weight', 0.075568851), ('Thigh', 0.066117906), ('Age', 0.024064158), ('Arm', 0.010317141)]"
"[('Leg', 0.14345335), ('Ht', 0.13517548), ('HtShoes', 0.133628143), ('Seated', 0.102038002), ('Weight', 0.074899053), ('Thigh', 0.065701868), ('Age', 0.027383224), ('Arm', 0.003089343)]"
"[('Leg', 0.1456347), ('Ht', 0.135840769), ('HtShoes', 0.134429722), ('Seated', 0.1026153), ('Weight', 0.075047763), ('Thigh', 0.065228898), ('Age', 0.026574673), ('Arm', 0.001502949)]"
"[('Leg', 0.143622789), ('Ht', 0.134931989), ('HtShoes', 0.133423554), ('Seated', 0.101698343), ('Weight', 0.074044823), ('Thigh', 0.064382917), ('Age', 0.027193272), ('Arm', 0.006050099)]"
"[('Leg', 0.144723891), ('Ht', 0.13715786), ('HtShoes', 0.13480977), ('Seated', 0.102649747), ('Weight', 0.075147842), ('Thigh', 0.067231386), ('Age', 0.026411091), ('Arm', 0.022921667)]"
"[('Leg', 0.143303464), ('Ht', 0.135958114), ('HtShoes', 0.134527175), ('Seated', 0.102672263), ('Weight', 0.074939782), ('Thigh', 0.065004447), ('Age', 0.026945823), ('Arm', 0.00195458)]"
"[('Leg', 0.145347224), ('Ht', 0.135827427), ('HtShoes', 0.134517868), ('Seated', 0.102302073), ('Weight', 0.074898403), ('Thigh', 0.066246255), ('Age', 0.023887097), ('Arm', 0.005356591)]"
"[('Leg', 0.143670556), ('Ht', 0.135188258), ('HtShoes', 0.133772754), ('Seated', 0.101984805), ('Weight', 0.074379668), ('Thigh', 0.066263448), ('Age', 0.026872426), ('Arm', 0.003957757)]"
"[('Leg', 0.147352031), ('Ht', 0.136925394), ('HtShoes', 0.134901072), ('Seated', 0.102509368), ('Weight', 0.075310475), ('Thigh', 0.063695348), ('Age', 0.023377046), ('Arm', 0.021032149)]"
