Age,Weight ,HtShoes  ,Ht ,Seated  ,Arm  ,Thigh,Leg      
0.03,0.06,0.12,0.12,0.09,0.058,0.057,0.132
0.03,0.07,0.16,0.015,0.115,0.07,0.07,0.15
0.02970169,0.0786436,0.156834,0.022801268,0.1147693,0.07007916,0.07035848,0.1549182
0.03661221,0.07864885,0.1554933,0.008480392,0.1116127,0.06992259,0.068,0.158
0.038,0.078,0.156,0.001,0.113,0.07,0.068,0.159
0.036,0.079,0.156,0.006,0.112,0.069,0.067,0.158
0.038,0.079,0.157,0.014,0.113,0.071,0.07,0.159
0.033,0.08,0.161,0.017,0.114,0.07,0.067,0.159
0.032,0.078,0.157,0.009,0.112,0.07,0.069,0.16
0.037,0.078,0.157,0.001,0.113,0.07,0.068,0.159
0.032,0.078,0.159,0.016,0.112,0.07,0.068,0.16
0.039,0.079,0.157,0.012,0.113,0.069,0.071,0.159
0.033,0.08,0.156,0.013,0.115,0.068,0.068,0.156
0.035,0.078,0.156,0.014,0.111,0.069,0.069,0.163
0.039,0.079,0.158,0.005,0.113,0.071,0.069,0.158
0.043,0.077,0.156,0.019,0.111,0.07,0.069,0.151
0.034,0.08,0.154,0.037,0.113,0.072,0.07,0.151
0.037,0.079,0.157,0.002,0.113,0.07,0.068,0.159
0.039,0.077,0.159,0.024,0.112,0.069,0.068,0.157
0.036,0.078,0.157,0.006,0.112,0.069,0.064,0.159
0.039,0.078,0.156,0.007,0.112,0.069,0.068,0.156
0.036,0.078,0.157,0.001,0.113,0.07,0.068,0.159
0.036,0.08,0.156,0.002,0.112,0.07,0.069,0.158
0.034,0.079,0.16,0.01,0.113,0.07,0.068,0.165
0.038,0.078,0.157,0.006,0.113,0.07,0.068,0.162
0.035,0.08,0.162,0.052,0.117,0.07,0.067,0.165
0.037,0.078,0.156,0.003,0.112,0.07,0.068,0.158
0.037,0.079,0.157,0.001,0.113,0.07,0.068,0.159
0.039,0.081,0.154,0.021,0.111,0.071,0.066,0.157
0.036,0.081,0.153,0.022,0.112,0.07,0.068,0.156
0.036,0.078,0.156,0.002,0.113,0.07,0.068,0.159
