Age,Weight ,HtShoes  ,Ht ,Seated  ,Arm  ,Thigh,Leg      
0.03,0.06,0.12,0.12,0.09,0.058,0.057,0.132
0.035,0.079,0.015,0.16,0.115,0.07,0.07,0.155
0.028,0.078,0.024,0.156,0.114,0.069,0.071,0.154
0.035,0.078,0.008,0.156,0.111,0.069,0.068,0.157
0.036,0.078,0.001,0.158,0.113,0.07,0.068,0.158
0.035,0.079,0.007,0.157,0.111,0.069,0.067,0.157
0.037,0.079,0.16,0.159,0.113,0.071,0.07,0.158
0.032,0.08,0.017,0.162,0.114,0.07,0.67,0.159
0.03,0.078,0.01,0.159,0.112,0.07,0.068,0.16
0.036,0.078,0.001,0.158,0.112,0.07,0.068,0.159
0.031,0.078,0.015,0.162,0.112,0.07,0.068,0.159
0.038,0.079,0.011,0.158,0.113,0.069,0.071,0.159
0.031,0.08,0.013,0.158,0.115,0.069,0.068,0.156
0.034,0.077,0.016,0.157,0.111,0.069,0.068,0.163
0.038,0.079,0.007,0.16,0.113,0.071,0.069,0.158
0.04,0.077,0.015,0.157,0.111,0.07,0.068,0.152
0.033,0.08,0.04,0.155,0.112,0.072,0.07,0.15
0.036,0.079,0.001,0.158,0.113,0.07,0.068,0.159
0.037,0.078,0.024,0.161,0.112,0.069,0.068,0.156
0.034,0.078,0.008,0.158,0.112,0.069,0.067,0.159
0.037,0.078,0.006,0.157,0.112,0.069,0.068,0.156
0.035,0.078,0.001,0.158,0.113,0.07,0.068,0.159
0.035,0.08,0.002,0.157,0.112,0.07,0.068,0.157
0.033,0.079,0.01,0.161,0.113,0.07,0.068,0.165
0.036,0.078,0.005,0.158,0.113,0.07,0.068,0.161
0.034,0.08,0.052,0.165,0.117,0.07,0.067,0.165
0.036,0.078,0.024,0.156,0.114,0.069,0.071,0.154
0.036,0.078,0.001,0.156,0.114,0.069,0.068,0.159
0.037,0.081,0.019,0.156,0.111,0.071,0.066,0.156
0.035,0.081,0.023,0.154,0.112,0.07,0.068,0.156
0.035,0.078,0.001,0.158,0.113,0.07,0.068,0.159
