"[('Leg      ', 0.132), ('HtShoes  ', 0.12), ('Ht ', 0.12), ('Seated  ', 0.09), ('Weight ', 0.06), ('Arm  ', 0.058), ('Thigh', 0.057), ('Age', 0.03)]"
"[('Ht ', 0.16), ('Leg      ', 0.155), ('Seated  ', 0.115), ('Weight ', 0.079), ('Arm  ', 0.07), ('Thigh', 0.07), ('Age', 0.035), ('HtShoes  ', 0.015)]"
"[('Ht ', 0.156), ('Leg      ', 0.154), ('Seated  ', 0.114), ('Weight ', 0.078), ('Thigh', 0.071), ('Arm  ', 0.069), ('Age', 0.028), ('HtShoes  ', 0.024)]"
"[('Leg      ', 0.157), ('Ht ', 0.156), ('Seated  ', 0.111), ('Weight ', 0.078), ('Arm  ', 0.069), ('Thigh', 0.068), ('Age', 0.035), ('HtShoes  ', 0.008)]"
"[('Ht ', 0.158), ('Leg      ', 0.158), ('Seated  ', 0.113), ('Weight ', 0.078), ('Arm  ', 0.07), ('Thigh', 0.068), ('Age', 0.036), ('HtShoes  ', 0.001)]"
"[('Ht ', 0.157), ('Leg      ', 0.157), ('Seated  ', 0.111), ('Weight ', 0.079), ('Arm  ', 0.069), ('Thigh', 0.067), ('Age', 0.035), ('HtShoes  ', 0.007)]"
"[('HtShoes  ', 0.16), ('Ht ', 0.159), ('Leg      ', 0.158), ('Seated  ', 0.113), ('Weight ', 0.079), ('Arm  ', 0.071), ('Thigh', 0.07), ('Age', 0.037)]"
"[('Thigh', 0.67), ('Ht ', 0.162), ('Leg      ', 0.159), ('Seated  ', 0.114), ('Weight ', 0.08), ('Arm  ', 0.07), ('Age', 0.032), ('HtShoes  ', 0.017)]"
"[('Leg      ', 0.16), ('Ht ', 0.159), ('Seated  ', 0.112), ('Weight ', 0.078), ('Arm  ', 0.07), ('Thigh', 0.068), ('Age', 0.03), ('HtShoes  ', 0.01)]"
"[('Leg      ', 0.159), ('Ht ', 0.158), ('Seated  ', 0.112), ('Weight ', 0.078), ('Arm  ', 0.07), ('Thigh', 0.068), ('Age', 0.036), ('HtShoes  ', 0.001)]"
"[('Ht ', 0.162), ('Leg      ', 0.159), ('Seated  ', 0.112), ('Weight ', 0.078), ('Arm  ', 0.07), ('Thigh', 0.068), ('Age', 0.031), ('HtShoes  ', 0.015)]"
"[('Leg      ', 0.159), ('Ht ', 0.158), ('Seated  ', 0.113), ('Weight ', 0.079), ('Thigh', 0.071), ('Arm  ', 0.069), ('Age', 0.038), ('HtShoes  ', 0.011)]"
"[('Ht ', 0.158), ('Leg      ', 0.156), ('Seated  ', 0.115), ('Weight ', 0.08), ('Arm  ', 0.069), ('Thigh', 0.068), ('Age', 0.031), ('HtShoes  ', 0.013)]"
