0
"[('Leg', 0.132), ('HtShoes', 0.12), ('Ht', 0.12), ('Seated', 0.09), ('Weight', 0.06), ('Arm', 0.058), ('Thigh', 0.057), ('Age', 0.03)]"
"[('HtShoes', 0.152730156), ('Ht', 0.152069947), ('Seated', 0.11246108), ('Weight', 0.079363825), ('Arm', 0.069917136), ('Thigh', 0.067609454), ('Age', 0.035351559), ('Leg', 0.016828789)]"
"[('Ht', 0.149462873), ('HtShoes', 0.148363812), ('Seated', 0.112037252), ('Weight', 0.07852155), ('Arm', 0.070121244), ('Thigh', 0.067699379), ('Age', 0.031214453), ('Leg', 0.012834356)]"
"[('Ht', 0.14898464), ('HtShoes', 0.146994763), ('Seated', 0.109196927), ('Weight', 0.077564873), ('Arm', 0.070454909), ('Thigh', 0.06713634), ('Age', 0.036179212), ('Leg', 0.011086003)]"
"[('Ht', 0.151668273), ('HtShoes', 0.149880371), ('Seated', 0.111573211), ('Weight', 0.078616698), ('Arm', 0.071023477), ('Thigh', 0.066501789), ('Age', 0.036221484), ('Leg', 0.000972227)]"
"[('Ht', 0.150739857), ('HtShoes', 0.148553673), ('Seated', 0.110712529), ('Weight', 0.078241844), ('Arm', 0.069138446), ('Thigh', 0.065136193), ('Age', 0.035267857), ('Leg', 0.016324404)]"
"[('Ht', 0.154058502), ('HtShoes', 0.151281146), ('Seated', 0.112347875), ('Weight', 0.079710681), ('Arm', 0.072889714), ('Thigh', 0.067414546), ('Age', 0.037659356), ('Leg', 0.028448736)]"
"[('Ht', 0.1540839), ('HtShoes', 0.152082737), ('Seated', 0.112825357), ('Weight', 0.079967553), ('Arm', 0.072128714), ('Thigh', 0.066139474), ('Age', 0.032666346), ('Leg', 0.025577604)]"
"[('Ht', 0.151408296), ('HtShoes', 0.149499623), ('Seated', 0.111185117), ('Weight', 0.078321842), ('Arm', 0.072686124), ('Thigh', 0.06689619), ('Age', 0.032098323), ('Leg', 0.006513941)]"
"[('Ht', 0.149959961), ('HtShoes', 0.148347949), ('Seated', 0.110274081), ('Weight', 0.077256501), ('Arm', 0.070892091), ('Thigh', 0.067408956), ('Age', 0.03656086), ('Leg', 0.00665386)]"
"[('Ht', 0.151935835), ('HtShoes', 0.149858264), ('Seated', 0.111719071), ('Weight', 0.078704813), ('Arm', 0.071032564), ('Thigh', 0.066453306), ('Age', 0.034364316), ('Leg', 0.002601815)]"
"[('Ht', 0.152021522), ('HtShoes', 0.150697109), ('Seated', 0.112156613), ('Weight', 0.079499473), ('Arm', 0.070269364), ('Thigh', 0.06860727), ('Age', 0.039184024), ('Leg', 0.017177121)]"
"[('Ht', 0.149071751), ('HtShoes', 0.145855735), ('Seated', 0.11312462), ('Weight', 0.083075558), ('Arm', 0.067727868), ('Thigh', 0.067166362), ('Leg', 0.052785124), ('Age', 0.02950032)]"
"[('Ht', 0.150942028), ('HtShoes', 0.149117884), ('Seated', 0.110975654), ('Weight', 0.078022395), ('Arm', 0.070819469), ('Thigh', 0.066814161), ('Age', 0.035748473), ('Leg', 0.004155116)]"
"[('Ht', 0.153234444), ('HtShoes', 0.151035417), ('Seated', 0.112120318), ('Weight', 0.07948122), ('Arm', 0.071824484), ('Thigh', 0.06715184), ('Age', 0.038021495), ('Leg', 0.009942751)]"
"[('Ht', 0.148287624), ('HtShoes', 0.14655429), ('Seated', 0.109313605), ('Weight', 0.076610923), ('Arm', 0.073383999), ('Thigh', 0.066844778), ('Age', 0.045953384), ('Leg', 0.029270751)]"
"[('Ht', 0.149799426), ('HtShoes', 0.148516924), ('Seated', 0.110732367), ('Weight', 0.078340807), ('Arm', 0.071706003), ('Thigh', 0.067992079), ('Age', 0.035011132), ('Leg', 0.015498597)]"
"[('Ht', 0.15163967), ('HtShoes', 0.150354783), ('Seated', 0.112233523), ('Weight', 0.080012087), ('Arm', 0.071362366), ('Thigh', 0.065988409), ('Age', 0.039349154), ('Leg', 0.011144756)]"
"[('Ht', 0.152206961), ('HtShoes', 0.149505685), ('Seated', 0.111617753), ('Weight', 0.077540248), ('Arm', 0.070628856), ('Thigh', 0.06605418), ('Age', 0.036524158), ('Leg', 0.015931857)]"
"[('Ht', 0.151071869), ('HtShoes', 0.149359631), ('Seated', 0.11112347), ('Weight', 0.078079162), ('Arm', 0.070825129), ('Thigh', 0.066109882), ('Age', 0.036523623), ('Leg', 0.004077476)]"
"[('Ht', 0.151237877), ('HtShoes', 0.149494156), ('Seated', 0.111208103), ('Weight', 0.078318904), ('Arm', 0.070548742), ('Thigh', 0.066433443), ('Age', 0.036939867), ('Leg', 0.002447733)]"
"[('Ht', 0.150916024), ('HtShoes', 0.149425385), ('Seated', 0.111097746), ('Weight', 0.078067518), ('Arm', 0.070449862), ('Thigh', 0.065700277), ('Age', 0.037312668), ('Leg', 0.005777905)]"
"[('Ht', 0.149587197), ('HtShoes', 0.147365106), ('Seated', 0.110374986), ('Weight', 0.080967729), ('Arm', 0.071753194), ('Thigh', 0.068571277), ('Age', 0.033461844), ('Leg', 0.009904743)]"
"[('Ht', 0.151927411), ('HtShoes', 0.150446305), ('Seated', 0.11197755), ('Weight', 0.078588227), ('Arm', 0.070844868), ('Thigh', 0.066452586), ('Age', 0.035846403), ('Leg', 0.002387109)]"
"[('Ht', 0.151526854), ('HtShoes', 0.150176147), ('Seated', 0.111723618), ('Weight', 0.078442411), ('Arm', 0.070696755), ('Thigh', 0.066847388), ('Age', 0.036926452), ('Leg', 0.003460909)]"
"[('Ht', 0.157315533), ('HtShoes', 0.153043286), ('Seated', 0.114722976), ('Weight', 0.083716833), ('Leg', 0.072263687), ('Arm', 0.069762408), ('Thigh', 0.066267981), ('Age', 0.041086505)]"
"[('Ht', 0.15130624), ('HtShoes', 0.14949871), ('Seated', 0.111694248), ('Weight', 0.078365029), ('Arm', 0.070889705), ('Thigh', 0.066838174), ('Age', 0.036807587), ('Leg', 0.002269334)]"
"[('Ht', 0.152472053), ('HtShoes', 0.149832999), ('Seated', 0.111734435), ('Weight', 0.079061677), ('Arm', 0.071289855), ('Thigh', 0.066167907), ('Age', 0.036971615), ('Leg', 0.004669523)]"
"[('Ht', 0.148004012), ('HtShoes', 0.146453874), ('Seated', 0.1091266), ('Weight', 0.079264817), ('Arm', 0.072130801), ('Thigh', 0.064140124), ('Age', 0.037451278), ('Leg', 0.017743179)]"
"[('Ht', 0.149985087), ('HtShoes', 0.148725587), ('Seated', 0.110915683), ('Weight', 0.080241542), ('Arm', 0.071775173), ('Thigh', 0.066261438), ('Age', 0.038120666), ('Leg', 0.016279604)]"
"[('Ht', 0.150909678), ('HtShoes', 0.148870601), ('Seated', 0.111078783), ('Weight', 0.07810024), ('Arm', 0.070959648), ('Thigh', 0.066377394), ('Age', 0.037079976), ('Leg', 0.004926116)]"
