Age,Weight ,HtShoes  ,Ht ,Seated  ,Arm  ,Thigh,Leg      
0.03,0.06,0.12,0.12,0.09,0.058,0.057,0.132
0.036,0.078,0.145,0.145,0.015,0.068,0.068,0.146
0.029,0.077,0.144,0.144,0.016,0.068,0.069,0.148
0.033,0.077,0.14,0.142,0.01,0.067,0.066,0.147
0.035,0.078,0.142,0.144,0.0009,0.068,0.065,0.151
0.035,0.078,0.142,0.143,0.003,0.067,0.065,0.15
0.037,0.079,0.142,0.144,0.012,0.068,0.068,0.148
0.032,0.079,0.145,0.146,0.029,0.068,0.065,0.154
0.029,0.077,0.141,0.143,0.015,0.068,0.065,0.152
0.035,0.078,0.142,0.144,0.001,0.068,0.065,0.15
0.032,0.078,0.142,0.144,0.008,0.068,0.065,0.152
0.037,0.078,0.143,0.144,0.009,0.068,0.068,0.152
0.031,0.078,0.143,0.145,0.017,0.067,0.065,0.149
0.034,0.077,0.141,0.143,0.006,0.067,0.065,0.151
0.033,0.078,0.143,0.144,0.006,0.069,0.066,0.148
0.041,0.077,0.142,0.143,0.0104,0.068,0.067,0.145
0.0302,0.0806,0.141,0.143,0.048,0.068,0.065,0.141
0.035,0.078,0.142,0.144,0.0009,0.068,0.065,0.1505
0.035,0.077,0.143,0.146,0.02,0.067,0.066,0.147
0.034,0.077,0.142,0.143,0.005,0.067,0.064,0.151
0.037,0.077,0.14,0.142,0.013,0.067,0.065,0.144
0.033,0.078,0.142,0.144,0.002,0.068,0.066,0.151
0.035,0.078,0.142,0.144,0.001,0.068,0.065,0.151
0.033,0.078,0.143,0.144,0.007,0.067,0.065,0.154
0.035,0.078,0.142,0.144,0.001,0.068,0.066,0.151
0.034,0.079,0.149,0.152,0.0702,0.069,0.065,0.151
0.035,0.076,0.141,0.142,0.008,0.067,0.066,0.148
0.035,0.078,0.142,143,0.002,0.068,0.066,0.15
0.036,0.079,0.141,0.143,0.015,0.069,0.065,0.149
0.036,0.079,0.141,0.143,0.015,0.069,0.065,0.149
0.034,0.078,0.142,0.143,0.002,0.068,0.065,0.151
