"[('Leg', 0.132), ('HtShoes', 0.12), ('Ht', 0.12), ('Seated', 0.09), ('Weight', 0.06), ('Arm', 0.058), ('Thigh', 0.057), ('Age', 0.03)]"
"[('Leg', 0.141902794), ('Ht', 0.135506025), ('HtShoes', 0.133868401), ('Seated', 0.101734333), ('Weight', 0.073379424), ('Arm', 0.066776049), ('Age', 0.031305708), ('Thigh', 0.001015887)]"
"[('Leg', 0.141465858), ('Ht', 0.136032421), ('HtShoes', 0.134373197), ('Seated', 0.102507248), ('Weight', 0.073266538), ('Arm', 0.066325994), ('Age', 0.028201601), ('Thigh', 0.005465205)]"
"[('Leg', 0.148485178), ('Ht', 0.134929499), ('HtShoes', 0.133969926), ('Seated', 0.101761902), ('Weight', 0.073322566), ('Arm', 0.066536107), ('Age', 0.033074554), ('Thigh', 0.010048556)]"
"[('Leg', 0.142060552), ('Ht', 0.135518504), ('HtShoes', 0.133928814), ('Seated', 0.101862432), ('Weight', 0.073131964), ('Arm', 0.066689509), ('Age', 0.030888262), ('Thigh', 0.000608032)]"
"[('Leg', 0.139624018), ('Ht', 0.135349607), ('HtShoes', 0.133734822), ('Seated', 0.101565591), ('Weight', 0.073027554), ('Arm', 0.06574146), ('Age', 0.031382368), ('Thigh', 0.004896125)]"
"[('Leg', 0.141530742), ('Ht', 0.135621558), ('HtShoes', 0.133810041), ('Seated', 0.101487405), ('Weight', 0.072819886), ('Arm', 0.06625883), ('Age', 0.031019959), ('Thigh', 0.004576032)]"
"[('Leg', 0.141697347), ('Ht', 0.135402618), ('HtShoes', 0.133814357), ('Seated', 0.10208399), ('Weight', 0.073168799), ('Arm', 0.066828617), ('Age', 0.030905479), ('Thigh', 0.0012459)]"
"[('Leg', 0.140655314), ('Ht', 0.134773824), ('HtShoes', 0.133290119), ('Seated', 0.101919648), ('Weight', 0.073551362), ('Arm', 0.066446961), ('Age', 0.031942918), ('Thigh', 0.003226871)]"
"[('Leg', 0.140476153), ('Ht', 0.136116293), ('HtShoes', 0.134707919), ('Seated', 0.102185665), ('Weight', 0.073235016), ('Arm', 0.067445962), ('Age', 0.03389057), ('Thigh', 0.0051957)]"
"[('Ht', 0.134173084), ('HtShoes', 0.130743828), ('Leg', 0.128823701), ('Thigh', 0.116000033), ('Seated', 0.098110651), ('Weight', 0.071259596), ('Arm', 0.063276252), ('Age', 0.020248)]"
"[('Leg', 0.141816194), ('Ht', 0.136524782), ('HtShoes', 0.134123987), ('Seated', 0.102524904), ('Weight', 0.073487415), ('Arm', 0.066185037), ('Age', 0.034271601), ('Thigh', 0.019591535)]"
"[('Leg', 0.139581986), ('Ht', 0.134968082), ('HtShoes', 0.133370524), ('Seated', 0.102577264), ('Weight', 0.074170974), ('Arm', 0.066265099), ('Age', 0.029686257), ('Thigh', 0.004103166)]"
