0
"[('Ht ', 0.122), ('HtShoes  ', 0.121), ('Leg      ', 0.11), ('Seated  ', 0.102), ('Thigh', 0.067), ('Arm  ', 0.065), ('Age', 0.008), ('Weight ', 0.007)]"
"[('Leg      ', 0.144), ('Ht ', 0.135), ('HtShoes  ', 0.134), ('Seated  ', 0.104), ('Arm  ', 0.067), ('Thigh', 0.064), ('Age', 0.033), ('Weight ', 0.005)]"
"[('Leg      ', 0.144), ('Ht ', 0.136), ('HtShoes  ', 0.135), ('Seated  ', 0.104), ('Arm  ', 0.067), ('Thigh', 0.064), ('Age', 0.033), ('Weight ', 0.0009)]"
"[('Leg      ', 0.143), ('Ht ', 0.135), ('HtShoes  ', 0.134), ('Seated  ', 0.104), ('Arm  ', 0.066), ('Thigh', 0.063), ('Age', 0.031), ('Weight ', 0.007)]"
"[('Leg      ', 0.143), ('Ht ', 0.136), ('HtShoes  ', 0.135), ('Seated  ', 0.104), ('Arm  ', 0.067), ('Thigh', 0.064), ('Age', 0.032), ('Weight ', 0.007)]"
"[('Leg      ', 0.145), ('Ht ', 0.138), ('HtShoes  ', 0.136), ('Seated  ', 0.105), ('Arm  ', 0.067), ('Thigh', 0.063), ('Age', 0.032), ('Weight ', 0.019)]"
"[('Leg      ', 0.145), ('Ht ', 0.136), ('HtShoes  ', 0.135), ('Seated  ', 0.104), ('Arm  ', 0.067), ('Thigh', 0.064), ('Age', 0.028), ('Weight ', 0.009)]"
"[('Leg      ', 0.143), ('Ht ', 0.136), ('HtShoes  ', 0.135), ('Seated  ', 0.104), ('Arm  ', 0.067), ('Thigh', 0.065), ('Age', 0.034), ('Weight ', 0.003)]"
"[('Leg      ', 0.146), ('Ht ', 0.136), ('HtShoes  ', 0.134), ('Seated  ', 0.104), ('Arm  ', 0.066), ('Thigh', 0.063), ('Age', 0.028), ('Weight ', 0.018)]"
"[('Leg      ', 0.144), ('HtShoes  ', 0.136), ('Ht ', 0.136), ('Seated  ', 0.105), ('Arm  ', 0.067), ('Thigh', 0.064), ('Age', 0.035), ('Weight ', 0.011)]"
"[('Leg      ', 0.14), ('Ht ', 0.137), ('HtShoes  ', 0.135), ('Seated  ', 0.105), ('Arm  ', 0.066), ('Thigh', 0.065), ('Age', 0.028), ('Weight ', 0.014)]"
"[('Leg      ', 0.146), ('Ht ', 0.135), ('HtShoes  ', 0.134), ('Seated  ', 0.104), ('Arm  ', 0.066), ('Thigh', 0.064), ('Age', 0.028), ('Weight ', 0.017)]"
"[('Leg      ', 0.143), ('Ht ', 0.136), ('HtShoes  ', 0.135), ('Seated  ', 0.104), ('Arm  ', 0.069), ('Thigh', 0.064), ('Age', 0.034), ('Weight ', 0.007)]"
"[('Leg      ', 0.137), ('Ht ', 0.136), ('HtShoes  ', 0.135), ('Seated  ', 0.104), ('Arm  ', 0.069), ('Thigh', 0.064), ('Age', 0.039), ('Weight ', 0.014)]"
"[('Leg      ', 0.141), ('Ht ', 0.134), ('HtShoes  ', 0.133), ('Seated  ', 0.104), ('Arm  ', 0.07), ('Thigh', 0.065), ('Age', 0.028), ('Weight ', 0.022)]"
"[('Leg      ', 0.144), ('Ht ', 0.137), ('HtShoes  ', 0.136), ('Seated  ', 0.105), ('Arm  ', 0.067), ('Thigh', 0.063), ('Age', 0.033), ('Weight ', 0.007)]"
"[('Leg      ', 0.141), ('Ht ', 0.137), ('HtShoes  ', 0.134), ('Seated  ', 0.104), ('Arm  ', 0.066), ('Thigh', 0.063), ('Age', 0.032), ('Weight ', 0.029)]"
"[('Leg      ', 0.144), ('Ht ', 0.136), ('HtShoes  ', 0.135), ('Seated  ', 0.104), ('Arm  ', 0.067), ('Thigh', 0.064), ('Age', 0.02), ('Weight ', 0.001)]"
"[('Leg      ', 0.14), ('HtShoes  ', 0.133), ('Ht ', 0.125), ('Seated  ', 0.103), ('Arm  ', 0.066), ('Thigh', 0.063), ('Age', 0.035), ('Weight ', 0.015)]"
"[('Leg      ', 0.144), ('Ht ', 0.136), ('HtShoes  ', 0.135), ('Seated  ', 0.104), ('Arm  ', 0.067), ('Thigh', 0.064), ('Age', 0.032), ('Weight ', 0.0009)]"
